Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
1,Gregoire Burquier,,Andis Juska,16 764 75,travemunde,249,France F2,2014,futures
5,Maxime Authom,Q,Sadio Doumbia,62 36 75,travemunde,249,France F2,2014,futures
6,Josselin Ouanna,WC,Fabrice Martin,62 75,travemunde,249,France F2,2014,futures
Q,Gleb Sakharov,,Hugo Nys,762 63,travemunde,249,France F2,2014,futures
1,Gregoire Burquier,,Tristan Lamasine,64 75,travemunde,249,France F2,2014,futures
WC,Fabrice Martin,4) W,Albano Olivetti,673 763 63,travemunde,249,France F2,2014,futures
5,Maxime Authom,,Tomislav Brkic,63 61,travemunde,249,France F2,2014,futures
6,Josselin Ouanna,Q,Cedrick Commin,61 62,travemunde,249,France F2,2014,futures
Q,Sadio Doumbia,,Adrien Bossel,26 63 62,travemunde,249,France F2,2014,futures
,Andis Juska,LL,Thomas Le Boulch,64 62,travemunde,249,France F2,2014,futures
,Hugo Nys,,Julien Obry,63 40 (RET),travemunde,249,France F2,2014,futures
Q,Gleb Sakharov,LL,Maxime Tchoutakian,63 61,travemunde,249,France F2,2014,futures
1,Gregoire Burquier,Q,Gregoire Barrere,36 64 75,travemunde,249,France F2,2014,futures
Q,Sadio Doumbia,2,Gerard Granollers,63 764,travemunde,249,France F2,2014,futures
4) W,Albano Olivetti,,Michael Bois,63 673 64,travemunde,249,France F2,2014,futures
5,Maxime Authom,Q,Laurent Rochette,62 675 61,travemunde,249,France F2,2014,futures
6,Josselin Ouanna,WC,Calvin Hemery,64 64,travemunde,249,France F2,2014,futures
,Hugo Nys,7,Jonathan Eysseric,64 64,travemunde,249,France F2,2014,futures
,Andis Juska,8,Karim Hossam,62 62,travemunde,249,France F2,2014,futures
,Adrien Bossel,,Karim-Mohamed Maamoun,763 62,travemunde,249,France F2,2014,futures
,Tomislav Brkic,,Andres Artunedo Martinavarro,26 64 64,travemunde,249,France F2,2014,futures
Q,Cedrick Commin,WC,Maxime Janvier,768 63,travemunde,249,France F2,2014,futures
,Tristan Lamasine,Q,Eric Fomba,64 63,travemunde,249,France F2,2014,futures
LL,Thomas Le Boulch,,Mazen Osama,46 763 61,travemunde,249,France F2,2014,futures
WC,Fabrice Martin,Q,Remi Boutillier,64 75,travemunde,249,France F2,2014,futures
,Julien Obry,Q,Mick Lescure,62 64,travemunde,249,France F2,2014,futures
Q,Gleb Sakharov,,Laurent Lokoli,64 64,travemunde,249,France F2,2014,futures
LL,Maxime Tchoutakian,,Sherif Sabry,64 62,travemunde,249,France F2,2014,futures
7,Daniel Smethurst,5,David Rice,63 75,seoul,88,Great Britain F2,2014,futures
5,David Rice,1,Daniel Cox,64 64,seoul,88,Great Britain F2,2014,futures
7,Daniel Smethurst,3,Yannick Mertens,61 763,seoul,88,Great Britain F2,2014,futures
1,Daniel Cox,6,Riccardo Bellotti,62 57 64,seoul,88,Great Britain F2,2014,futures
3,Yannick Mertens,,Julien Cagnina,63 61,seoul,88,Great Britain F2,2014,futures
5,David Rice,,Micke Kontinen,64 63,seoul,88,Great Britain F2,2014,futures
7,Daniel Smethurst,Q,Sander Arends,36 63 62,seoul,88,Great Britain F2,2014,futures
1,Daniel Cox,,Enzo Couacaud,75 64,seoul,88,Great Britain F2,2014,futures
Q,Sander Arends,2,Laurynas Grigelis,(W/O),seoul,88,Great Britain F2,2014,futures
3,Yannick Mertens,,Jacob Adaktusson,61 62,seoul,88,Great Britain F2,2014,futures
,Micke Kontinen,4,Edward Corrie,61 64,seoul,88,Great Britain F2,2014,futures
5,David Rice,,Tom Farquharson,62 61,seoul,88,Great Britain F2,2014,futures
