Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
2,Javier Genaro-Martinez,8,Guillermo Olaso,63 75,guaruja,237,Spain F1,2008,futures
2,Javier Genaro-Martinez,5,Pablo Santos,63 64,guaruja,237,Spain F1,2008,futures
8,Guillermo Olaso,3,Carlos Poch-Gradin,60 62,guaruja,237,Spain F1,2008,futures
2,Javier Genaro-Martinez,,Valery Rudnev,60 62,guaruja,237,Spain F1,2008,futures
3,Carlos Poch-Gradin,,Ignacio Coll-Riudavets,64 26 75,guaruja,237,Spain F1,2008,futures
5,Pablo Santos,4,Andrea Arnaboldi,7611 64,guaruja,237,Spain F1,2008,futures
8,Guillermo Olaso,,Xavier Pujo,57 62 64,guaruja,237,Spain F1,2008,futures
,Xavier Pujo,1,Hector Ruiz-Cadenas,63 63,guaruja,237,Spain F1,2008,futures
2,Javier Genaro-Martinez,WC,Agustin Boje-Ordonez,61 61,guaruja,237,Spain F1,2008,futures
3,Carlos Poch-Gradin,,Julien Jeanpierre,64 63,guaruja,237,Spain F1,2008,futures
4,Andrea Arnaboldi,Q,Carlos Calderon-Rodriguez,64 60,guaruja,237,Spain F1,2008,futures
5,Pablo Santos,,Marius Zay,63 676 75,guaruja,237,Spain F1,2008,futures
8,Guillermo Olaso,WC,Jordi Samper-Montana,63 675 63,guaruja,237,Spain F1,2008,futures
,Ignacio Coll-Riudavets,WC,Grigor Dimitrov,62 64,guaruja,237,Spain F1,2008,futures
,Valery Rudnev,,Thomas Cazes-Carrere,62 62,guaruja,237,Spain F1,2008,futures
1,Hector Ruiz-Cadenas,WC,David Diaz-Ventura,64 61,guaruja,237,Spain F1,2008,futures
2,Javier Genaro-Martinez,Q,Takahiro Ittogi,64 62,guaruja,237,Spain F1,2008,futures
3,Carlos Poch-Gradin,,Alexandros Jakupovic,46 63 62,guaruja,237,Spain F1,2008,futures
4,Andrea Arnaboldi,Q,Gerard Granollers,62 46 75,guaruja,237,Spain F1,2008,futures
5,Pablo Santos,Q,Abel Hernandez-Aguila,60 61,guaruja,237,Spain F1,2008,futures
,Ignacio Coll-Riudavets,6,Juan Albert Viloca-Puig,63 64,guaruja,237,Spain F1,2008,futures
,Valery Rudnev,7,Pedro Clar-Rossello,63 57 63,guaruja,237,Spain F1,2008,futures
8,Guillermo Olaso,Q,Marcelo Palacios-Siegenthale,62 63,guaruja,237,Spain F1,2008,futures
WC,Agustin Boje-Ordonez,,Jordi Marse-Vidri,765 62,guaruja,237,Spain F1,2008,futures
Q,Carlos Calderon-Rodriguez,Q,Stephane Piro,64 62,guaruja,237,Spain F1,2008,futures
,Thomas Cazes-Carrere,,Pablo Martin-Adalia,64 26 61,guaruja,237,Spain F1,2008,futures
WC,Grigor Dimitrov,,Mathieu Rodrigues,63 63,guaruja,237,Spain F1,2008,futures
,Julien Jeanpierre,,Jonathan Dasnieres de Veigy,52 (RET),guaruja,237,Spain F1,2008,futures
,Xavier Pujo,,James Ward,63 60,guaruja,237,Spain F1,2008,futures
WC,Jordi Samper-Montana,Q,Sergio Gutierrez-Ferrol,63 671 63,guaruja,237,Spain F1,2008,futures
,Marius Zay,Q,David Ollivier-Baquero,46 75 61,guaruja,237,Spain F1,2008,futures
4,Carlos Poch-Gradin,1) ,Lamine Ouahab,36 64 64,nancy,304,Spain F2,2008,futures
1) ,Lamine Ouahab,3,Javier Genaro-Martinez,63 63,nancy,304,Spain F2,2008,futures
4,Carlos Poch-Gradin,Q,Adam Chadaj,762 63,nancy,304,Spain F2,2008,futures
1) ,Lamine Ouahab,,Jonathan Dasnieres de Veigy,61 46 62,nancy,304,Spain F2,2008,futures
3,Javier Genaro-Martinez,Q,Juan-Miguel Such-Perez,26 64 61,nancy,304,Spain F2,2008,futures
4,Carlos Poch-Gradin,,Julien Jeanpierre,675 63 764,nancy,304,Spain F2,2008,futures
Q,Adam Chadaj,8,Pedro Clar-Rossello,64 63,nancy,304,Spain F2,2008,futures
1) ,Lamine Ouahab,Q,Xavier Pujo,63 64,nancy,304,Spain F2,2008,futures
Q,Adam Chadaj,2,Hector Ruiz-Cadenas,26 761 63,nancy,304,Spain F2,2008,futures
