Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
Q,Tomislav Brkic,5,Michal Konecny,64 61,south-orange,707,Turkey F1,2012,futures
5,Michal Konecny,Q,Sanam Singh,63 767,south-orange,707,Turkey F1,2012,futures
Q,Tomislav Brkic,7,Daniel Cox,61 63,south-orange,707,Turkey F1,2012,futures
7,Daniel Cox,2,Kevin Krawietz,61 64,south-orange,707,Turkey F1,2012,futures
5,Michal Konecny,,Carl Bergman,62 46 62,south-orange,707,Turkey F1,2012,futures
Q,Tomislav Brkic,,Marc Rath,62 64,south-orange,707,Turkey F1,2012,futures
Q,Sanam Singh,,Denis Yevseyev,64 62,south-orange,707,Turkey F1,2012,futures
,Carl Bergman,1,Andrej Martin,63 06 61,south-orange,707,Turkey F1,2012,futures
2,Kevin Krawietz,WC,Can Altiner,64 63,south-orange,707,Turkey F1,2012,futures
Q,Tomislav Brkic,3,Toni Androic,63 62,south-orange,707,Turkey F1,2012,futures
5,Michal Konecny,,Denes Lukacs,64 61,south-orange,707,Turkey F1,2012,futures
7,Daniel Cox,,Vladimir Ivanov,63 11 (RET),south-orange,707,Turkey F1,2012,futures
,Marc Rath,,Gero Kretschmer,769 36 63,south-orange,707,Turkey F1,2012,futures
Q,Sanam Singh,,Ricardo Rodriguez - Pace,62 62,south-orange,707,Turkey F1,2012,futures
,Denis Yevseyev,Q,Jaak Poldma,36 764 61,south-orange,707,Turkey F1,2012,futures
1,Andrej Martin,Q,Francesco Picco,63 62,south-orange,707,Turkey F1,2012,futures
2,Kevin Krawietz,Q,Agustin Boje-Ordonez,63 64,south-orange,707,Turkey F1,2012,futures
3,Toni Androic,LL,Andrey Boldarev,61 62,south-orange,707,Turkey F1,2012,futures
,Ricardo Rodriguez - Pace,4,Steven Diez,63 (RET),south-orange,707,Turkey F1,2012,futures
5,Michal Konecny,,Aldin Setkic,64 57 64,south-orange,707,Turkey F1,2012,futures
,Gero Kretschmer,6,Joshua Milton,63 46 75,south-orange,707,Turkey F1,2012,futures
7,Daniel Cox,,Marco Cecchinato,61 61,south-orange,707,Turkey F1,2012,futures
Q,Jaak Poldma,8,Nikola Cacic,64 763,south-orange,707,Turkey F1,2012,futures
WC,Can Altiner,WC,Durukan Durmus,763 63,south-orange,707,Turkey F1,2012,futures
,Carl Bergman,,Taro Daniel,63 46 63,south-orange,707,Turkey F1,2012,futures
Q,Tomislav Brkic,Q,Theodoros Angelinos,57 64 63,south-orange,707,Turkey F1,2012,futures
,Vladimir Ivanov,Q,Alban Meuffels,36 63 63,south-orange,707,Turkey F1,2012,futures
