Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
4,Ruben Ramirez Hidalgo,WC,Florent Serra,57 62 62,bergen,239,France F1,2001,futures
4,Ruben Ramirez Hidalgo,,Slimane Saoudi,61 760,bergen,239,France F1,2001,futures
WC,Florent Serra,7) W,Jerome Haehnel,63 64,bergen,239,France F1,2001,futures
7) W,Jerome Haehnel,1,Jan Weinzierl,64 64,bergen,239,France F1,2001,futures
4,Ruben Ramirez Hidalgo,Q,Xavier Pujo,75 (RET),bergen,239,France F1,2001,futures
WC,Florent Serra,5,Tapio Nurminen,63 (RET),bergen,239,France F1,2001,futures
,Slimane Saoudi,WC,Gregory Carraz,766 765,bergen,239,France F1,2001,futures
1,Jan Weinzierl,Q,Julien Cuaz,61 26 64,bergen,239,France F1,2001,futures
WC,Florent Serra,3,Jean-Baptiste Perlant,64 64,bergen,239,France F1,2001,futures
4,Ruben Ramirez Hidalgo,Q,Mehdi Tahiri,61 64,bergen,239,France F1,2001,futures
5,Tapio Nurminen,,Charles-Edouard Maria,62 46 62,bergen,239,France F1,2001,futures
7) W,Jerome Haehnel,Q,Baptiste Dupuy,64 63,bergen,239,France F1,2001,futures
,Slimane Saoudi,8,Dimitri Lorin,60 62,bergen,239,France F1,2001,futures
WC,Gregory Carraz,,Relja Fiser-Dulic,62 63,bergen,239,France F1,2001,futures
Q,Xavier Pujo,Q,Johan Rousseaux,50 (RET),bergen,239,France F1,2001,futures
1,Jan Weinzierl,,Vitali Chvets,46 63 63,bergen,239,France F1,2001,futures
WC,Gregory Carraz,2,Ivan Beros,64 63,bergen,239,France F1,2001,futures
3,Jean-Baptiste Perlant,,Uros Vico,761 63,bergen,239,France F1,2001,futures
4,Ruben Ramirez Hidalgo,,Ivan Navarro,64 60,bergen,239,France F1,2001,futures
5,Tapio Nurminen,,Jun Kato,62 06 64,bergen,239,France F1,2001,futures
Q,Johan Rousseaux,6,Marco Chiudinelli,36 63 765,bergen,239,France F1,2001,futures
7) W,Jerome Haehnel,,Tommi Lenho,61 63,bergen,239,France F1,2001,futures
8,Dimitri Lorin,,Per Thornadtsson,64 26 63,bergen,239,France F1,2001,futures
Q,Julien Cuaz,,Radim Zitko,61 60,bergen,239,France F1,2001,futures
Q,Baptiste Dupuy,Q,Sebastien Lami,36 62 63,bergen,239,France F1,2001,futures
,Relja Fiser-Dulic,WC,Thierry Ascione,75 64,bergen,239,France F1,2001,futures
,Charles-Edouard Maria,,Julien Couly,61 62,bergen,239,France F1,2001,futures
Q,Xavier Pujo,,Christopher Kas,64 61,bergen,239,France F1,2001,futures
,Slimane Saoudi,Q,Olivier Ramos,64 46 63,bergen,239,France F1,2001,futures
WC,Florent Serra,Q,Cyril Francois,63 62,bergen,239,France F1,2001,futures
Q,Mehdi Tahiri,,Mario Munoz-Bejarano,57 60 63,bergen,239,France F1,2001,futures
8) ,Gregory Carraz,,Relja Fiser-Dulic,62 61,travemunde,249,France F2,2001,futures
8) ,Gregory Carraz,7,Jean-Baptiste Perlant,62 764,travemunde,249,France F2,2001,futures
,Relja Fiser-Dulic,8,Ruben Ramirez Hidalgo,672 64 765,travemunde,249,France F2,2001,futures
7,Jean-Baptiste Perlant,10) ,Julien Varlet,75 64,travemunde,249,France F2,2001,futures
8) ,Gregory Carraz,,Arnaud Fontaine,63 62,travemunde,249,France F2,2001,futures
