Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
8,Filip Dewulf,,Nicolas Coutelot,62 62,bergen,239,France F1,2000,futures
8,Filip Dewulf,Q,Slimane Saoudi,61 63,bergen,239,France F1,2000,futures
,Nicolas Coutelot,Q,Julien Varlet,16 75 60,bergen,239,France F1,2000,futures
Q,Slimane Saoudi,4,Kris Goossens,61 16 63,bergen,239,France F1,2000,futures
,Nicolas Coutelot,7,Reginald Willems,61 61,bergen,239,France F1,2000,futures
8,Filip Dewulf,WC,Julien Benneteau,57 62 61,bergen,239,France F1,2000,futures
Q,Julien Varlet,,Jan Hernych,64 60,bergen,239,France F1,2000,futures
WC,Julien Benneteau,1,David Miketa,60 64,bergen,239,France F1,2000,futures
,Jan Hernych,3,Gerard Solves,57 764 763,bergen,239,France F1,2000,futures
4,Kris Goossens,LL,Arnaud Fontaine,64 765,bergen,239,France F1,2000,futures
Q,Julien Varlet,5,Johan Van Herck,36 64 60,bergen,239,France F1,2000,futures
Q,Slimane Saoudi,6,Igor Kunitsyn,61 62,bergen,239,France F1,2000,futures
7,Reginald Willems,WC,Eric Prodon,64 63,bergen,239,France F1,2000,futures
8,Filip Dewulf,,Julien Cuaz,766 62,bergen,239,France F1,2000,futures
,Nicolas Coutelot,,Mounir El Aarej,762 26 63,bergen,239,France F1,2000,futures
1,David Miketa,Q,Benoit Foucher,61 763,bergen,239,France F1,2000,futures
,Nicolas Coutelot,2,Olivier Mutis,75 62,bergen,239,France F1,2000,futures
3,Gerard Solves,Q,Olivier Ramos,64 62,bergen,239,France F1,2000,futures
4,Kris Goossens,,Uros Vico,46 62 64,bergen,239,France F1,2000,futures
5,Johan Van Herck,,Helge Koll,63 75,bergen,239,France F1,2000,futures
6,Igor Kunitsyn,WC,Jerome Haehnel,62 26 765,bergen,239,France F1,2000,futures
7,Reginald Willems,,Nicolas Thomann,762 61,bergen,239,France F1,2000,futures
8,Filip Dewulf,Q,Cyril Saubion,61 63,bergen,239,France F1,2000,futures
WC,Julien Benneteau,,Riccardo Ciruolo,64 63,bergen,239,France F1,2000,futures
,Julien Cuaz,Q,Thierry Ascione,64 16 60,bergen,239,France F1,2000,futures
,Mounir El Aarej,,Stefano Cobolli,26 761 60,bergen,239,France F1,2000,futures
LL,Arnaud Fontaine,,Melvyn Op der Heijde,766 62,bergen,239,France F1,2000,futures
