Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
2,Francesco Aldi,1,Sergio Gutierrez-Ferrol,63 75,guaruja,237,Spain F1,2010,futures
1,Sergio Gutierrez-Ferrol,WC,Pablo Martin-Adalia,60 75,guaruja,237,Spain F1,2010,futures
2,Francesco Aldi,3,Attila Balazs,63 57 64,guaruja,237,Spain F1,2010,futures
1,Sergio Gutierrez-Ferrol,,Clinton Thomson,63 63,guaruja,237,Spain F1,2010,futures
2,Francesco Aldi,,Axel Michon,762 60,guaruja,237,Spain F1,2010,futures
3,Attila Balazs,,Marcelo Palacios-Siegenthale,36 61 62,guaruja,237,Spain F1,2010,futures
WC,Pablo Martin-Adalia,4,Ignacio Coll-Riudavets,63 61,guaruja,237,Spain F1,2010,futures
1,Sergio Gutierrez-Ferrol,,Marius Zay,63 64,guaruja,237,Spain F1,2010,futures
2,Francesco Aldi,,Cesar Ferrer-Victoria,61 62,guaruja,237,Spain F1,2010,futures
3,Attila Balazs,Q,Maxime Teixeira,62 61,guaruja,237,Spain F1,2010,futures
4,Ignacio Coll-Riudavets,Q,Jaume Martinez Vich,62 64,guaruja,237,Spain F1,2010,futures
,Axel Michon,6,Alexander Lobkov,60 61,guaruja,237,Spain F1,2010,futures
WC,Pablo Martin-Adalia,7,Pablo Carreno Busta,61 62,guaruja,237,Spain F1,2010,futures
,Marcelo Palacios-Siegenthale,,David Souto,61 36 62,guaruja,237,Spain F1,2010,futures
,Clinton Thomson,WC,Javier Valenzuela-Gonzalez,63 64,guaruja,237,Spain F1,2010,futures
1,Sergio Gutierrez-Ferrol,WC,Cristian Gonzalez Mendez,64 60,guaruja,237,Spain F1,2010,futures
2,Francesco Aldi,,Carlos Calderon-Rodriguez,63 46 64,guaruja,237,Spain F1,2010,futures
3,Attila Balazs,,Gilles De Sousa,63 61,guaruja,237,Spain F1,2010,futures
4,Ignacio Coll-Riudavets,,Claudio Fortuna,62 64,guaruja,237,Spain F1,2010,futures
,David Souto,5,Jose Antonio Sanchez-de Luna,64 62,guaruja,237,Spain F1,2010,futures
6,Alexander Lobkov,Q,Ismael Rodriguez-Ramos,63 64,guaruja,237,Spain F1,2010,futures
7,Pablo Carreno Busta,Q,Gerard Gallego-Bertran,63 764,guaruja,237,Spain F1,2010,futures
,Clinton Thomson,8,Augustin Gensse,61 64,guaruja,237,Spain F1,2010,futures
,Cesar Ferrer-Victoria,,Matteo Volante,32 (RET),guaruja,237,Spain F1,2010,futures
WC,Pablo Martin-Adalia,Q,Marcos Esparcia Omedas,36 75 61,guaruja,237,Spain F1,2010,futures
Q,Jaume Martinez Vich,WC,Salvador Rodriguez-Mayoralas,63 767,guaruja,237,Spain F1,2010,futures
,Axel Michon,Q,Loic Ducourau,63 61,guaruja,237,Spain F1,2010,futures
,Marcelo Palacios-Siegenthale,,Juan Lizariturry,63 63,guaruja,237,Spain F1,2010,futures
Q,Maxime Teixeira,Q,Rafael Mazon-Hernandez,64 63,guaruja,237,Spain F1,2010,futures
WC,Javier Valenzuela-Gonzalez,Q,Sergio Martos Gornes,63 63,guaruja,237,Spain F1,2010,futures
,Marius Zay,,Marco Simoni,75 64,guaruja,237,Spain F1,2010,futures
3,Attila Balazs,2,Francesco Aldi,673 64 61,nancy,304,Spain F2,2010,futures
2,Francesco Aldi,8) W,Laurent Rochette,61 61,nancy,304,Spain F2,2010,futures
3,Attila Balazs,Q,Ivan Nedelko,63 36 62,nancy,304,Spain F2,2010,futures
2,Francesco Aldi,Q,Sascha Kloer,63 22 (RET),nancy,304,Spain F2,2010,futures
3,Attila Balazs,Q,Clinton Thomson,60 30 (RET),nancy,304,Spain F2,2010,futures
8) W,Laurent Rochette,4,Adam Kellner,75 64,nancy,304,Spain F2,2010,futures
Q,Ivan Nedelko,6,Walter Trusendi,679 75 63,nancy,304,Spain F2,2010,futures
2,Francesco Aldi,,Marco Simoni,62 61,nancy,304,Spain F2,2010,futures
3,Attila Balazs,,Gilles De Sousa,61 26 60,nancy,304,Spain F2,2010,futures
4,Adam Kellner,Q,Maxime Teixeira,61 64,nancy,304,Spain F2,2010,futures
6,Walter Trusendi,,Axel Michon,64 57 63,nancy,304,Spain F2,2010,futures
Q,Clinton Thomson,7,Ignacio Coll-Riudavets,763 64,nancy,304,Spain F2,2010,futures
8) W,Laurent Rochette,,Abraham Gonzalez-Jimenez,63 75,nancy,304,Spain F2,2010,futures
Q,Sascha Kloer,,Pablo Martin-Adalia,61 63,nancy,304,Spain F2,2010,futures
Q,Ivan Nedelko,,Marcelo Palacios-Siegenthale,26 64 75,nancy,304,Spain F2,2010,futures
