Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
Q,Xavier Pujo,5,Jerome Hanquez,61 46 63,bergen,239,France F1,2003,futures
5,Jerome Hanquez,,Stephane Robert,63 64,bergen,239,France F1,2003,futures
Q,Xavier Pujo,,Thierry Ascione,63 63,bergen,239,France F1,2003,futures
Q,Xavier Pujo,1,Oscar Hernandez,36 64 60,bergen,239,France F1,2003,futures
5,Jerome Hanquez,Q,Julien Cuaz,63 63,bergen,239,France F1,2003,futures
,Thierry Ascione,8,Boris Pashanski,63 63,bergen,239,France F1,2003,futures
,Stephane Robert,,Dominique Coene,64 64,bergen,239,France F1,2003,futures
1,Oscar Hernandez,,Julien Jeanpierre,60 60,bergen,239,France F1,2003,futures
Q,Julien Cuaz,3,Nicolas Mahut,673 64 62,bergen,239,France F1,2003,futures
5,Jerome Hanquez,WC,Cyril Mokaiesh,46 61 61,bergen,239,France F1,2003,futures
,Dominique Coene,7,Jan Weinzierl,765 36 61,bergen,239,France F1,2003,futures
8,Boris Pashanski,,Jean-Christophe Faurel,64 06 64,bergen,239,France F1,2003,futures
,Thierry Ascione,,Sasa Tuksar,62 63,bergen,239,France F1,2003,futures
Q,Xavier Pujo,,Jean-Baptiste Perlant,767 61,bergen,239,France F1,2003,futures
,Stephane Robert,Q,Nicolas Tourte,64 62,bergen,239,France F1,2003,futures
1,Oscar Hernandez,,Adrian Cruciat,765 62,bergen,239,France F1,2003,futures
Q,Nicolas Tourte,2,Rodolphe Cadart,75 75,bergen,239,France F1,2003,futures
3,Nicolas Mahut,Q,Stan Wawrinka,765 64,bergen,239,France F1,2003,futures
,Thierry Ascione,4,Oscar Serrano,64 64,bergen,239,France F1,2003,futures
5,Jerome Hanquez,Q,Ouassel Hared,63 63,bergen,239,France F1,2003,futures
Q,Xavier Pujo,6,Roman Valent,762 61,bergen,239,France F1,2003,futures
7,Jan Weinzierl,Q,Laurent Silvy,61 63,bergen,239,France F1,2003,futures
8,Boris Pashanski,,Thomas Oger,64 64,bergen,239,France F1,2003,futures
,Dominique Coene,Q,Juan Albert Viloca-Puig,64 36 63,bergen,239,France F1,2003,futures
Q,Julien Cuaz,WC,Jean Baptiste Robin,63 61,bergen,239,France F1,2003,futures
,Jean-Christophe Faurel,,Edouard Roger-Vasselin,75 64,bergen,239,France F1,2003,futures
,Julien Jeanpierre,Q,Baptiste Dupuy,75 63,bergen,239,France F1,2003,futures
WC,Cyril Mokaiesh,WC,Jean-Baptiste Gorrieri,61 63,bergen,239,France F1,2003,futures
,Jean-Baptiste Perlant,WC,Jonathan Hilaire,63 64,bergen,239,France F1,2003,futures
,Stephane Robert,,Jerome Haehnel,764 60,bergen,239,France F1,2003,futures
,Sasa Tuksar,,Stefan Wauters,763 36 64,bergen,239,France F1,2003,futures
4,Oscar Serrano,SE,Xavier Pujo,75 57 64,travemunde,249,France F2,2003,futures
4,Oscar Serrano,,Jerome Haehnel,16 63 63,travemunde,249,France F2,2003,futures
SE,Xavier Pujo,,Juan Albert Viloca-Puig,768 763,travemunde,249,France F2,2003,futures
4,Oscar Serrano,LL,Dominique Coene,26 63 63,travemunde,249,France F2,2003,futures
,Jerome Haehnel,WC,Nicolas Devilder,762 63,travemunde,249,France F2,2003,futures
SE,Xavier Pujo,,Jean-Baptiste Perlant,64 64,travemunde,249,France F2,2003,futures
,Juan Albert Viloca-Puig,,Regis Lavergne,64 64,travemunde,249,France F2,2003,futures
4,Oscar Serrano,Q,Jean-Michel Pequery,63 64,travemunde,249,France F2,2003,futures
LL,Dominique Coene,,Edouard Roger-Vasselin,62 62,travemunde,249,France F2,2003,futures
WC,Nicolas Devilder,WC,Thomas Oger,63 36 62,travemunde,249,France F2,2003,futures
,Jerome Haehnel,Q,Sasa Tuksar,61 64,travemunde,249,France F2,2003,futures
,Regis Lavergne,Q,Timothy Aerts,75 674 64,travemunde,249,France F2,2003,futures
,Jean-Baptiste Perlant,,Stephane Robert,61 63,travemunde,249,France F2,2003,futures
SE,Xavier Pujo,,Thierry Ascione,26 64 763,travemunde,249,France F2,2003,futures
,Juan Albert Viloca-Puig,Q,Stan Wawrinka,62 64,travemunde,249,France F2,2003,futures
SE,Xavier Pujo,1,Oscar Hernandez,64 64,travemunde,249,France F2,2003,futures
WC,Nicolas Devilder,2,Rodolphe Cadart,46 63 64,travemunde,249,France F2,2003,futures
Q,Timothy Aerts,3,Nicolas Mahut,26 763 64,travemunde,249,France F2,2003,futures
4,Oscar Serrano,WC,Charly Villeneuve,62 36 64,travemunde,249,France F2,2003,futures
,Jerome Haehnel,5,Jerome Hanquez,63 64,travemunde,249,France F2,2003,futures
,Juan Albert Viloca-Puig,6,Jan Weinzierl,36 60 64,travemunde,249,France F2,2003,futures
LL,Dominique Coene,7,Boris Pashanski,63 62,travemunde,249,France F2,2003,futures
,Stephane Robert,8,Adrian Cruciat,64 762,travemunde,249,France F2,2003,futures
,Thierry Ascione,Q,Stephane Martinez,62 64,travemunde,249,France F2,2003,futures
,Regis Lavergne,,Julien Jeanpierre,63 64,travemunde,249,France F2,2003,futures
WC,Thomas Oger,Q,Paul Capdeville,63 63,travemunde,249,France F2,2003,futures
Q,Jean-Michel Pequery,,Jean-Christophe Faurel,62 62,travemunde,249,France F2,2003,futures
,Jean-Baptiste Perlant,,Stefan Wauters,63 60,travemunde,249,France F2,2003,futures
,Edouard Roger-Vasselin,Q,Baptiste Dupuy,46 61 64,travemunde,249,France F2,2003,futures
Q,Sasa Tuksar,Q,Lee Childs,62 64,travemunde,249,France F2,2003,futures
Q,Stan Wawrinka,WC,Gilles Simon,64 64,travemunde,249,France F2,2003,futures
8,Nicolas Mahut,,Regis Lavergne,46 63 63,munich,259,France F3,2003,futures
8,Nicolas Mahut,,Jean-Christophe Faurel,60 63,munich,259,France F3,2003,futures
,Regis Lavergne,,Oscar Serrano,63 60,munich,259,France F3,2003,futures
,Regis Lavergne,6,Eric Prodon,57 63 63,munich,259,France F3,2003,futures
,Jean-Christophe Faurel,7,Rodolphe Cadart,62 64,munich,259,France F3,2003,futures
8,Nicolas Mahut,,Stefan Wauters,64 61,munich,259,France F3,2003,futures
,Oscar Serrano,Q,Sasa Tuksar,673 62 64,munich,259,France F3,2003,futures
,Stefan Wauters,2,Marc Lopez,63 26 63,munich,259,France F3,2003,futures
Q,Sasa Tuksar,5,Marc Gicquel,765 61,munich,259,France F3,2003,futures
6,Eric Prodon,WC,Edouard Roger-Vasselin,766 64,munich,259,France F3,2003,futures
7,Rodolphe Cadart,,Stephane Robert,62 60,munich,259,France F3,2003,futures
8,Nicolas Mahut,Q,Mehdi Tahiri,63 61,munich,259,France F3,2003,futures
,Jean-Christophe Faurel,Q,Baptiste Dupuy,62 63,munich,259,France F3,2003,futures
,Regis Lavergne,Q,Jean-Michel Pequery,64 63,munich,259,France F3,2003,futures
,Oscar Serrano,,Julien Jeanpierre,16 63 62,munich,259,France F3,2003,futures
,Regis Lavergne,1,Juan Giner,26 64 61,munich,259,France F3,2003,futures
2,Marc Lopez,,Adrian Cruciat,61 764,munich,259,France F3,2003,futures
Q,Baptiste Dupuy,3,Didac Perez,61 64,munich,259,France F3,2003,futures
,Julien Jeanpierre,4,Oscar Hernandez,63 62,munich,259,France F3,2003,futures
5,Marc Gicquel,WC,Clement Morel,64 62,munich,259,France F3,2003,futures
6,Eric Prodon,,Jerome Hanquez,671 765 64,munich,259,France F3,2003,futures
7,Rodolphe Cadart,SE,Juan Albert Viloca-Puig,675 62 63,munich,259,France F3,2003,futures
8,Nicolas Mahut,,Jerome Haehnel,64 36 61,munich,259,France F3,2003,futures
,Jean-Christophe Faurel,Q,Nikola Ciric,75 63,munich,259,France F3,2003,futures
Q,Jean-Michel Pequery,,Jan Weinzierl,61 764,munich,259,France F3,2003,futures
,Stephane Robert,,Ben-Qiang Zhu,62 679 63,munich,259,France F3,2003,futures
WC,Edouard Roger-Vasselin,WC,Charly Villeneuve,765 61,munich,259,France F3,2003,futures
,Oscar Serrano,WC,Sebastien Kosak,64 63,munich,259,France F3,2003,futures
Q,Mehdi Tahiri,Q,Julien Cuaz,63 63,munich,259,France F3,2003,futures
Q,Sasa Tuksar,Q,Olivier Tauma,763 63,munich,259,France F3,2003,futures
,Stefan Wauters,Q,Jonathan Hilaire,765 64,munich,259,France F3,2003,futures
,Nicolas Todero,,Diego Veronelli,64 63,naples,806,Jamaica F1,2003,futures
,Diego Veronelli,1,Juan-Pablo Guzman,63 57 63,naples,806,Jamaica F1,2003,futures
,Nicolas Todero,,Dmitri Sitak,672 765 63,naples,806,Jamaica F1,2003,futures
1,Juan-Pablo Guzman,6,Rodrigo Monte,64 75,naples,806,Jamaica F1,2003,futures
,Dmitri Sitak,2,Andres Dellatorre,46 64 63,naples,806,Jamaica F1,2003,futures
,Nicolas Todero,Q,Alexandre Bonatto,61 62,naples,806,Jamaica F1,2003,futures
,Diego Veronelli,,Benjamin Cassaigne,36 63 64,naples,806,Jamaica F1,2003,futures
1,Juan-Pablo Guzman,,Michal Przysiezny,64 62,naples,806,Jamaica F1,2003,futures
2,Andres Dellatorre,Q,Jon Hedman,61 62,naples,806,Jamaica F1,2003,futures
6,Rodrigo Monte,,Cristian Villagran,61 64,naples,806,Jamaica F1,2003,futures
Q,Alexandre Bonatto,7,Jean-Julien Rojer,46 63 64,naples,806,Jamaica F1,2003,futures
,Benjamin Cassaigne,LL,Marlon Gichie,61 60,naples,806,Jamaica F1,2003,futures
,Dmitri Sitak,,Darko Madjarovski,64 62,naples,806,Jamaica F1,2003,futures
,Nicolas Todero,Q,Farrukh Dustov,764 62,naples,806,Jamaica F1,2003,futures
,Diego Veronelli,,Dimitri Lorin,62 61,naples,806,Jamaica F1,2003,futures
1,Juan-Pablo Guzman,,Ryan Russell,62 64,naples,806,Jamaica F1,2003,futures
2,Andres Dellatorre,Q,Cary Franklin,63 63,naples,806,Jamaica F1,2003,futures
,Nicolas Todero,3,Francisco Costa,63 31 (RET),naples,806,Jamaica F1,2003,futures
,Benjamin Cassaigne,4,Carlos Berlocq,61 36 64,naples,806,Jamaica F1,2003,futures
,Dmitri Sitak,5,Jose De Armas,75 64,naples,806,Jamaica F1,2003,futures
6,Rodrigo Monte,LL,Chris Whitfield,60 61,naples,806,Jamaica F1,2003,futures
7,Jean-Julien Rojer,WC,Kevron Bennet,60 60,naples,806,Jamaica F1,2003,futures
,Diego Veronelli,8,Jamie Delgado,75 63,naples,806,Jamaica F1,2003,futures
Q,Alexandre Bonatto,Q,Javier Taborga,766 61,naples,806,Jamaica F1,2003,futures
Q,Farrukh Dustov,WC,Rayne Russell,62 62,naples,806,Jamaica F1,2003,futures
LL,Marlon Gichie,WC,Kile Sherry,36 64 62,naples,806,Jamaica F1,2003,futures
Q,Jon Hedman,Q,Mikhail Vasiliev,62 63,naples,806,Jamaica F1,2003,futures
,Dimitri Lorin,LL,Bjorn Munroe,62 46 75,naples,806,Jamaica F1,2003,futures
,Darko Madjarovski,Q,Christian Johansson,61 63,naples,806,Jamaica F1,2003,futures
,Michal Przysiezny,,Dustin Brown,675 62 60,naples,806,Jamaica F1,2003,futures
,Cristian Villagran,Q,Photos Kallias,75 61,naples,806,Jamaica F1,2003,futures
2,Marc Gicquel,,Ben-Qiang Zhu,62 64,chigasaki,265,France F4,2003,futures
2,Marc Gicquel,4,Nicolas Mahut,46 763 64,chigasaki,265,France F4,2003,futures
,Ben-Qiang Zhu,,Jean-Michel Pequery,64 672 63,chigasaki,265,France F4,2003,futures
2,Marc Gicquel,LL,Gregory Girault,675 60 64,chigasaki,265,France F4,2003,futures
4,Nicolas Mahut,,Regis Lavergne,64 63,chigasaki,265,France F4,2003,futures
,Jean-Michel Pequery,7,Jerome Hanquez,63 64,chigasaki,265,France F4,2003,futures
,Ben-Qiang Zhu,Q,Timothy Aerts,767 75,chigasaki,265,France F4,2003,futures
Q,Timothy Aerts,1,Olivier Patience,62 64,chigasaki,265,France F4,2003,futures
2,Marc Gicquel,WC,Julien Maigret,62 62,chigasaki,265,France F4,2003,futures
4,Nicolas Mahut,,Edouard Roger-Vasselin,63 765,chigasaki,265,France F4,2003,futures
7,Jerome Hanquez,,Thierry Ascione,64 672 62,chigasaki,265,France F4,2003,futures
LL,Gregory Girault,,Fabrice Betencourt,63 43 (RET),chigasaki,265,France F4,2003,futures
,Regis Lavergne,,Jerome Haehnel,764 676 63,chigasaki,265,France F4,2003,futures
,Jean-Michel Pequery,,Adrian Cruciat,62 62,chigasaki,265,France F4,2003,futures
,Ben-Qiang Zhu,Q,Baptiste Ranoldi,63 62,chigasaki,265,France F4,2003,futures
1,Olivier Patience,Q,Gilles Simon,64 61,chigasaki,265,France F4,2003,futures
2,Marc Gicquel,Q,Sebastien Lami,765 63,chigasaki,265,France F4,2003,futures
,Adrian Cruciat,3,Lionel Roux,61 64,chigasaki,265,France F4,2003,futures
4,Nicolas Mahut,Q,Olivier Vandewiele,61 61,chigasaki,265,France F4,2003,futures
,Fabrice Betencourt,5,Oscar Serrano,64 75,chigasaki,265,France F4,2003,futures
,Jerome Haehnel,6,Slimane Saoudi,62 26 64,chigasaki,265,France F4,2003,futures
7,Jerome Hanquez,,Thomas Oger,63 (RET),chigasaki,265,France F4,2003,futures
,Ben-Qiang Zhu,8,Jan Weinzierl,64 61,chigasaki,265,France F4,2003,futures
Q,Timothy Aerts,WC,Josselin Ouanna,61 64,chigasaki,265,France F4,2003,futures
,Thierry Ascione,Q,Marc Bauer,75 62,chigasaki,265,France F4,2003,futures
LL,Gregory Girault,,Jean-Christophe Faurel,762 36 64,chigasaki,265,France F4,2003,futures
,Regis Lavergne,WC,Baptiste Dupuy,64 46 763,chigasaki,265,France F4,2003,futures
WC,Julien Maigret,Q,Matthieu Amgwerd,61 62,chigasaki,265,France F4,2003,futures
,Jean-Michel Pequery,WC,Marc Auradou,62 62,chigasaki,265,France F4,2003,futures
Q,Baptiste Ranoldi,,Mounir El Aarej,16 64 62,chigasaki,265,France F4,2003,futures
,Edouard Roger-Vasselin,Q,Antoine Bernard,46 62 765,chigasaki,265,France F4,2003,futures
7,Jean-Julien Rojer,3,Francisco Costa,46 64 63,salou,466,Jamaica F2,2003,futures
