Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
2,Wally Masur,11,Juan Farrow,62 46 76,perth,243,Perth,1983,challenger
2,Wally Masur,12,Dave Siegler,63 75,perth,243,Perth,1983,challenger
11,Juan Farrow,3,Eddie Edwards,26 64 76,perth,243,Perth,1983,challenger
2,Wally Masur,6,Broderick Dyke,63 60,perth,243,Perth,1983,challenger
3,Eddie Edwards,5,Wayne Hampson,76 61,perth,243,Perth,1983,challenger
12,Dave Siegler,9,Peter Johnston,26 76 64,perth,243,Perth,1983,challenger
11,Juan Farrow,,Ken Barton,62 62,perth,243,Perth,1983,challenger
2,Wally Masur,15,Jonathan Canter,62 76,perth,243,Perth,1983,challenger
3,Eddie Edwards,16,John Frawley,26 62 62,perth,243,Perth,1983,challenger
5,Wayne Hampson,13,John McCurdy,76 67 75,perth,243,Perth,1983,challenger
6,Broderick Dyke,,Eduardo Oncins,36 75 64,perth,243,Perth,1983,challenger
9,Peter Johnston,,Sean Brawley,64 64,perth,243,Perth,1983,challenger
11,Juan Farrow,,John Stoddart,60 61,perth,243,Perth,1983,challenger
12,Dave Siegler,,Bill Maze,46 63 76,perth,243,Perth,1983,challenger
,Ken Barton,,Peter Doohan,62 76,perth,243,Perth,1983,challenger
2,Wally Masur,,Alessandro De Minicis,63 60,perth,243,Perth,1983,challenger
3,Eddie Edwards,,Michael Fancutt,62 46 64,perth,243,Perth,1983,challenger
5,Wayne Hampson,,Lawrence Hall,76 67 62,perth,243,Perth,1983,challenger
6,Broderick Dyke,,Simon Youl,63 63,perth,243,Perth,1983,challenger
,Sean Brawley,7,Rand Evett,46 63 62,perth,243,Perth,1983,challenger
9,Peter Johnston,Q,Bill Gilmour,63 63,perth,243,Perth,1983,challenger
,Peter Doohan,10,Syd Ball,62 76,perth,243,Perth,1983,challenger
11,Juan Farrow,,Bruno Capineri,62 64,perth,243,Perth,1983,challenger
12,Dave Siegler,,Laurie Warder,64 63,perth,243,Perth,1983,challenger
13,John McCurdy,,David Graham,76 63,perth,243,Perth,1983,challenger
15,Jonathan Canter,,Ross Case,63 61,perth,243,Perth,1983,challenger
16,John Frawley,,Joe Meyers,67 64 76,perth,243,Perth,1983,challenger
,Ken Barton,,Mark Freedman,63 75,perth,243,Perth,1983,challenger
,Bill Maze,,John Benson,64 76,perth,243,Perth,1983,challenger
,Eduardo Oncins,,Carl Limberger,63 63,perth,243,Perth,1983,challenger
,John Stoddart,,Adrian Targett,62 64,perth,243,Perth,1983,challenger
,Mark Freedman,1,Craig A Miller,75 64,perth,243,Perth,1983,challenger
2,Wally Masur,Q,Graham Riddle,76 63,perth,243,Perth,1983,challenger
3,Eddie Edwards,Q,Peter Dellavedova,62 62,perth,243,Perth,1983,challenger
,John Benson,4,Chris Johnstone,63 46 76,perth,243,Perth,1983,challenger
5,Wayne Hampson,,Roger Grant,67 62 63,perth,243,Perth,1983,challenger
6,Broderick Dyke,,Mark Kratzmann,60 75,perth,243,Perth,1983,challenger
7,Rand Evett,,Chris Tregonning,67 64 64,perth,243,Perth,1983,challenger
9,Peter Johnston,,Gerald Mild,64 62,perth,243,Perth,1983,challenger
10,Syd Ball,,Brad Properjohn,76 63,perth,243,Perth,1983,challenger
