Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
,John Fitzgerald,4,Syd Ball,62 62,perth,243,Perth,1981,challenger
4,Syd Ball,1,Colin Dibley,64 63,perth,243,Perth,1981,challenger
,John Fitzgerald,3,Eddie Edwards,26 76 75,perth,243,Perth,1981,challenger
1,Colin Dibley,,Maurice Hunter,63 76,perth,243,Perth,1981,challenger
3,Eddie Edwards,6,Brad Drewett,57 62 64,perth,243,Perth,1981,challenger
4,Syd Ball,5,John James,63 57 64,perth,243,Perth,1981,challenger
,John Fitzgerald,,Brad Guan,61 46 64,perth,243,Perth,1981,challenger
1,Colin Dibley,,Chris Johnstone,61 62,perth,243,Perth,1981,challenger
,Brad Guan,2,Mark Edmondson,67 63 64,perth,243,Perth,1981,challenger
3,Eddie Edwards,,Greg Whitecross,75 46 63,perth,243,Perth,1981,challenger
4,Syd Ball,,Cliff Letcher,64 64,perth,243,Perth,1981,challenger
5,John James,,Craig A Miller,75 63,perth,243,Perth,1981,challenger
6,Brad Drewett,,Dale Collings,64 75,perth,243,Perth,1981,challenger
,John Fitzgerald,8,Wayne Hampson,63 67 64,perth,243,Perth,1981,challenger
,Maurice Hunter,,Lawrence Hall,63 64,perth,243,Perth,1981,challenger
1,Colin Dibley,,Pat Cash,61 46 1210,perth,243,Perth,1981,challenger
2,Mark Edmondson,,Peter Johnston,62 63,perth,243,Perth,1981,challenger
3,Eddie Edwards,,Glen Holroyd,62 64,perth,243,Perth,1981,challenger
4,Syd Ball,Q,Ray Kelly,76 62,perth,243,Perth,1981,challenger
5,John James,,Russell Barlow,62 61,perth,243,Perth,1981,challenger
6,Brad Drewett,,Wally Masur,76 63,perth,243,Perth,1981,challenger
,Lawrence Hall,7,Rick Fisher,63 64,perth,243,Perth,1981,challenger
8,Wayne Hampson,,Paul Van Min,76 36 62,perth,243,Perth,1981,challenger
,Dale Collings,,Broderick Dyke,46 62 1210,perth,243,Perth,1981,challenger
,John Fitzgerald,,Eric Wilborts,63 67 63,perth,243,Perth,1981,challenger
,Brad Guan,,Brad Langevad,76 76,perth,243,Perth,1981,challenger
,Maurice Hunter,,King Van Nostrand,64 67 97,perth,243,Perth,1981,challenger
,Chris Johnstone,,Peter Doohan,63 63,perth,243,Perth,1981,challenger
,Cliff Letcher,,Craig Edwards,76 64,perth,243,Perth,1981,challenger
,Craig A Miller,,Hank Moravec,62 63,perth,243,Perth,1981,challenger
,Greg Whitecross,,John McCurdy,76 64,perth,243,Perth,1981,challenger
1,Colin Dibley,,Gary Penberthy,63 64,perth,243,Perth,1981,challenger
2,Mark Edmondson,,Peter Barton,61 60,perth,243,Perth,1981,challenger
3,Eddie Edwards,,Cary Stansbury,61 76,perth,243,Perth,1981,challenger
4,Syd Ball,,Claude England,60 60,perth,243,Perth,1981,challenger
5,John James,,J. Thorpe,62 60,perth,243,Perth,1981,challenger
6,Brad Drewett,,Ian Chapman,64 63,perth,243,Perth,1981,challenger
7,Rick Fisher,,A. Hall,67 63 62,perth,243,Perth,1981,challenger
8,Wayne Hampson,,John Tregonning,76 36 62,perth,243,Perth,1981,challenger
,Russell Barlow,,Beejong Sisson,75 46 62,perth,243,Perth,1981,challenger
,Pat Cash,,William Blaze,(NA),perth,243,Perth,1981,challenger
,Dale Collings,Q,B. Tognolini,63 63,perth,243,Perth,1981,challenger
,Peter Doohan,Q,Carl Limberger,63 63,perth,243,Perth,1981,challenger
,Broderick Dyke,,Roger Grant,62 64,perth,243,Perth,1981,challenger
,Craig Edwards,,Ross Olivieri,60 75,perth,243,Perth,1981,challenger
,John Fitzgerald,,Jai Dilouie,64 64,perth,243,Perth,1981,challenger
,Brad Guan,Q,Peter Mallett,64 62,perth,243,Perth,1981,challenger
,Lawrence Hall,,Bill Gilmour,64 63,perth,243,Perth,1981,challenger
,Glen Holroyd,,Peter Dellavedova,64 61,perth,243,Perth,1981,challenger
,Maurice Hunter,,Tony Di Fransisco,63 64,perth,243,Perth,1981,challenger
,Peter Johnston,,Steve Wood,61 63,perth,243,Perth,1981,challenger
,Chris Johnstone,,Chris Tregonning,61 64,perth,243,Perth,1981,challenger
Q,Ray Kelly,,John Blizzard,62 61,perth,243,Perth,1981,challenger
,Brad Langevad,,Bill Cowan,63 62,perth,243,Perth,1981,challenger
,Cliff Letcher,,H. Hampson,26 64 62,perth,243,Perth,1981,challenger
,Wally Masur,,Peter Smylie,63 61,perth,243,Perth,1981,challenger
,John McCurdy,,Craig Wittus,64 62,perth,243,Perth,1981,challenger
,Craig A Miller,,Eddie Myers,63 62,perth,243,Perth,1981,challenger
,Hank Moravec,Q,Wes Horskins,63 60,perth,243,Perth,1981,challenger
,Paul Van Min,,R. Brouse,63 75,perth,243,Perth,1981,challenger
,King Van Nostrand,,Wayne Pascoe,75 46 63,perth,243,Perth,1981,challenger
,Greg Whitecross,Q,Robert Casey,76 63,perth,243,Perth,1981,challenger
,Eric Wilborts,Q,Arnaud Decugis,63 76,perth,243,Perth,1981,challenger
8,Carlos Kirmayr,,Ricardo Cano,64 62,guaruja,237,Sao Paulo,1981,challenger
8,Carlos Kirmayr,,Ilie Nastase,64 63,guaruja,237,Sao Paulo,1981,challenger
,Ricardo Cano,,Kjell Johansson,64 64,guaruja,237,Sao Paulo,1981,challenger
8,Carlos Kirmayr,1,Eddie Dibbs,63 63,guaruja,237,Sao Paulo,1981,challenger
,Kjell Johansson,2,Bill Scanlon,75 63,guaruja,237,Sao Paulo,1981,challenger
,Ricardo Cano,,Eric Deblicker,46 62 64,guaruja,237,Sao Paulo,1981,challenger
,Ilie Nastase,,Angel Gimenez,75 75,guaruja,237,Sao Paulo,1981,challenger
1,Eddie Dibbs,,Guillermo Aubone,63 64,guaruja,237,Sao Paulo,1981,challenger
2,Bill Scanlon,,Henry Pfister,62 01 (RET),guaruja,237,Sao Paulo,1981,challenger
,Eric Deblicker,4,Victor Pecci Sr.,76 63,guaruja,237,Sao Paulo,1981,challenger
8,Carlos Kirmayr,Q,Harald Theissen,62 61,guaruja,237,Sao Paulo,1981,challenger
,Ricardo Cano,,Stefan Simonsson,63 64,guaruja,237,Sao Paulo,1981,challenger
,Angel Gimenez,,David Carter,76 60,guaruja,237,Sao Paulo,1981,challenger
,Kjell Johansson,,Paul Kronk,64 76,guaruja,237,Sao Paulo,1981,challenger
,Ilie Nastase,,Rick Fagel,61 36 61,guaruja,237,Sao Paulo,1981,challenger
1,Eddie Dibbs,,Fernando Maynetto,75 63,guaruja,237,Sao Paulo,1981,challenger
2,Bill Scanlon,,Joao Soares,62 60,guaruja,237,Sao Paulo,1981,challenger
,Rick Fagel,3,Jose Higueras,64 64,guaruja,237,Sao Paulo,1981,challenger
4,Victor Pecci Sr.,Q,Steve Meister,63 16 64,guaruja,237,Sao Paulo,1981,challenger
,Kjell Johansson,5,Mario Martinez,62 61,guaruja,237,Sao Paulo,1981,challenger
,David Carter,6,Marcos Hocevar,62 46 61,guaruja,237,Sao Paulo,1981,challenger
,Ricardo Cano,7,Thomas Koch,64 63,guaruja,237,Sao Paulo,1981,challenger
8,Carlos Kirmayr,,Christophe Freyss,62 62,guaruja,237,Sao Paulo,1981,challenger
,Guillermo Aubone,,Roger Guedes,63 76,guaruja,237,Sao Paulo,1981,challenger
,Eric Deblicker,,Pablo Arraya,75 64,guaruja,237,Sao Paulo,1981,challenger
,Angel Gimenez,,Howard Schoenfield,60 60,guaruja,237,Sao Paulo,1981,challenger
,Paul Kronk,,Gabriel Urpi,60 62,guaruja,237,Sao Paulo,1981,challenger
,Ilie Nastase,,Ney Keller,75 62,guaruja,237,Sao Paulo,1981,challenger
,Henry Pfister,,Jose Lopez-Maeso,(NA),guaruja,237,Sao Paulo,1981,challenger
,Stefan Simonsson,Q,Diego Perez,61 10 (RET),guaruja,237,Sao Paulo,1981,challenger
Q,Harald Theissen,,Jairo Velasco Sr,64 26 64,guaruja,237,Sao Paulo,1981,challenger
,Craig Wittus,,Mark Vines,26 63 60,ogun,203,Ogun,1981,challenger
,Mark Vines,1,Steve Docherty,22 (RET),ogun,203,Ogun,1981,challenger
,Craig Wittus,,Ian Harris,63 76,ogun,203,Ogun,1981,challenger
1,Steve Docherty,7,Robert Reininger,64 46 86,ogun,203,Ogun,1981,challenger
,Ian Harris,4,Filip Krajcik,63 64,ogun,203,Ogun,1981,challenger
,Mark Vines,,Romanus Chuks Nwazu,61 62,ogun,203,Ogun,1981,challenger
,Craig Wittus,,Gianluca Rinaldini,63 64,ogun,203,Ogun,1981,challenger
1,Steve Docherty,,Bob Weise,61 62,ogun,203,Ogun,1981,challenger
4,Filip Krajcik,Q,Marzio Miloro,76 61,ogun,203,Ogun,1981,challenger
7,Robert Reininger,,Bullus Hussaini,46 61 63,ogun,203,Ogun,1981,challenger
,Ian Harris,,Roberto Lombardi,67 60 75,ogun,203,Ogun,1981,challenger
,Romanus Chuks Nwazu,,Stuart King,16 61 75,ogun,203,Ogun,1981,challenger
,Gianluca Rinaldini,,Jeremy Dier,60 62,ogun,203,Ogun,1981,challenger
,Mark Vines,,Stephen Olagbegi,61 61,ogun,203,Ogun,1981,challenger
,Craig Wittus,,Tony Mmoh,46 75 63,ogun,203,Ogun,1981,challenger
1,Steve Docherty,Q,Vittorio Magnelli,62 62,ogun,203,Ogun,1981,challenger
,Craig Wittus,2,Robin Drysdale,63 31 (RET),ogun,203,Ogun,1981,challenger
,Mark Vines,3,Harry Fritz,(W/O),ogun,203,Ogun,1981,challenger
4,Filip Krajcik,,Marco Bellini,36 63 63,ogun,203,Ogun,1981,challenger
,Ian Harris,5,Famiano Meneschincheri,63 64,ogun,203,Ogun,1981,challenger
,Romanus Chuks Nwazu,6,Junie Chatman,26 64 64,ogun,203,Ogun,1981,challenger
7,Robert Reininger,,Ola Hellgren,62 64,ogun,203,Ogun,1981,challenger
,Gianluca Rinaldini,8,Guy Fritz,46 63 62,ogun,203,Ogun,1981,challenger
,Jeremy Dier,,Olalekan Onileere,62 61,ogun,203,Ogun,1981,challenger
