Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
2,Todd Woodbridge,,Hendrik Dreekmann,63 63,wellington,503,Wellington,1994,challenger
2,Todd Woodbridge,6,Kenny Thorne,63 67 76,wellington,503,Wellington,1994,challenger
,Hendrik Dreekmann,7,Tomas Nydahl,76 60,wellington,503,Wellington,1994,challenger
2,Todd Woodbridge,,Sandon Stolle,64 62,wellington,503,Wellington,1994,challenger
6,Kenny Thorne,,Patrick Baur,62 63,wellington,503,Wellington,1994,challenger
7,Tomas Nydahl,,Michael Geserer,64 62,wellington,503,Wellington,1994,challenger
,Hendrik Dreekmann,WC,Andrew Batie,61 62,wellington,503,Wellington,1994,challenger
,Michael Geserer,1,Jeff Tarango,75 06 62,wellington,503,Wellington,1994,challenger
2,Todd Woodbridge,,Leonardo Lavalle,61 62,wellington,503,Wellington,1994,challenger
WC,Andrew Batie,5,Markus Naewie,62 26 63,wellington,503,Wellington,1994,challenger
6,Kenny Thorne,,Joshua Eagle,63 61,wellington,503,Wellington,1994,challenger
7,Tomas Nydahl,Q,Tom Mercer,63 62,wellington,503,Wellington,1994,challenger
,Sandon Stolle,8,Oliver Fernandez,63 61,wellington,503,Wellington,1994,challenger
,Patrick Baur,,Simon Youl,64 64,wellington,503,Wellington,1994,challenger
,Hendrik Dreekmann,,Martin Blackman,62 63,wellington,503,Wellington,1994,challenger
1,Jeff Tarango,,Louis Gloria,62 75,wellington,503,Wellington,1994,challenger
2,Todd Woodbridge,,Gilad Bloom,62 46 63,wellington,503,Wellington,1994,challenger
,Martin Blackman,3,Mark Petchey,63 46 64,wellington,503,Wellington,1994,challenger
5,Markus Naewie,WC,Steven Downs,64 26 62,wellington,503,Wellington,1994,challenger
6,Kenny Thorne,,David Witt,63 63,wellington,503,Wellington,1994,challenger
7,Tomas Nydahl,Q,Lars Burgsmuller,46 76 62,wellington,503,Wellington,1994,challenger
8,Oliver Fernandez,WC,James Greenhalgh,75 61,wellington,503,Wellington,1994,challenger
WC,Andrew Batie,Q,Leigh Holland,64 64,wellington,503,Wellington,1994,challenger
,Patrick Baur,LL,Tuomas Ketola,76 64,wellington,503,Wellington,1994,challenger
,Hendrik Dreekmann,,Eric Amend,61 26 64,wellington,503,Wellington,1994,challenger
,Joshua Eagle,Q,Christian Vinck,67 64 62,wellington,503,Wellington,1994,challenger
,Michael Geserer,,Mark Kaplan,46 63 75,wellington,503,Wellington,1994,challenger
,Leonardo Lavalle,,Brian Dunn,62 62,wellington,503,Wellington,1994,challenger
Q,Tom Mercer,,Paul Wekesa,75 61,wellington,503,Wellington,1994,challenger
,Sandon Stolle,WC,Kelly Evernden,64 62,wellington,503,Wellington,1994,challenger
,Simon Youl,,Ryuso Tsujino,63 62,wellington,503,Wellington,1994,challenger
,Markus Zoecke,3,Cristiano Caratti,63 64,heilbronn,460,Heilbronn,1994,challenger
3,Cristiano Caratti,2) W,Carl-Uwe Steeb,64 76,heilbronn,460,Heilbronn,1994,challenger
,Markus Zoecke,Q,Martin Sinner,64 67 63,heilbronn,460,Heilbronn,1994,challenger
2) W,Carl-Uwe Steeb,,Mark Knowles,63 75,heilbronn,460,Heilbronn,1994,challenger
3,Cristiano Caratti,,Mario Visconti,63 63,heilbronn,460,Heilbronn,1994,challenger
Q,Martin Sinner,4,Omar Camporese,63 76,heilbronn,460,Heilbronn,1994,challenger
,Markus Zoecke,,Arne Thoms,63 64,heilbronn,460,Heilbronn,1994,challenger
2) W,Carl-Uwe Steeb,WC,Paolo Cane,(W/O),heilbronn,460,Heilbronn,1994,challenger
3,Cristiano Caratti,Q,Lionel Barthez,62 61,heilbronn,460,Heilbronn,1994,challenger
4,Omar Camporese,,Kenny Thorne,62 63,heilbronn,460,Heilbronn,1994,challenger
,Mario Visconti,5,Hendrik Dreekmann,62 64,heilbronn,460,Heilbronn,1994,challenger
,Mark Knowles,,Juan Gisbert Jr,63 46 61,heilbronn,460,Heilbronn,1994,challenger
Q,Martin Sinner,,Laurence Tieleman,46 76 61,heilbronn,460,Heilbronn,1994,challenger
,Arne Thoms,Q,Patrick Baur,57 63 64,heilbronn,460,Heilbronn,1994,challenger
,Markus Zoecke,,David Engel,26 76 76,heilbronn,460,Heilbronn,1994,challenger
,Arne Thoms,1,David Prinosil,76 76,heilbronn,460,Heilbronn,1994,challenger
2) W,Carl-Uwe Steeb,Q,Martin Strelba,46 64 61,heilbronn,460,Heilbronn,1994,challenger
3,Cristiano Caratti,,Thierry Champion,62 64,heilbronn,460,Heilbronn,1994,challenger
4,Omar Camporese,,Michael Geserer,76 60,heilbronn,460,Heilbronn,1994,challenger
5,Hendrik Dreekmann,WC,Razvan Sabau,63 61,heilbronn,460,Heilbronn,1994,challenger
,Laurence Tieleman,6,Markus Naewie,63 57 64,heilbronn,460,Heilbronn,1994,challenger
,Mark Knowles,7,Karim Alami,64 64,heilbronn,460,Heilbronn,1994,challenger
,Markus Zoecke,8,Richard Matuszewski,60 76,heilbronn,460,Heilbronn,1994,challenger
Q,Lionel Barthez,,Danilo Marcelino,63 64,heilbronn,460,Heilbronn,1994,challenger
Q,Patrick Baur,,Joao Cunha-Silva,76 61,heilbronn,460,Heilbronn,1994,challenger
WC,Paolo Cane,,Dirk Dier,46 76 63,heilbronn,460,Heilbronn,1994,challenger
,David Engel,,Christian Ruud,75 64,heilbronn,460,Heilbronn,1994,challenger
,Juan Gisbert Jr,,Francisco Roig,63 75,heilbronn,460,Heilbronn,1994,challenger
Q,Martin Sinner,WC,Udo Riglewski,75 62,heilbronn,460,Heilbronn,1994,challenger
,Kenny Thorne,,Jozsef Krocsko,75 64,heilbronn,460,Heilbronn,1994,challenger
,Mario Visconti,,Tomas Nydahl,63 63,heilbronn,460,Heilbronn,1994,challenger
,Albert Costa,,Gaston Etlis,63 36 60,mar-del-plata,847,Mar Del Plata,1994,challenger
,Albert Costa,3,Franco Davin,36 63 62,mar-del-plata,847,Mar Del Plata,1994,challenger
,Gaston Etlis,,Dinu Pescariu,62 76,mar-del-plata,847,Mar Del Plata,1994,challenger
,Albert Costa,2,Horst Skoff,62 76,mar-del-plata,847,Mar Del Plata,1994,challenger
3,Franco Davin,,Miguel Pastura,60 75,mar-del-plata,847,Mar Del Plata,1994,challenger
,Gaston Etlis,,Filippo Messori,62 62,mar-del-plata,847,Mar Del Plata,1994,challenger
,Dinu Pescariu,,Marcos Aurelio Gorriz,63 63,mar-del-plata,847,Mar Del Plata,1994,challenger
2,Horst Skoff,WC,Marcelo Charpentier,64 62,mar-del-plata,847,Mar Del Plata,1994,challenger
3,Franco Davin,,Jose-Luis Noriega,63 76,mar-del-plata,847,Mar Del Plata,1994,challenger
,Marcos Aurelio Gorriz,4,Gerard Solves,64 64,mar-del-plata,847,Mar Del Plata,1994,challenger
,Miguel Pastura,5,Oliver Fernandez,75 67 02 (DEF),mar-del-plata,847,Mar Del Plata,1994,challenger
,Albert Costa,,Martin Stringari,64 62,mar-del-plata,847,Mar Del Plata,1994,challenger
,Gaston Etlis,Q,Hector Moretti,64 63,mar-del-plata,847,Mar Del Plata,1994,challenger
,Filippo Messori,,Francisco Montana,76 62,mar-del-plata,847,Mar Del Plata,1994,challenger
,Dinu Pescariu,WC,Mariano Zabaleta,67 64 76,mar-del-plata,847,Mar Del Plata,1994,challenger
Q,Hector Moretti,1,Horacio De La Pena,63 64,mar-del-plata,847,Mar Del Plata,1994,challenger
2,Horst Skoff,Q,Rodolfo Ramos-Paganini,60 76,mar-del-plata,847,Mar Del Plata,1994,challenger
3,Franco Davin,,Patricio Arnold,46 61 60,mar-del-plata,847,Mar Del Plata,1994,challenger
4,Gerard Solves,,Sandor Noszaly,63 63,mar-del-plata,847,Mar Del Plata,1994,challenger
5,Oliver Fernandez,,Roberto Azar,76 63,mar-del-plata,847,Mar Del Plata,1994,challenger
,Dinu Pescariu,6,Sergio Cortes,64 62,mar-del-plata,847,Mar Del Plata,1994,challenger
,Filippo Messori,7,Christian Miniussi,61 10 (RET),mar-del-plata,847,Mar Del Plata,1994,challenger
,Albert Costa,8,Luis Herrera,63 64,mar-del-plata,847,Mar Del Plata,1994,challenger
WC,Marcelo Charpentier,Q,Martin Rodriguez,67 64 63,mar-del-plata,847,Mar Del Plata,1994,challenger
,Gaston Etlis,Q,Luis Lobo,76 60,mar-del-plata,847,Mar Del Plata,1994,challenger
,Marcos Aurelio Gorriz,,Frederic Fontang,62 76,mar-del-plata,847,Mar Del Plata,1994,challenger
,Francisco Montana,WC,Roberto Bracone,62 62,mar-del-plata,847,Mar Del Plata,1994,challenger
,Jose-Luis Noriega,,Claudio Pistolesi,75 63,mar-del-plata,847,Mar Del Plata,1994,challenger
,Miguel Pastura,,Hernan Gumy,26 62 62,mar-del-plata,847,Mar Del Plata,1994,challenger
,Martin Stringari,,Johan Van Herck,76 36 63,mar-del-plata,847,Mar Del Plata,1994,challenger
WC,Mariano Zabaleta,,Lucas Arnold Ker,76 26 62,mar-del-plata,847,Mar Del Plata,1994,challenger
,Karol Kucera,,Fernon Wibier,64 62,lippstadt,502,Lippstadt,1994,challenger
,Karol Kucera,WC,Lars Rehmann,76 63,lippstadt,502,Lippstadt,1994,challenger
,Fernon Wibier,,David Engel,63 64,lippstadt,502,Lippstadt,1994,challenger
,Fernon Wibier,2,Hendrik Dreekmann,26 64 75,lippstadt,502,Lippstadt,1994,challenger
,David Engel,,Arne Thoms,57 63 64,lippstadt,502,Lippstadt,1994,challenger
,Karol Kucera,LL,Thomas Gollwitzer,76 63,lippstadt,502,Lippstadt,1994,challenger
WC,Lars Rehmann,WC,Christian Vinck,64 63,lippstadt,502,Lippstadt,1994,challenger
