Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
1,Peter Feigl,,Hans Kary,63 64 76,linz,351,Linz,1979,challenger
1,Peter Feigl,,Douglas Palm,36 63 63,linz,351,Linz,1979,challenger
,Hans Kary,2,Ivan Lendl,63 46 63,linz,351,Linz,1979,challenger
1,Peter Feigl,,Georges Goven,62 63,linz,351,Linz,1979,challenger
2,Ivan Lendl,5,Antonio Zugarelli,63 62,linz,351,Linz,1979,challenger
,Hans Kary,,Gilles Moretton,63 67 62,linz,351,Linz,1979,challenger
,Douglas Palm,,Louk Sanders,67 60 64,linz,351,Linz,1979,challenger
1,Peter Feigl,Q,Jacek Niedzwiedzki,62 62,linz,351,Linz,1979,challenger
2,Ivan Lendl,,John Molin,62 62,linz,351,Linz,1979,challenger
5,Antonio Zugarelli,Q,Janos Benyik,63 57 61,linz,351,Linz,1979,challenger
,Gilles Moretton,8,Jan Kodes,67 76 63,linz,351,Linz,1979,challenger
,Georges Goven,,Paul Van Min,64 62,linz,351,Linz,1979,challenger
,Hans Kary,,Stefan Svensson,62 63,linz,351,Linz,1979,challenger
,Douglas Palm,,Markus Gunthardt,62 64,linz,351,Linz,1979,challenger
,Louk Sanders,,Tenny Svensson,64 46 63,linz,351,Linz,1979,challenger
1,Peter Feigl,,Bernhard Pils,76 76,linz,351,Linz,1979,challenger
2,Ivan Lendl,,Roger Taylor,64 75,linz,351,Linz,1979,challenger
,Stefan Svensson,3,Paul Kronk,36 64 76,linz,351,Linz,1979,challenger
,Louk Sanders,4,Javier Soler,76 62,linz,351,Linz,1979,challenger
5,Antonio Zugarelli,,Karl Meiler,67 62 63,linz,351,Linz,1979,challenger
,Paul Van Min,6,Terry Rocavert,63 60,linz,351,Linz,1979,challenger
,Douglas Palm,7,Patrice Dominguez,76 64,linz,351,Linz,1979,challenger
8,Jan Kodes,,Pavel Slozil,46 63 75,linz,351,Linz,1979,challenger
Q,Janos Benyik,,Noel Jensen,62 62,linz,351,Linz,1979,challenger
,Georges Goven,,Toby Crabel,16 75 61,linz,351,Linz,1979,challenger
,Markus Gunthardt,Q,Frantisek Pala,75 64,linz,351,Linz,1979,challenger
,Hans Kary,,Robert Reininger,75 62,linz,351,Linz,1979,challenger
,John Molin,,Gerard Wimmer,63 36 63,linz,351,Linz,1979,challenger
,Gilles Moretton,,Filip Krajcik,46 62 62,linz,351,Linz,1979,challenger
Q,Jacek Niedzwiedzki,,Klaus Oberparleiter,62 62,linz,351,Linz,1979,challenger
,Tenny Svensson,Q,Peter Szoke,76 63,linz,351,Linz,1979,challenger
8,Billy Martin,5,Rick Fagel,62 60,indian-river,2002,Indian River,1979,challenger
5,Rick Fagel,1,Chris Lewis (NZL),75 26 30 (RET),indian-river,2002,Indian River,1979,challenger
8,Billy Martin,15,George Hardie,46 61 64,indian-river,2002,Indian River,1979,challenger
1,Chris Lewis (NZL),7,David Carter,61 64,indian-river,2002,Indian River,1979,challenger
15,George Hardie,4,John Sadri,63 64,indian-river,2002,Indian River,1979,challenger
5,Rick Fagel,,Noel Phillips,76 61,indian-river,2002,Indian River,1979,challenger
8,Billy Martin,9,Van Winitsky,64 61,indian-river,2002,Indian River,1979,challenger
1,Chris Lewis (NZL),10,Randy Crawford,62 60,indian-river,2002,Indian River,1979,challenger
9,Van Winitsky,2,Kevin Curren,67 75 62,indian-river,2002,Indian River,1979,challenger
,Noel Phillips,3,Alvin Gardiner,67 63 63,indian-river,2002,Indian River,1979,challenger
4,John Sadri,11,John Austin,62 63,indian-river,2002,Indian River,1979,challenger
5,Rick Fagel,16,Ramiro Benavides,36 75 62,indian-river,2002,Indian River,1979,challenger
7,David Carter,,Marcos Hocevar,63 63,indian-river,2002,Indian River,1979,challenger
8,Billy Martin,,Howard Schoenfield,64 36 64,indian-river,2002,Indian River,1979,challenger
15,George Hardie,Q,Michael Grant,75 63,indian-river,2002,Indian River,1979,challenger
1,Chris Lewis (NZL),,Tony Graham,63 61,indian-river,2002,Indian River,1979,challenger
2,Kevin Curren,,Andy McCurry,62 60,indian-river,2002,Indian River,1979,challenger
3,Alvin Gardiner,,Jim Delaney,62 64,indian-river,2002,Indian River,1979,challenger
4,John Sadri,,Guy Fritz,61 61,indian-river,2002,Indian River,1979,challenger
5,Rick Fagel,Q,Phil Davies,64 63,indian-river,2002,Indian River,1979,challenger
7,David Carter,,Chris Gunning,61 61,indian-river,2002,Indian River,1979,challenger
8,Billy Martin,,Mike Myburg,64 64,indian-river,2002,Indian River,1979,challenger
9,Van Winitsky,Q,Carlos Behar,63 75,indian-river,2002,Indian River,1979,challenger
10,Randy Crawford,,Vincent Van Patten,67 64 61,indian-river,2002,Indian River,1979,challenger
11,John Austin,,Orlando Agudelo,62 63,indian-river,2002,Indian River,1979,challenger
,Noel Phillips,12,Willem Prinsloo,63 63,indian-river,2002,Indian River,1979,challenger
,Howard Schoenfield,14,Trey Waltke,76 63,indian-river,2002,Indian River,1979,challenger
15,George Hardie,,Larry Davidson,60 63,indian-river,2002,Indian River,1979,challenger
16,Ramiro Benavides,,Pat Cramer,62 63,indian-river,2002,Indian River,1979,challenger
Q,Michael Grant,,Woody Blocher,63 64,indian-river,2002,Indian River,1979,challenger
,Marcos Hocevar,,Cary Stansbury,62 63,indian-river,2002,Indian River,1979,challenger
1,Chris Lewis (NZL),,Bhanu Nunna,62 64,indian-river,2002,Indian River,1979,challenger
2,Kevin Curren,,Richard Legendre,64 62,indian-river,2002,Indian River,1979,challenger
