Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
1,Horst Skoff,4,Chris Garner,62 46 61,vadodara,255,Jakarta-1,1990,challenger
1,Horst Skoff,Q,Brian Devening,62 60,vadodara,255,Jakarta-1,1990,challenger
4,Chris Garner,2,Bong-Soo Kim,63 62,vadodara,255,Jakarta-1,1990,challenger
1,Horst Skoff,,Jin-Sun Yoo,63 61,vadodara,255,Jakarta-1,1990,challenger
2,Bong-Soo Kim,7,Thomas Buchmayer,61 61,vadodara,255,Jakarta-1,1990,challenger
4,Chris Garner,,Pablo Arraya,75 63,vadodara,255,Jakarta-1,1990,challenger
Q,Brian Devening,Q,Xavier Daufresne,61 36 61,vadodara,255,Jakarta-1,1990,challenger
1,Horst Skoff,Q,Carsten Krammenschneider,63 62,vadodara,255,Jakarta-1,1990,challenger
2,Bong-Soo Kim,WC,Tjahjono Tjahjono,60 60,vadodara,255,Jakarta-1,1990,challenger
Q,Xavier Daufresne,3,Stefan Lochbihler,64 61,vadodara,255,Jakarta-1,1990,challenger
4,Chris Garner,,Dirk Dier,63 36 63,vadodara,255,Jakarta-1,1990,challenger
,Pablo Arraya,5,Frederik Fetterlein,46 63 61,vadodara,255,Jakarta-1,1990,challenger
7,Thomas Buchmayer,WC,Daniel Heryanto,64 63,vadodara,255,Jakarta-1,1990,challenger
,Jin-Sun Yoo,8,Gilbert Schaller,63 16 62,vadodara,255,Jakarta-1,1990,challenger
Q,Brian Devening,LL,Harald Mair,63 63,vadodara,255,Jakarta-1,1990,challenger
1,Horst Skoff,,Steve DeVries,63 76,vadodara,255,Jakarta-1,1990,challenger
2,Bong-Soo Kim,,Suharyadi Suharyadi,62 60,vadodara,255,Jakarta-1,1990,challenger
3,Stefan Lochbihler,,Tom Mercer,46 76 62,vadodara,255,Jakarta-1,1990,challenger
4,Chris Garner,,John Sobel,63 46 75,vadodara,255,Jakarta-1,1990,challenger
5,Frederik Fetterlein,WC,Donald Wailan,61 62,vadodara,255,Jakarta-1,1990,challenger
LL,Harald Mair,6,Oliver Fuchs,36 61 75,vadodara,255,Jakarta-1,1990,challenger
7,Thomas Buchmayer,,Joseph Russell,64 64,vadodara,255,Jakarta-1,1990,challenger
8,Gilbert Schaller,,Vaclav Roubicek,53 (RET),vadodara,255,Jakarta-1,1990,challenger
,Pablo Arraya,Q,Gilles Bastie,63 62,vadodara,255,Jakarta-1,1990,challenger
Q,Xavier Daufresne,,Sander Groen,67 64 62,vadodara,255,Jakarta-1,1990,challenger
Q,Brian Devening,WC,Bonit Wiryawan,64 62,vadodara,255,Jakarta-1,1990,challenger
,Dirk Dier,,Tintus Wibowo,63 75,vadodara,255,Jakarta-1,1990,challenger
WC,Daniel Heryanto,,Ugo Colombini,63 64,vadodara,255,Jakarta-1,1990,challenger
Q,Carsten Krammenschneider,,Toshihisa Tsuchihashi,63 76,vadodara,255,Jakarta-1,1990,challenger
WC,Tjahjono Tjahjono,,Cary Cohenour,36 61 62,vadodara,255,Jakarta-1,1990,challenger
,Jin-Sun Yoo,,Christian Feenstra,62 62,vadodara,255,Jakarta-1,1990,challenger
2,Milan Srejber,8,Alexander Mronz,76 46 76,heilbronn,460,Heilbronn,1990,challenger
2,Milan Srejber,6,Jeff Tarango,63 63,heilbronn,460,Heilbronn,1990,challenger
8,Alexander Mronz,5,Christian Saceanu,76 67 62,heilbronn,460,Heilbronn,1990,challenger
2,Milan Srejber,Q,Jorgen Windahl,57 76 64,heilbronn,460,Heilbronn,1990,challenger
5,Christian Saceanu,,Olivier Soules,67 63 63,heilbronn,460,Heilbronn,1990,challenger
6,Jeff Tarango,,Martin Sinner,57 63 64,heilbronn,460,Heilbronn,1990,challenger
8,Alexander Mronz,,Mark Kaplan,63 46 63,heilbronn,460,Heilbronn,1990,challenger
,Mark Kaplan,1,Martin Strelba,57 75 76,heilbronn,460,Heilbronn,1990,challenger
2,Milan Srejber,Q,Radek Zahraj,61 61,heilbronn,460,Heilbronn,1990,challenger
,Martin Sinner,3) W,Udo Riglewski,75 76,heilbronn,460,Heilbronn,1990,challenger
5,Christian Saceanu,,Richard Vogel,64 75,heilbronn,460,Heilbronn,1990,challenger
6,Jeff Tarango,SE,Brian Devening,61 63,heilbronn,460,Heilbronn,1990,challenger
Q,Jorgen Windahl,7,Nuno Marques,75 63,heilbronn,460,Heilbronn,1990,challenger
8,Alexander Mronz,,Olli Rahnasto,63 64,heilbronn,460,Heilbronn,1990,challenger
,Olivier Soules,,Henrik Holm,76 46 76,heilbronn,460,Heilbronn,1990,challenger
1,Martin Strelba,,Torben Theine,76 63,heilbronn,460,Heilbronn,1990,challenger
2,Milan Srejber,,Marko Ostoja,62 63,heilbronn,460,Heilbronn,1990,challenger
3) W,Udo Riglewski,,Stefano Pescosolido,67 64 62,heilbronn,460,Heilbronn,1990,challenger
,Henrik Holm,4,Thomas Hogstedt,61 61,heilbronn,460,Heilbronn,1990,challenger
5,Christian Saceanu,,Jaroslav Bulant,63 76,heilbronn,460,Heilbronn,1990,challenger
6,Jeff Tarango,,Stefan Lochbihler,63 76,heilbronn,460,Heilbronn,1990,challenger
7,Nuno Marques,WC,Rudiger Haas,67 64 06 20,heilbronn,460,Heilbronn,1990,challenger
8,Alexander Mronz,Q,David Rikl,60 75,heilbronn,460,Heilbronn,1990,challenger
SE,Brian Devening,,Josef Cihak,67 76 76,heilbronn,460,Heilbronn,1990,challenger
,Mark Kaplan,,Dean Botha,64 46 76,heilbronn,460,Heilbronn,1990,challenger
,Olli Rahnasto,WC,Milan Palme,61 75,heilbronn,460,Heilbronn,1990,challenger
,Martin Sinner,,Hans Schwaier,36 62 63,heilbronn,460,Heilbronn,1990,challenger
,Olivier Soules,Q,Stephane Grenier,64 67 62,heilbronn,460,Heilbronn,1990,challenger
,Richard Vogel,WC,Mansour Bahrami,75 36 76,heilbronn,460,Heilbronn,1990,challenger
Q,Jorgen Windahl,,Russell Barlow,64 61,heilbronn,460,Heilbronn,1990,challenger
Q,Radek Zahraj,,Dirk Leppen,64 (RET),heilbronn,460,Heilbronn,1990,challenger
Q,Fabrice Santoro,,Peter Nyborg,63 57 64,lucknow,492,Telford,1990,challenger
,Peter Nyborg,,Andrew Castle,63 61,lucknow,492,Telford,1990,challenger
Q,Fabrice Santoro,Q,Brian Garrow,62 75,lucknow,492,Telford,1990,challenger
Q,Brian Garrow,2,Christian Bergstrom,62 63,lucknow,492,Telford,1990,challenger
,Andrew Castle,4,Simon Youl,76 76,lucknow,492,Telford,1990,challenger
,Peter Nyborg,,Chris Bailey,64 63,lucknow,492,Telford,1990,challenger
Q,Fabrice Santoro,,Patrick Baur,63 16 63,lucknow,492,Telford,1990,challenger
2,Christian Bergstrom,WC,James Turner,63 61,lucknow,492,Telford,1990,challenger
4,Simon Youl,Q,Andrei Olhovskiy,67 64 76,lucknow,492,Telford,1990,challenger
,Peter Nyborg,7,Brad Pearce,76 61,lucknow,492,Telford,1990,challenger
,Chris Bailey,,Dean Botha,64 63,lucknow,492,Telford,1990,challenger
,Patrick Baur,,Olivier Soules,57 76 63,lucknow,492,Telford,1990,challenger
,Andrew Castle,,Robbie Weiss,63 67 21 (RET),lucknow,492,Telford,1990,challenger
Q,Brian Garrow,,Neil Borwick,52 (RET),lucknow,492,Telford,1990,challenger
Q,Fabrice Santoro,,Nicklas Utgren,60 64,lucknow,492,Telford,1990,challenger
,Chris Bailey,1,Lars-Anders Wahlgren,64 64,lucknow,492,Telford,1990,challenger
2,Christian Bergstrom,WC,John Southcombe,64 64,lucknow,492,Telford,1990,challenger
Q,Fabrice Santoro,3,Lars Jonsson,60 62,lucknow,492,Telford,1990,challenger
4,Simon Youl,,Scott Warner,76 26 63,lucknow,492,Telford,1990,challenger
,Robbie Weiss,5,Michael Tauson,36 61 63,lucknow,492,Telford,1990,challenger
,Olivier Soules,6,Alexander Mronz,62 76,lucknow,492,Telford,1990,challenger
7,Brad Pearce,,Richard Vogel,76 62,lucknow,492,Telford,1990,challenger
,Neil Borwick,8,Nick Brown,76 64,lucknow,492,Telford,1990,challenger
,Patrick Baur,,Martin Sinner,16 75 76,lucknow,492,Telford,1990,challenger
,Dean Botha,,Mark Kaplan,63 57 63,lucknow,492,Telford,1990,challenger
,Andrew Castle,Q,Guillaume Raoux,06 76 63,lucknow,492,Telford,1990,challenger
Q,Brian Garrow,,Francisco Clavet,62 64,lucknow,492,Telford,1990,challenger
,Peter Nyborg,WC,David Ison,61 63,lucknow,492,Telford,1990,challenger
Q,Andrei Olhovskiy,WC,Mark Petchey,75 62,lucknow,492,Telford,1990,challenger
WC,James Turner,,Jonathan Canter,67 76 63,lucknow,492,Telford,1990,challenger
,Nicklas Utgren,,Philippe Pech,76 62,lucknow,492,Telford,1990,challenger
8,Christian Saceanu,1,Udo Riglewski,63 60,laguna-hills,491,Croydon,1990,challenger
1,Udo Riglewski,,Olivier Soules,75 67 63,laguna-hills,491,Croydon,1990,challenger
8,Christian Saceanu,,Nuno Marques,64 76,laguna-hills,491,Croydon,1990,challenger
1,Udo Riglewski,,Robbie Weiss,36 76 76,laguna-hills,491,Croydon,1990,challenger
8,Christian Saceanu,,Nick Brown,63 62,laguna-hills,491,Croydon,1990,challenger
,Nuno Marques,,Alexander Mronz,64 (RET),laguna-hills,491,Croydon,1990,challenger
,Olivier Soules,,Chris Bailey,76 63,laguna-hills,491,Croydon,1990,challenger
1,Udo Riglewski,Q,Jorgen Windahl,62 64,laguna-hills,491,Croydon,1990,challenger
,Olivier Soules,4,Simon Youl,64 76,laguna-hills,491,Croydon,1990,challenger
,Chris Bailey,6,Olivier Delaitre,64 46 62,laguna-hills,491,Croydon,1990,challenger
8,Christian Saceanu,,Mark Kaplan,63 62,laguna-hills,491,Croydon,1990,challenger
,Nick Brown,WC,Andrew Castle,61 46 63,laguna-hills,491,Croydon,1990,challenger
,Nuno Marques,,Patrick Baur,76 36 61,laguna-hills,491,Croydon,1990,challenger
,Alexander Mronz,,Jonathan Canter,76 63,laguna-hills,491,Croydon,1990,challenger
,Robbie Weiss,,Gianluca Pozzi,62 62,laguna-hills,491,Croydon,1990,challenger
1,Udo Riglewski,LL,Fabrice Santoro,67 62 63,laguna-hills,491,Croydon,1990,challenger
WC,Andrew Castle,2,Lars-Anders Wahlgren,76 75,laguna-hills,491,Croydon,1990,challenger
,Patrick Baur,3,Nicolas Pereira,76 63,laguna-hills,491,Croydon,1990,challenger
4,Simon Youl,,Francisco Clavet,63 67 63,laguna-hills,491,Croydon,1990,challenger
,Alexander Mronz,5,Michael Tauson,62 62,laguna-hills,491,Croydon,1990,challenger
6,Olivier Delaitre,Q,Cristiano Caratti,62 75,laguna-hills,491,Croydon,1990,challenger
,Robbie Weiss,7,Diego Nargiso,63 36 66 40,laguna-hills,491,Croydon,1990,challenger
8,Christian Saceanu,WC,Nick Fulwood,75 61,laguna-hills,491,Croydon,1990,challenger
,Chris Bailey,WC,Danny Sapsford,62 62,laguna-hills,491,Croydon,1990,challenger
,Nick Brown,Q,Scott Warner,67 61 64,laguna-hills,491,Croydon,1990,challenger
,Jonathan Canter,,Nduka Odizor,61 64,laguna-hills,491,Croydon,1990,challenger
,Mark Kaplan,Q,Guillaume Raoux,76 67 76,laguna-hills,491,Croydon,1990,challenger
,Nuno Marques,,Richard Vogel,64 640,laguna-hills,491,Croydon,1990,challenger
,Gianluca Pozzi,,Neil Borwick,76 36 64,laguna-hills,491,Croydon,1990,challenger
,Olivier Soules,,Philippe Pech,64 64,laguna-hills,491,Croydon,1990,challenger
Q,Jorgen Windahl,WC,James Turner,36 76 62,laguna-hills,491,Croydon,1990,challenger
4,Christian Miniussi,,Pablo Arraya,26 63 64,medellin,252,Nairobi-1,1990,challenger
4,Christian Miniussi,Q,Joseph Russell,75 62,medellin,252,Nairobi-1,1990,challenger
,Pablo Arraya,,Menno Oosting,62 60,medellin,252,Nairobi-1,1990,challenger
4,Christian Miniussi,5,Josef Cihak,64 46 64,medellin,252,Nairobi-1,1990,challenger
,Pablo Arraya,,Ugo Colombini,62 63,medellin,252,Nairobi-1,1990,challenger
,Menno Oosting,,Sascha Nensel,46 61 76,medellin,252,Nairobi-1,1990,challenger
Q,Joseph Russell,,Oliver Fuchs,75 62,medellin,252,Nairobi-1,1990,challenger
Q,Joseph Russell,1,Tarik Benhabiles,76 46 76,medellin,252,Nairobi-1,1990,challenger
4,Christian Miniussi,,Zeeshan Ali,76 63,medellin,252,Nairobi-1,1990,challenger
5,Josef Cihak,,Eduardo Masso,16 62 64,medellin,252,Nairobi-1,1990,challenger
,Pablo Arraya,,Paolo Pambianco,64 60,medellin,252,Nairobi-1,1990,challenger
,Ugo Colombini,Q,Carsten Krammenschneider,76 63,medellin,252,Nairobi-1,1990,challenger
,Oliver Fuchs,,Libor Pimek,57 63 63,medellin,252,Nairobi-1,1990,challenger
,Sascha Nensel,WC,Kush Bhardwaj,64 64,medellin,252,Nairobi-1,1990,challenger
,Menno Oosting,,Heiner Moraing,63 67 76,medellin,252,Nairobi-1,1990,challenger
1,Tarik Benhabiles,,Slava Dosedel,62 46 60,medellin,252,Nairobi-1,1990,challenger
,Ugo Colombini,2,Joao Cunha-Silva,64 57 64,medellin,252,Nairobi-1,1990,challenger
,Heiner Moraing,3,Cyril Suk,67 64 76,medellin,252,Nairobi-1,1990,challenger
4,Christian Miniussi,WC,Eno Polo,63 63,medellin,252,Nairobi-1,1990,challenger
5,Josef Cihak,,Stefan Dallwitz,63 64,medellin,252,Nairobi-1,1990,challenger
,Sascha Nensel,6,Torben Theine,62 76,medellin,252,Nairobi-1,1990,challenger
,Libor Pimek,7,Alessandro De Minicis,76 46 75,medellin,252,Nairobi-1,1990,challenger
,Paolo Pambianco,8,Stefan Lochbihler,63 600,medellin,252,Nairobi-1,1990,challenger
,Zeeshan Ali,,Enrico Cocchi,67 62 64,medellin,252,Nairobi-1,1990,challenger
,Pablo Arraya,,Agustin Moreno,76 76,medellin,252,Nairobi-1,1990,challenger
WC,Kush Bhardwaj,WC,Sam Kipkoech,76 40,medellin,252,Nairobi-1,1990,challenger
,Oliver Fuchs,Q,Carlos Claverie,76 26 64,medellin,252,Nairobi-1,1990,challenger
Q,Carsten Krammenschneider,Q,Eugenio Rossi,62 60,medellin,252,Nairobi-1,1990,challenger
,Eduardo Masso,WC,Norbert Odour,62 61,medellin,252,Nairobi-1,1990,challenger
,Menno Oosting,,Gilbert Schaller,76 62,medellin,252,Nairobi-1,1990,challenger
Q,Joseph Russell,,Thomas Buchmayer,75 75,medellin,252,Nairobi-1,1990,challenger
5,Miguel Nido,1,Cassio Motta,63 64,sao-paulo,275,Sao Paulo-1,1990,challenger
1,Cassio Motta,,Ivan Kley,75 61,sao-paulo,275,Sao Paulo-1,1990,challenger
5,Miguel Nido,Q,Jose Daher,64 63,sao-paulo,275,Sao Paulo-1,1990,challenger
1,Cassio Motta,,Juan Pino,64 62,sao-paulo,275,Sao Paulo-1,1990,challenger
,Ivan Kley,3,Jeff Tarango,64 (DEF),sao-paulo,275,Sao Paulo-1,1990,challenger
5,Miguel Nido,4,Javier Frana,64 64,sao-paulo,275,Sao Paulo-1,1990,challenger
Q,Jose Daher,,Pablo Albano,67 64 62,sao-paulo,275,Sao Paulo-1,1990,challenger
1,Cassio Motta,,Francisco Yunis,62 64,sao-paulo,275,Sao Paulo-1,1990,challenger
3,Jeff Tarango,,Jaime Oncins,62 21 (RET),sao-paulo,275,Sao Paulo-1,1990,challenger
4,Javier Frana,,Gabriel Markus,76 62,sao-paulo,275,Sao Paulo-1,1990,challenger
5,Miguel Nido,Q,Federico Mordegan,63 62,sao-paulo,275,Sao Paulo-1,1990,challenger
,Ivan Kley,6,Mario Tabares,76 62,sao-paulo,275,Sao Paulo-1,1990,challenger
,Pablo Albano,LL,Jose Antonio Fernandez,64 63,sao-paulo,275,Sao Paulo-1,1990,challenger
Q,Jose Daher,Q,Harald Rittersbacher,64 76,sao-paulo,275,Sao Paulo-1,1990,challenger
,Juan Pino,WC,Otavio Della,61 60,sao-paulo,275,Sao Paulo-1,1990,challenger
1,Cassio Motta,Q,Marcelo Ingaramo,64 63,sao-paulo,275,Sao Paulo-1,1990,challenger
,Pablo Albano,2,Horacio De La Pena,76 62,sao-paulo,275,Sao Paulo-1,1990,challenger
3,Jeff Tarango,,Renzo Furlan,64 62,sao-paulo,275,Sao Paulo-1,1990,challenger
4,Javier Frana,WC,Julio Goes,61 60,sao-paulo,275,Sao Paulo-1,1990,challenger
5,Miguel Nido,WC,William Kyriakos,62 61,sao-paulo,275,Sao Paulo-1,1990,challenger
6,Mario Tabares,,Givaldo Barbosa,76 76,sao-paulo,275,Sao Paulo-1,1990,challenger
Q,Harald Rittersbacher,7,Roberto Arguello,62 62,sao-paulo,275,Sao Paulo-1,1990,challenger
,Juan Pino,8,Paul Vojtischek,36 76 30 (RET),sao-paulo,275,Sao Paulo-1,1990,challenger
Q,Jose Daher,,Guillermo Rivas,76 75,sao-paulo,275,Sao Paulo-1,1990,challenger
WC,Otavio Della,,Alexandre Hocevar,62 46 76,sao-paulo,275,Sao Paulo-1,1990,challenger
LL,Jose Antonio Fernandez,,Peter Ballauff,32 (RET),sao-paulo,275,Sao Paulo-1,1990,challenger
,Ivan Kley,WC,Danilo Marcelino,46 76 62,sao-paulo,275,Sao Paulo-1,1990,challenger
,Gabriel Markus,,Fernando Roese,75 62,sao-paulo,275,Sao Paulo-1,1990,challenger
Q,Federico Mordegan,,Dacio Campos,36 75 76,sao-paulo,275,Sao Paulo-1,1990,challenger
,Jaime Oncins,,Mauro Menezes,63 61,sao-paulo,275,Sao Paulo-1,1990,challenger
,Francisco Yunis,,Alejandro Aramburu,76 75,sao-paulo,275,Sao Paulo-1,1990,challenger
5,Christian Miniussi,,Menno Oosting,62 76,nairobi,752,Nairobi-2,1990,challenger
5,Christian Miniussi,,Thomas Buchmayer,61 64,nairobi,752,Nairobi-2,1990,challenger
,Menno Oosting,Q,Srinivasan Vasudevan,62 36 64,nairobi,752,Nairobi-2,1990,challenger
,Thomas Buchmayer,2,Joao Cunha-Silva,64 64,nairobi,752,Nairobi-2,1990,challenger
,Menno Oosting,4,Cyril Suk,63 64,nairobi,752,Nairobi-2,1990,challenger
5,Christian Miniussi,,Pablo Arraya,62 63,nairobi,752,Nairobi-2,1990,challenger
Q,Srinivasan Vasudevan,7,Torben Theine,64 64,nairobi,752,Nairobi-2,1990,challenger
2,Joao Cunha-Silva,,Ugo Colombini,46 63 76,nairobi,752,Nairobi-2,1990,challenger
4,Cyril Suk,,Agustin Moreno,46 64 76,nairobi,752,Nairobi-2,1990,challenger
5,Christian Miniussi,,Sascha Nensel,61 75,nairobi,752,Nairobi-2,1990,challenger
,Menno Oosting,6,Josef Cihak,20 (RET),nairobi,752,Nairobi-2,1990,challenger
