Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
1,Gilles Simon,,Rik De Voest,62 57 62,noumea,2205,Noumea,2006,challenger
1,Gilles Simon,3,Melle Van Gemerden,75 61,noumea,2205,Noumea,2006,challenger
,Rik De Voest,WC,Mathieu Montcourt,62 46 75,noumea,2205,Noumea,2006,challenger
1,Gilles Simon,,Stefano Galvani,61 61,noumea,2205,Noumea,2006,challenger
3,Melle Van Gemerden,,Pavel Snobel,62 75,noumea,2205,Noumea,2006,challenger
,Rik De Voest,8,Francesco Aldi,63 61,noumea,2205,Noumea,2006,challenger
WC,Mathieu Montcourt,,Alex Bogomolov Jr.,63 64,noumea,2205,Noumea,2006,challenger
1,Gilles Simon,,Michael Russell,46 63 61,noumea,2205,Noumea,2006,challenger
3,Melle Van Gemerden,Q,Dominik Meffert,64 62,noumea,2205,Noumea,2006,challenger
,Alex Bogomolov Jr.,4,Paul Capdeville,63 765,noumea,2205,Noumea,2006,challenger
,Pavel Snobel,5,Yen-Hsun Lu,63 16 63,noumea,2205,Noumea,2006,challenger
WC,Mathieu Montcourt,7,Amer Delic,762 26 64,noumea,2205,Noumea,2006,challenger
8,Francesco Aldi,,Giorgio Galimberti,62 63,noumea,2205,Noumea,2006,challenger
,Rik De Voest,Q,Jacob Adaktusson,62 63,noumea,2205,Noumea,2006,challenger
,Stefano Galvani,,Uros Vico,36 61 75,noumea,2205,Noumea,2006,challenger
1,Gilles Simon,PR,John van Lottum,64 63,noumea,2205,Noumea,2006,challenger
Q,Jacob Adaktusson,2,Lars Burgsmuller,75 64,noumea,2205,Noumea,2006,challenger
3,Melle Van Gemerden,Q,Wayne Odesnik,61 63,noumea,2205,Noumea,2006,challenger
4,Paul Capdeville,WC,Pierre-Henri Guillaume,64 64,noumea,2205,Noumea,2006,challenger
5,Yen-Hsun Lu,,Nicolas Thomann,26 764 64,noumea,2205,Noumea,2006,challenger
,Uros Vico,6,Kristian Pless,16 64 63,noumea,2205,Noumea,2006,challenger
7,Amer Delic,,Filip Prpic,762 36 64,noumea,2205,Noumea,2006,challenger
8,Francesco Aldi,,Jan Mertl,63 62,noumea,2205,Noumea,2006,challenger
,Alex Bogomolov Jr.,Q,Norikazu Sugiyama,766 64,noumea,2205,Noumea,2006,challenger
,Rik De Voest,,Lars Uebel,75 61,noumea,2205,Noumea,2006,challenger
,Giorgio Galimberti,WC,Luke Bourgeois,62 761,noumea,2205,Noumea,2006,challenger
,Stefano Galvani,,Lesley Joseph,60 63,noumea,2205,Noumea,2006,challenger
Q,Dominik Meffert,WC,Philippe Frayssinoux,62 64,noumea,2205,Noumea,2006,challenger
WC,Mathieu Montcourt,,Denis Gremelmayr,764 60,noumea,2205,Noumea,2006,challenger
,Michael Russell,,Michal Tabara,763 63,noumea,2205,Noumea,2006,challenger
,Pavel Snobel,,Michael Lammer,62 63,noumea,2205,Noumea,2006,challenger
2,Robin Soderling,1,Tomas Zib,61 64,heilbronn,460,Heilbronn,2006,challenger
1,Tomas Zib,,Janko Tipsarevic,764 62,heilbronn,460,Heilbronn,2006,challenger
2,Robin Soderling,,Antony Dupuis,63 63,heilbronn,460,Heilbronn,2006,challenger
1,Tomas Zib,,Alexander Waske,64 46 63,heilbronn,460,Heilbronn,2006,challenger
2,Robin Soderling,WC,Torsten Popp,62 64,heilbronn,460,Heilbronn,2006,challenger
,Antony Dupuis,5,Lukas Dlouhy,36 63 64,heilbronn,460,Heilbronn,2006,challenger
,Janko Tipsarevic,WC,Andreas Beck,63 762,heilbronn,460,Heilbronn,2006,challenger
1,Tomas Zib,Q,Philipp Petzschner,61 36 61,heilbronn,460,Heilbronn,2006,challenger
2,Robin Soderling,,Gregory Carraz,64 763,heilbronn,460,Heilbronn,2006,challenger
WC,Andreas Beck,3,Daniele Bracciali,764 63,heilbronn,460,Heilbronn,2006,challenger
5,Lukas Dlouhy,LL,Stefano Galvani,36 64 61,heilbronn,460,Heilbronn,2006,challenger
,Antony Dupuis,,Simon Greul,672 64 64,heilbronn,460,Heilbronn,2006,challenger
WC,Torsten Popp,,Ivan Navarro,64 762,heilbronn,460,Heilbronn,2006,challenger
,Janko Tipsarevic,Q,Michal Przysiezny,75 63,heilbronn,460,Heilbronn,2006,challenger
,Alexander Waske,,Michal Mertinak,63 765,heilbronn,460,Heilbronn,2006,challenger
1,Tomas Zib,,Jerome Haehnel,75 765,heilbronn,460,Heilbronn,2006,challenger
2,Robin Soderling,WC,Tobias Summerer,61 63,heilbronn,460,Heilbronn,2006,challenger
3,Daniele Bracciali,Q,Mikhail Ledovskikh,63 16 7610,heilbronn,460,Heilbronn,2006,challenger
,Simon Greul,4,Rainer Schuettler,63 57 64,heilbronn,460,Heilbronn,2006,challenger
5,Lukas Dlouhy,,Albert Costa,63 64,heilbronn,460,Heilbronn,2006,challenger
,Alexander Waske,6,Jiri Vanek,63 64,heilbronn,460,Heilbronn,2006,challenger
Q,Michal Przysiezny,7,Jimmy Wang,763 61,heilbronn,460,Heilbronn,2006,challenger
,Ivan Navarro,8,Dick Norman,63 (RET),heilbronn,460,Heilbronn,2006,challenger
WC,Andreas Beck,,George Bastl,673 75 64,heilbronn,460,Heilbronn,2006,challenger
,Gregory Carraz,,Lars Burgsmuller,765 36 63,heilbronn,460,Heilbronn,2006,challenger
,Antony Dupuis,,Lukasz Kubot,64 763,heilbronn,460,Heilbronn,2006,challenger
LL,Stefano Galvani,WC,Aljoscha Thron,64 63,heilbronn,460,Heilbronn,2006,challenger
,Michal Mertinak,Q,Benjamin Becker,57 63 765,heilbronn,460,Heilbronn,2006,challenger
Q,Philipp Petzschner,,Daniel Koellerer,63 63,heilbronn,460,Heilbronn,2006,challenger
WC,Torsten Popp,,Irakli Labadze,63 63,heilbronn,460,Heilbronn,2006,challenger
,Janko Tipsarevic,,Razvan Sabau,60 61,heilbronn,460,Heilbronn,2006,challenger
1,Boris Pashanski,,Paul Capdeville,62 769,santiago,3406,Santiago,2006,challenger
1,Boris Pashanski,,Ruben Ramirez Hidalgo,64 64,santiago,3406,Santiago,2006,challenger
,Paul Capdeville,,Alessio Di Mauro,765 75,santiago,3406,Santiago,2006,challenger
1,Boris Pashanski,,Daniel Gimeno-Traver,46 761 63,santiago,3406,Santiago,2006,challenger
,Alessio Di Mauro,6,Nicolas Almagro,36 63 64,santiago,3406,Santiago,2006,challenger
,Paul Capdeville,,Sergio Roitman,64 46 63,santiago,3406,Santiago,2006,challenger
,Ruben Ramirez Hidalgo,Q,Tomas Tenconi,62 61,santiago,3406,Santiago,2006,challenger
1,Boris Pashanski,WC,Jorge Aguilar,64 674 63,santiago,3406,Santiago,2006,challenger
,Paul Capdeville,2,Flavio Saretta,60 (RET),santiago,3406,Santiago,2006,challenger
6,Nicolas Almagro,,Santiago Gonzalez,62 63,santiago,3406,Santiago,2006,challenger
,Sergio Roitman,7,Oscar Hernandez,63 36 44 (RET),santiago,3406,Santiago,2006,challenger
,Alessio Di Mauro,Q,Martin Vassallo Arguello,63 63,santiago,3406,Santiago,2006,challenger
,Daniel Gimeno-Traver,,Juan Pablo Brzezicki,62 61,santiago,3406,Santiago,2006,challenger
,Ruben Ramirez Hidalgo,LL,Maximo Gonzalez,62 75,santiago,3406,Santiago,2006,challenger
Q,Tomas Tenconi,,Santiago Ventura,64 46 62,santiago,3406,Santiago,2006,challenger
1,Boris Pashanski,WC,Guillermo Hormazabal,62 62,santiago,3406,Santiago,2006,challenger
2,Flavio Saretta,Q,Dusan Vemic,763 75,santiago,3406,Santiago,2006,challenger
Q,Martin Vassallo Arguello,3,Marcos Daniel,64 64,santiago,3406,Santiago,2006,challenger
,Santiago Ventura,4,Fernando Vicente,767 46 63,santiago,3406,Santiago,2006,challenger
6,Nicolas Almagro,,Juan Martin del Potro,75 63,santiago,3406,Santiago,2006,challenger
7,Oscar Hernandez,,Hugo Armando,62 36 63,santiago,3406,Santiago,2006,challenger
,Daniel Gimeno-Traver,8,Vasilis Mazarakis,763 75,santiago,3406,Santiago,2006,challenger
WC,Jorge Aguilar,,Giovanni Lapentti,678 64 60,santiago,3406,Santiago,2006,challenger
,Juan Pablo Brzezicki,,Andre Sa,62 61,santiago,3406,Santiago,2006,challenger
,Paul Capdeville,WC,Felipe Parada,61 64,santiago,3406,Santiago,2006,challenger
,Alessio Di Mauro,,Julio Silva,64 675 63,santiago,3406,Santiago,2006,challenger
,Santiago Gonzalez,,Gorka Fraile,64 62,santiago,3406,Santiago,2006,challenger
LL,Maximo Gonzalez,Q,Diego Hartfield,16 62 762,santiago,3406,Santiago,2006,challenger
,Ruben Ramirez Hidalgo,WC,Phillip Harboe,63 62,santiago,3406,Santiago,2006,challenger
,Sergio Roitman,,Nicolas Devilder,63 765,santiago,3406,Santiago,2006,challenger
Q,Tomas Tenconi,,Adrian Garcia,75 20 (RET),santiago,3406,Santiago,2006,challenger
,Frank Dancevic,,Yen-Hsun Lu,6715 62 62,waikoloa,574,Waikoloa,2006,challenger
,Frank Dancevic,4,Bobby Reynolds,63 75,waikoloa,574,Waikoloa,2006,challenger
,Yen-Hsun Lu,6,Hyung-Taik Lee,46 61 64,waikoloa,574,Waikoloa,2006,challenger
6,Hyung-Taik Lee,1,Paul Goldstein,64 64,waikoloa,574,Waikoloa,2006,challenger
,Yen-Hsun Lu,3,Bjorn Phau,64 64,waikoloa,574,Waikoloa,2006,challenger
4,Bobby Reynolds,,Michael Russell,62 11 (RET),waikoloa,574,Waikoloa,2006,challenger
,Frank Dancevic,,Rik De Voest,761 57 63,waikoloa,574,Waikoloa,2006,challenger
1,Paul Goldstein,WC,Wayne Odesnik,62 675 66 (RET),waikoloa,574,Waikoloa,2006,challenger
3,Bjorn Phau,,Alex Bogomolov Jr.,61 62,waikoloa,574,Waikoloa,2006,challenger
4,Bobby Reynolds,LL,Dominik Meffert,64 75,waikoloa,574,Waikoloa,2006,challenger
6,Hyung-Taik Lee,,Glenn Weiner,62 61,waikoloa,574,Waikoloa,2006,challenger
,Yen-Hsun Lu,8,Thiago Alves,63 61,waikoloa,574,Waikoloa,2006,challenger
,Frank Dancevic,Q,Jeff Salzenstein,63 62,waikoloa,574,Waikoloa,2006,challenger
,Rik De Voest,,Rajeev Ram,765 46 63,waikoloa,574,Waikoloa,2006,challenger
,Michael Russell,WC,Jeff Morrison,63 64,waikoloa,574,Waikoloa,2006,challenger
1,Paul Goldstein,,Todd Widom,63 61,waikoloa,574,Waikoloa,2006,challenger
3,Bjorn Phau,,Eric Taino,62 62,waikoloa,574,Waikoloa,2006,challenger
4,Bobby Reynolds,,Bjorn Rehnquist,64 62,waikoloa,574,Waikoloa,2006,challenger
,Michael Russell,5,Kevin Kim,674 64 64,waikoloa,574,Waikoloa,2006,challenger
6,Hyung-Taik Lee,Q,Tobias Clemens,62 26 61,waikoloa,574,Waikoloa,2006,challenger
,Frank Dancevic,7,Michael Berrer,36 767 62,waikoloa,574,Waikoloa,2006,challenger
8,Thiago Alves,,Amer Delic,767 75,waikoloa,574,Waikoloa,2006,challenger
,Alex Bogomolov Jr.,,Lesley Joseph,46 63 62,waikoloa,574,Waikoloa,2006,challenger
,Rik De Voest,,Zack Fleishman,64 64,waikoloa,574,Waikoloa,2006,challenger
,Yen-Hsun Lu,WC,Brendan Evans,62 61,waikoloa,574,Waikoloa,2006,challenger
LL,Dominik Meffert,,Cecil Mamiit,75 765,waikoloa,574,Waikoloa,2006,challenger
WC,Jeff Morrison,Q,Prakash Amritraj,63 62,waikoloa,574,Waikoloa,2006,challenger
WC,Wayne Odesnik,,Jan-Michael Gambill,45 (RET),waikoloa,574,Waikoloa,2006,challenger
,Rajeev Ram,Q,Michael Kohlmann,62 62,waikoloa,574,Waikoloa,2006,challenger
