Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
Q,Brian Levine,1,Lloyd Bourne,61 62,perth,243,Perth,1984,challenger
1,Lloyd Bourne,,Craig A Miller,75 63,perth,243,Perth,1984,challenger
Q,Brian Levine,7,John Frawley,62 64,perth,243,Perth,1984,challenger
1,Lloyd Bourne,,Greg Whitecross,64 64,perth,243,Perth,1984,challenger
7,John Frawley,,Jonathan Canter,46 63 63,perth,243,Perth,1984,challenger
Q,Brian Levine,,Mark Kratzmann,67 62 63,perth,243,Perth,1984,challenger
,Craig A Miller,,Jerome Vanier,75 75,perth,243,Perth,1984,challenger
1,Lloyd Bourne,,Desmond Tyson,64 67 63,perth,243,Perth,1984,challenger
7,John Frawley,,John Van Nostrand,75 76,perth,243,Perth,1984,challenger
,Greg Whitecross,8,Leif Shiras,75 64,perth,243,Perth,1984,challenger
,Jonathan Canter,,Andy Andrews,67 63 63,perth,243,Perth,1984,challenger
,Mark Kratzmann,Q,Jacques Manset,67 64 62,perth,243,Perth,1984,challenger
Q,Brian Levine,,Wayne Hampson,76 63,perth,243,Perth,1984,challenger
,Craig A Miller,,Peter Carter,36 63 64,perth,243,Perth,1984,challenger
,Jerome Vanier,,Todd Nelson,76 61,perth,243,Perth,1984,challenger
1,Lloyd Bourne,,Russell Barlow,67 76 62,perth,243,Perth,1984,challenger
,Jonathan Canter,2,Broderick Dyke,75 64,perth,243,Perth,1984,challenger
,Peter Carter,3,Chris Johnstone,46 76 62,perth,243,Perth,1984,challenger
,Wayne Hampson,4,Sean Brawley,64 64,perth,243,Perth,1984,challenger
Q,Jacques Manset,5,Simon Youl,64 64,perth,243,Perth,1984,challenger
,Todd Nelson,6,David Mustard,63 46 63,perth,243,Perth,1984,challenger
7,John Frawley,,Rand Evett,63 26 62,perth,243,Perth,1984,challenger
8,Leif Shiras,,Jeremy Bates,63 76,perth,243,Perth,1984,challenger
