Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
3,Mark Woodforde,1,Wally Masur,62 64,adelaide,7308,Adelaide,1988,world
1,Wally Masur,5,John Fitzgerald,61 61,adelaide,7308,Adelaide,1988,world
3,Mark Woodforde,WC,Johan Anderson,61 64,adelaide,7308,Adelaide,1988,world
1,Wally Masur,Q,Roger Rasheed,61 46 64,adelaide,7308,Adelaide,1988,world
3,Mark Woodforde,,Patrick Baur,64 16 61,adelaide,7308,Adelaide,1988,world
5,John Fitzgerald,,Bud Schultz,64 57 64,adelaide,7308,Adelaide,1988,world
WC,Johan Anderson,,Joey Rive,75 75,adelaide,7308,Adelaide,1988,world
1,Wally Masur,,Paul McNamee,62 63,adelaide,7308,Adelaide,1988,world
3,Mark Woodforde,,Barry Moir,64 63,adelaide,7308,Adelaide,1988,world
5,John Fitzgerald,WC,Richard Fromberg,67 75 62,adelaide,7308,Adelaide,1988,world
WC,Johan Anderson,,Gianluca Pozzi,64 26 62,adelaide,7308,Adelaide,1988,world
,Patrick Baur,,Paul Chamberlin,76 61,adelaide,7308,Adelaide,1988,world
Q,Roger Rasheed,,Carl Limberger,76 46 76,adelaide,7308,Adelaide,1988,world
,Joey Rive,Q,Jason Stoltenberg,75 26 62,adelaide,7308,Adelaide,1988,world
,Bud Schultz,,Simon Youl,75 67 63,adelaide,7308,Adelaide,1988,world
1,Wally Masur,WC,Peter Carter,62 61,adelaide,7308,Adelaide,1988,world
Q,Jason Stoltenberg,2,Michiel Schapers,63 67 62,adelaide,7308,Adelaide,1988,world
3,Mark Woodforde,Q,Brian Roe,62 75,adelaide,7308,Adelaide,1988,world
,Bud Schultz,4,Peter Doohan,61 62,adelaide,7308,Adelaide,1988,world
5,John Fitzgerald,,Mark Kratzmann,75 63,adelaide,7308,Adelaide,1988,world
,Patrick Baur,6,Darren Cahill,67 75 62,adelaide,7308,Adelaide,1988,world
Q,Roger Rasheed,7,Christian Saceanu,62 36 75,adelaide,7308,Adelaide,1988,world
,Gianluca Pozzi,8,Matt Anger,64 63,adelaide,7308,Adelaide,1988,world
WC,Johan Anderson,,Alexander Mronz,62 26 62,adelaide,7308,Adelaide,1988,world
,Paul Chamberlin,Q,Richard Schmidt,64 67 76,adelaide,7308,Adelaide,1988,world
WC,Richard Fromberg,,Brad Drewett,64 76,adelaide,7308,Adelaide,1988,world
,Carl Limberger,,Jon Levine,76 64,adelaide,7308,Adelaide,1988,world
,Paul McNamee,,Charles Bud Cox,61 62,adelaide,7308,Adelaide,1988,world
,Barry Moir,,Tom Nijssen,64 63,adelaide,7308,Adelaide,1988,world
,Joey Rive,,Eddie Edwards,61 76,adelaide,7308,Adelaide,1988,world
,Simon Youl,,Larry Scott,67 64 75,adelaide,7308,Adelaide,1988,world
6,Ramesh Krishnan,4,Andrei Chesnokov,67 60 64 63,wellington,354,Wellington,1988,world
6,Ramesh Krishnan,2,Kelly Evernden,63 61,wellington,354,Wellington,1988,world
4,Andrei Chesnokov,,Chris Pridham,46 63 97,wellington,354,Wellington,1988,world
2,Kelly Evernden,7,Jeremy Bates,63 16 61,wellington,354,Wellington,1988,world
4,Andrei Chesnokov,5,Tim Wilkison,64 64,wellington,354,Wellington,1988,world
6,Ramesh Krishnan,,Menno Oosting,62 46 64,wellington,354,Wellington,1988,world
,Chris Pridham,,Bruce Derlin,75 64,wellington,354,Wellington,1988,world
2,Kelly Evernden,LL,Omar Camporese,63 76,wellington,354,Wellington,1988,world
,Menno Oosting,3,John Frawley,63 76,wellington,354,Wellington,1988,world
4,Andrei Chesnokov,,Broderick Dyke,57 62 64,wellington,354,Wellington,1988,world
5,Tim Wilkison,,Steve Shaw,75 63,wellington,354,Wellington,1988,world
6,Ramesh Krishnan,,Todd Witsken,36 64 60,wellington,354,Wellington,1988,world
7,Jeremy Bates,,John Ross,67 62 62,wellington,354,Wellington,1988,world
,Bruce Derlin,8,Marty Davis,64 36 97,wellington,354,Wellington,1988,world
,Chris Pridham,WC,David Lewis,26 62 62,wellington,354,Wellington,1988,world
WC,David Lewis,1,Jonas Svensson,64 61,wellington,354,Wellington,1988,world
2,Kelly Evernden,,Jerome Potier,62 61,wellington,354,Wellington,1988,world
3,John Frawley,Q,Bob Green,63 46 86,wellington,354,Wellington,1988,world
