Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
,Nikolay Davydenko,Q,Kristof Vliegen,62 763,adelaide,7308,Adelaide,2003,world
,Nikolay Davydenko,,Adrian Voinea,62 61,adelaide,7308,Adelaide,2003,world
Q,Kristof Vliegen,,Richard Krajicek,761 46 63,adelaide,7308,Adelaide,2003,world
,Nikolay Davydenko,5,Mariano Zabaleta,763 61,adelaide,7308,Adelaide,2003,world
Q,Kristof Vliegen,6,Alberto Martin,63 64,adelaide,7308,Adelaide,2003,world
,Richard Krajicek,,Brian Vahaly,61 63,adelaide,7308,Adelaide,2003,world
,Adrian Voinea,,Antony Dupuis,766 64,adelaide,7308,Adelaide,2003,world
,Antony Dupuis,2,Max Mirnyi,763 63,adelaide,7308,Adelaide,2003,world
,Nikolay Davydenko,4,Ivan Ljubicic,46 64 769,adelaide,7308,Adelaide,2003,world
5,Mariano Zabaleta,,Martin Verkerk,64 64,adelaide,7308,Adelaide,2003,world
6,Alberto Martin,Q,Richard Gasquet,75 61,adelaide,7308,Adelaide,2003,world
,Brian Vahaly,8,Vincent Spadea,761 62,adelaide,7308,Adelaide,2003,world
,Richard Krajicek,,Franco Squillari,64 63,adelaide,7308,Adelaide,2003,world
Q,Kristof Vliegen,Q,Arvind Parmar,62 62,adelaide,7308,Adelaide,2003,world
,Adrian Voinea,,Alex Kim,64 61,adelaide,7308,Adelaide,2003,world
,Franco Squillari,1,Wayne Ferreira,764 62,adelaide,7308,Adelaide,2003,world
2,Max Mirnyi,,Stefano Galvani,765 62,adelaide,7308,Adelaide,2003,world
Q,Kristof Vliegen,3,Thomas Enqvist,36 64 63,adelaide,7308,Adelaide,2003,world
4,Ivan Ljubicic,,Jeff Morrison,64 63,adelaide,7308,Adelaide,2003,world
5,Mariano Zabaleta,,Alexander Waske,61 64,adelaide,7308,Adelaide,2003,world
6,Alberto Martin,,Jurgen Melzer,61 63,adelaide,7308,Adelaide,2003,world
,Adrian Voinea,7,Olivier Rochus,61 46 764,adelaide,7308,Adelaide,2003,world
8,Vincent Spadea,WC,Todd Reid,36 63 63,adelaide,7308,Adelaide,2003,world
,Nikolay Davydenko,,Irakli Labadze,62 765,adelaide,7308,Adelaide,2003,world
,Antony Dupuis,,Karol Beck,64 63,adelaide,7308,Adelaide,2003,world
Q,Richard Gasquet,,Arnaud Di Pasquale,36 63 64,adelaide,7308,Adelaide,2003,world
,Alex Kim,,Attila Savolt,26 63 63,adelaide,7308,Adelaide,2003,world
,Richard Krajicek,WC,Scott Draper,764 64,adelaide,7308,Adelaide,2003,world
