Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
,Nicklas Kulti,6,Michael Stich,63 16 62,adelaide,7308,Adelaide,1991,world
6,Michael Stich,2,Jim Courier,64 766,adelaide,7308,Adelaide,1991,world
,Nicklas Kulti,,Magnus Larsson,75 64,adelaide,7308,Adelaide,1991,world
2,Jim Courier,Q,Martin Sinner,763 63,adelaide,7308,Adelaide,1991,world
6,Michael Stich,,Jimmy Arias,36 63 63,adelaide,7308,Adelaide,1991,world
,Nicklas Kulti,,Fabrice Santoro,63 60,adelaide,7308,Adelaide,1991,world
,Magnus Larsson,,Patrik Kuhnen,766 36 63,adelaide,7308,Adelaide,1991,world
2,Jim Courier,,Paul Haarhuis,64 64,adelaide,7308,Adelaide,1991,world
,Nicklas Kulti,5,Magnus Gustafsson,46 61 61,adelaide,7308,Adelaide,1991,world
6,Michael Stich,,Gilad Bloom,75 61,adelaide,7308,Adelaide,1991,world
,Patrik Kuhnen,8,Todd Woodbridge,75 62,adelaide,7308,Adelaide,1991,world
,Jimmy Arias,WC,Jason Stoltenberg,62 64,adelaide,7308,Adelaide,1991,world
,Magnus Larsson,Q,Slobodan Zivojinovic,765 768,adelaide,7308,Adelaide,1991,world
,Fabrice Santoro,,Udo Riglewski,764 75,adelaide,7308,Adelaide,1991,world
Q,Martin Sinner,WC,Mark Woodforde,46 63 64,adelaide,7308,Adelaide,1991,world
,Magnus Larsson,1,Boris Becker,64 36 762,adelaide,7308,Adelaide,1991,world
2,Jim Courier,,Alexander Mronz,36 62 61,adelaide,7308,Adelaide,1991,world
,Jimmy Arias,3,Horst Skoff,764 30 (RET),adelaide,7308,Adelaide,1991,world
,Udo Riglewski,4,Sergi Bruguera,75 63,adelaide,7308,Adelaide,1991,world
5,Magnus Gustafsson,WC,John Fitzgerald,62 63,adelaide,7308,Adelaide,1991,world
6,Michael Stich,,Jean-Philippe Fleurian,64 64,adelaide,7308,Adelaide,1991,world
WC,Mark Woodforde,7,Mark Koevermans,62 762,adelaide,7308,Adelaide,1991,world
8,Todd Woodbridge,,Guillaume Raoux,762 61,adelaide,7308,Adelaide,1991,world
,Gilad Bloom,Q,Sandon Stolle,674 765 64,adelaide,7308,Adelaide,1991,world
,Paul Haarhuis,,Brad Pearce,61 36 62,adelaide,7308,Adelaide,1991,world
