Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
WC,Lleyton Hewitt,,Jason Stoltenberg,36 63 764,adelaide,7308,Adelaide,1998,world
,Jason Stoltenberg,5,Todd Woodbridge,64 61,adelaide,7308,Adelaide,1998,world
WC,Lleyton Hewitt,WC,Andre Agassi,765 764,adelaide,7308,Adelaide,1998,world
5,Todd Woodbridge,Q,Jerome Golmard,26 64 64,adelaide,7308,Adelaide,1998,world
WC,Andre Agassi,,Brett Steven,16 61 61,adelaide,7308,Adelaide,1998,world
WC,Lleyton Hewitt,,Vincent Spadea,75 36 61,adelaide,7308,Adelaide,1998,world
,Jason Stoltenberg,Q,Nicolas Escude,673 61 75,adelaide,7308,Adelaide,1998,world
,Jason Stoltenberg,1,Jonas Bjorkman,75 61,adelaide,7308,Adelaide,1998,world
,Brett Steven,2) W,Gustavo Kuerten,63 63,adelaide,7308,Adelaide,1998,world
Q,Jerome Golmard,4,Magnus Norman,16 62 01 (RET),adelaide,7308,Adelaide,1998,world
5,Todd Woodbridge,Q,Jens Knippschild,678 62 64,adelaide,7308,Adelaide,1998,world
Q,Nicolas Escude,7,Thomas Johansson,46 64 64,adelaide,7308,Adelaide,1998,world
WC,Andre Agassi,,Jan Siemerink,64 63,adelaide,7308,Adelaide,1998,world
WC,Lleyton Hewitt,,Mark Woodforde,46 761 61,adelaide,7308,Adelaide,1998,world
,Vincent Spadea,,Slava Dosedel,61 62,adelaide,7308,Adelaide,1998,world
1,Jonas Bjorkman,,Grant Stafford,64 62,adelaide,7308,Adelaide,1998,world
2) W,Gustavo Kuerten,,Kenneth Carlsen,765 75,adelaide,7308,Adelaide,1998,world
,Mark Woodforde,3,Jim Courier,75 62,adelaide,7308,Adelaide,1998,world
4,Magnus Norman,,Christian Ruud,63 16 64,adelaide,7308,Adelaide,1998,world
5,Todd Woodbridge,,Martin Damm,75 46 63,adelaide,7308,Adelaide,1998,world
,Vincent Spadea,6,Nicolas Kiefer,63 46 64,adelaide,7308,Adelaide,1998,world
7,Thomas Johansson,,Byron Black,75 63,adelaide,7308,Adelaide,1998,world
,Jan Siemerink,8,Dominik Hrbaty,63 675 63,adelaide,7308,Adelaide,1998,world
WC,Andre Agassi,,Sargis Sargsian,46 63 63,adelaide,7308,Adelaide,1998,world
,Slava Dosedel,,Andrea Gaudenzi,46 62 61,adelaide,7308,Adelaide,1998,world
Q,Nicolas Escude,,Alex Radulescu,60 75,adelaide,7308,Adelaide,1998,world
Q,Jerome Golmard,Q,Dirk Dier,63 64,adelaide,7308,Adelaide,1998,world
