Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
8,Radek Stepanek,3,Fernando Verdasco,36 63 64,brisbane,339,Brisbane,2009,world
3,Fernando Verdasco,,Paul-Henri Mathieu,62 61,brisbane,339,Brisbane,2009,world
8,Radek Stepanek,7,Richard Gasquet,26 62 64,brisbane,339,Brisbane,2009,world
7,Richard Gasquet,2,Jo-Wilfried Tsonga,16 64 62,brisbane,339,Brisbane,2009,world
3,Fernando Verdasco,,Florent Serra,46 60 63,brisbane,339,Brisbane,2009,world
8,Radek Stepanek,4,Robin Soderling,26 64 63,brisbane,339,Brisbane,2009,world
,Paul-Henri Mathieu,,Kei Nishikori,63 64,brisbane,339,Brisbane,2009,world
2,Jo-Wilfried Tsonga,,Jarkko Nieminen,06 761 765,brisbane,339,Brisbane,2009,world
3,Fernando Verdasco,,Mario Ancic,62 63,brisbane,339,Brisbane,2009,world
4,Robin Soderling,,Julien Benneteau,63 63,brisbane,339,Brisbane,2009,world
,Kei Nishikori,5,Tomas Berdych,767 63,brisbane,339,Brisbane,2009,world
7,Richard Gasquet,,Taylor Dent,75 64,brisbane,339,Brisbane,2009,world
8,Radek Stepanek,,Michael Llodra,762 63,brisbane,339,Brisbane,2009,world
,Paul-Henri Mathieu,,Ernests Gulbis,63 64,brisbane,339,Brisbane,2009,world
,Florent Serra,,Jurgen Melzer,64 63,brisbane,339,Brisbane,2009,world
,Ernests Gulbis,1,Novak Djokovic,64 64,brisbane,339,Brisbane,2009,world
2,Jo-Wilfried Tsonga,,Agustin Calleri,62 75,brisbane,339,Brisbane,2009,world
3,Fernando Verdasco,WC,Bernard Tomic,64 62,brisbane,339,Brisbane,2009,world
4,Robin Soderling,,Sam Querrey,63 63,brisbane,339,Brisbane,2009,world
5,Tomas Berdych,WC,Brydan Klein,60 64,brisbane,339,Brisbane,2009,world
,Jurgen Melzer,6,Mardy Fish,64 46 764,brisbane,339,Brisbane,2009,world
7,Richard Gasquet,,Marc Gicquel,46 62 62,brisbane,339,Brisbane,2009,world
8,Radek Stepanek,,Igor Kunitsyn,62 62,brisbane,339,Brisbane,2009,world
,Mario Ancic,Q,Amer Delic,762 674 766,brisbane,339,Brisbane,2009,world
,Julien Benneteau,,Robby Ginepri,36 63 75,brisbane,339,Brisbane,2009,world
,Taylor Dent,,Steve Darcis,76 62,brisbane,339,Brisbane,2009,world
,Michael Llodra,Q,Joseph Sirianni,57 763 62,brisbane,339,Brisbane,2009,world
,Paul-Henri Mathieu,Q,Teymuraz Gabashvili,63 63,brisbane,339,Brisbane,2009,world
,Jarkko Nieminen,WC,Marcos Baghdatis,57 61 64,brisbane,339,Brisbane,2009,world
,Kei Nishikori,Q,Bobby Reynolds,63 62,brisbane,339,Brisbane,2009,world
,Florent Serra,,Juan Carlos Ferrero,63 763,brisbane,339,Brisbane,2009,world
1,Teymuraz Gabashvili,8,Kevin Anderson,63 26 60,brisbane,339,Brisbane,2009,world
2,Bobby Reynolds,,Xavier Malisse,64 675 63,brisbane,339,Brisbane,2009,world
,Joseph Sirianni,6,Gilles Muller,765 75,brisbane,339,Brisbane,2009,world
,Amer Delic,,Andrea Stoppini,765 63,brisbane,339,Brisbane,2009,world
1,Teymuraz Gabashvili,WC,Sam Groth,62 36 63,brisbane,339,Brisbane,2009,world
2,Bobby Reynolds,,Luka Gregorc,62 64,brisbane,339,Brisbane,2009,world
,Joseph Sirianni,3,Mischa Zverev,75 61,brisbane,339,Brisbane,2009,world
,Andrea Stoppini,4,Thomaz Bellucci,63 64,brisbane,339,Brisbane,2009,world
6,Gilles Muller,,Mikhail Kukushkin,75 675 764,brisbane,339,Brisbane,2009,world
8,Kevin Anderson,,Evgeny Korolev,64 64,brisbane,339,Brisbane,2009,world
,Amer Delic,,Marco Crugnola,64 63,brisbane,339,Brisbane,2009,world
,Xavier Malisse,,Peter Luczak,64 64,brisbane,339,Brisbane,2009,world
1,Teymuraz Gabashvili,,Ilija Bozoljac,46 63 64,brisbane,339,Brisbane,2009,world
2,Bobby Reynolds,,Mikhail Elgin,46 62 63,brisbane,339,Brisbane,2009,world
3,Mischa Zverev,,Giovanni Lapentti,63 64,brisbane,339,Brisbane,2009,world
4,Thomaz Bellucci,,Carsten Ball,64 63,brisbane,339,Brisbane,2009,world
,Peter Luczak,5,Andrey Golubev,63 61,brisbane,339,Brisbane,2009,world
6,Gilles Muller,WC,Colin Ebelthite,673 64 64,brisbane,339,Brisbane,2009,world
,Amer Delic,7,Chris Guccione,64 75,brisbane,339,Brisbane,2009,world
8,Kevin Anderson,WC,Greg Jones,763 64,brisbane,339,Brisbane,2009,world
,Marco Crugnola,WC,Mark Verryth,64 64,brisbane,339,Brisbane,2009,world
,Luka Gregorc,,Jesse Huta Galung,64 64,brisbane,339,Brisbane,2009,world
WC,Sam Groth,,Frank Dancevic,63 761,brisbane,339,Brisbane,2009,world
,Evgeny Korolev,,Martin Fischer,62 61,brisbane,339,Brisbane,2009,world
,Mikhail Kukushkin,,Robert Smeets,75 64,brisbane,339,Brisbane,2009,world
,Xavier Malisse,,Simon Stadler,62 61,brisbane,339,Brisbane,2009,world
,Joseph Sirianni,,Peter Polansky,62 64,brisbane,339,Brisbane,2009,world
,Andrea Stoppini,,John Isner,75 63,brisbane,339,Brisbane,2009,world
3,Marin Cilic,WC,Somdev Devvarman,64 763,chennai,891,Chennai,2009,world
3,Marin Cilic,8,Marcel Granollers,64 63,chennai,891,Chennai,2009,world
WC,Somdev Devvarman,5,Rainer Schuettler,(W/O),chennai,891,Chennai,2009,world
3,Marin Cilic,7,Janko Tipsarevic,64 06 64,chennai,891,Chennai,2009,world
WC,Somdev Devvarman,4,Ivo Karlovic,764 64,chennai,891,Chennai,2009,world
5,Rainer Schuettler,,Bjorn Phau,62 75,chennai,891,Chennai,2009,world
8,Marcel Granollers,WC,Lukas Dlouhy,75 26 64,chennai,891,Chennai,2009,world
WC,Lukas Dlouhy,1,Nikolay Davydenko,(W/O),chennai,891,Chennai,2009,world
3,Marin Cilic,,Denis Istomin,60 64,chennai,891,Chennai,2009,world
4,Ivo Karlovic,,Ivo Minar,61 64,chennai,891,Chennai,2009,world
5,Rainer Schuettler,,Simon Greul,64 62,chennai,891,Chennai,2009,world
WC,Somdev Devvarman,6,Carlos Moya,46 75 64,chennai,891,Chennai,2009,world
7,Janko Tipsarevic,,Dudi Sela,763 64,chennai,891,Chennai,2009,world
8,Marcel Granollers,,Andreas Beck,64 61,chennai,891,Chennai,2009,world
,Bjorn Phau,Q,Flavio Cipolla,61 62,chennai,891,Chennai,2009,world
1,Nikolay Davydenko,,Daniel Koellerer,62 63,chennai,891,Chennai,2009,world
Q,Flavio Cipolla,2,Stan Wawrinka,64 61,chennai,891,Chennai,2009,world
3,Marin Cilic,,Alberto Martin,64 64,chennai,891,Chennai,2009,world
4,Ivo Karlovic,Q,Rajeev Ram,64 63,chennai,891,Chennai,2009,world
5,Rainer Schuettler,WC,Prakash Amritraj,62 46 61,chennai,891,Chennai,2009,world
6,Carlos Moya,Q,Danai Udomchoke,63 764,chennai,891,Chennai,2009,world
7,Janko Tipsarevic,,Pablo Andujar,63 62,chennai,891,Chennai,2009,world
8,Marcel Granollers,,Hyung-Taik Lee,64 75,chennai,891,Chennai,2009,world
,Andreas Beck,,Roko Karanusic,61 60,chennai,891,Chennai,2009,world
WC,Somdev Devvarman,,Kevin Kim,63 63,chennai,891,Chennai,2009,world
WC,Lukas Dlouhy,,Go Soeda,36 62 64,chennai,891,Chennai,2009,world
,Simon Greul,,Daniel Gimeno-Traver,63 64,chennai,891,Chennai,2009,world
,Denis Istomin,Q,Rohan Bopanna,64 763,chennai,891,Chennai,2009,world
,Ivo Minar,,Wayne Odesnik,63 60,chennai,891,Chennai,2009,world
,Bjorn Phau,,Santiago Ventura,62 75,chennai,891,Chennai,2009,world
,Dudi Sela,,Ruben Ramirez Hidalgo,46 763 61,chennai,891,Chennai,2009,world
1,Flavio Cipolla,7,Alexander Satschko,63 61,chennai,891,Chennai,2009,world
,Rohan Bopanna,2,Michael Berrer,46 63 64,chennai,891,Chennai,2009,world
3,Danai Udomchoke,8,Kyu Tae Im,765 61,chennai,891,Chennai,2009,world
4,Rajeev Ram,5,Alexander Kudryavtsev,64 674 63,chennai,891,Chennai,2009,world
1,Flavio Cipolla,,Yuichi Sugita,63 64,chennai,891,Chennai,2009,world
2,Michael Berrer,,Ranjeet Virali-Murugesan,61 61,chennai,891,Chennai,2009,world
3,Danai Udomchoke,,Louk Sorensen,64 64,chennai,891,Chennai,2009,world
4,Rajeev Ram,,Oliver Marach,62 64,chennai,891,Chennai,2009,world
5,Alexander Kudryavtsev,,Vignesh Peranamallur,61 765,chennai,891,Chennai,2009,world
7,Alexander Satschko,,Rohan Gajjar,62 64,chennai,891,Chennai,2009,world
8,Kyu Tae Im,WC,N.Sriram Balaji,60 674 62,chennai,891,Chennai,2009,world
,Rohan Bopanna,WC,Sanam Singh,63 64,chennai,891,Chennai,2009,world
