Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
2,Joachim Johansson,5,Taylor Dent,75 63,adelaide,7308,Adelaide,2005,world
2,Joachim Johansson,,Olivier Rochus,61 765,adelaide,7308,Adelaide,2005,world
5,Taylor Dent,4,Juan Ignacio Chela,61 61,adelaide,7308,Adelaide,2005,world
5,Taylor Dent,1,Lleyton Hewitt,764 63,adelaide,7308,Adelaide,2005,world
2,Joachim Johansson,,Thomas Enqvist,63 46 61,adelaide,7308,Adelaide,2005,world
,Olivier Rochus,3,Nicolas Kiefer,674 766 75,adelaide,7308,Adelaide,2005,world
4,Juan Ignacio Chela,8,Jurgen Melzer,763 57 62,adelaide,7308,Adelaide,2005,world
1,Lleyton Hewitt,,Agustin Calleri,61 64,adelaide,7308,Adelaide,2005,world
2,Joachim Johansson,,Xavier Malisse,674 63 762,adelaide,7308,Adelaide,2005,world
3,Nicolas Kiefer,,Cyril Saulnier,64 63,adelaide,7308,Adelaide,2005,world
4,Juan Ignacio Chela,Q,Jean-Rene Lisnard,75 75,adelaide,7308,Adelaide,2005,world
5,Taylor Dent,,Julien Benneteau,46 61 62,adelaide,7308,Adelaide,2005,world
,Olivier Rochus,6,Radek Stepanek,60 63,adelaide,7308,Adelaide,2005,world
,Thomas Enqvist,7,Florian Mayer,63 63,adelaide,7308,Adelaide,2005,world
8,Jurgen Melzer,Q,Amer Delic,63 63,adelaide,7308,Adelaide,2005,world
1,Lleyton Hewitt,Q,Arnaud Clement,26 61 61,adelaide,7308,Adelaide,2005,world
2,Joachim Johansson,WC,Marc Kimmich,62 64,adelaide,7308,Adelaide,2005,world
3,Nicolas Kiefer,,Sjeng Schalken,62 46 63,adelaide,7308,Adelaide,2005,world
4,Juan Ignacio Chela,,Sargis Sargsian,61 61,adelaide,7308,Adelaide,2005,world
5,Taylor Dent,,Robby Ginepri,61 26 62,adelaide,7308,Adelaide,2005,world
6,Radek Stepanek,,Philipp Kohlschreiber,63 64,adelaide,7308,Adelaide,2005,world
7,Florian Mayer,,Wayne Arthurs,64 36 75,adelaide,7308,Adelaide,2005,world
8,Jurgen Melzer,,Tomas Berdych,64 46 63,adelaide,7308,Adelaide,2005,world
