Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
7,Wally Masur,,Bill Scanlon,64 76,adelaide,7308,Adelaide,1987,world
7,Wally Masur,,Michiel Schapers,64 60,adelaide,7308,Adelaide,1987,world
,Bill Scanlon,8,Nduka Odizor,67 64 64,adelaide,7308,Adelaide,1987,world
8,Nduka Odizor,1,Ramesh Krishnan,63 62,adelaide,7308,Adelaide,1987,world
7,Wally Masur,2,Amos Mansdorf,62 64,adelaide,7308,Adelaide,1987,world
,Bill Scanlon,,Glenn Michibata,76 75,adelaide,7308,Adelaide,1987,world
,Michiel Schapers,,John Fitzgerald,76 64,adelaide,7308,Adelaide,1987,world
1,Ramesh Krishnan,,Johan Carlsson,62 62,adelaide,7308,Adelaide,1987,world
2,Amos Mansdorf,,Jon Levine,46 61 63,adelaide,7308,Adelaide,1987,world
,Michiel Schapers,4,Matt Anger,75 63,adelaide,7308,Adelaide,1987,world
,Glenn Michibata,6,Broderick Dyke,62 63,adelaide,7308,Adelaide,1987,world
7,Wally Masur,,Mark Woodforde,36 76 76,adelaide,7308,Adelaide,1987,world
8,Nduka Odizor,WC,Anthony Lane,62 76,adelaide,7308,Adelaide,1987,world
,John Fitzgerald,,Dan Goldie,75 75,adelaide,7308,Adelaide,1987,world
,Bill Scanlon,LL,Bruce Derlin,41 (RET),adelaide,7308,Adelaide,1987,world
1,Ramesh Krishnan,,Mark Kratzmann,46 63 63,adelaide,7308,Adelaide,1987,world
2,Amos Mansdorf,,Peter Doohan,76 26 76,adelaide,7308,Adelaide,1987,world
4,Matt Anger,LL,Brad Drewett,62 36 76,adelaide,7308,Adelaide,1987,world
,John Fitzgerald,5,Eddie Edwards,64 64,adelaide,7308,Adelaide,1987,world
6,Broderick Dyke,Q,Jeremy Bates,63 64,adelaide,7308,Adelaide,1987,world
7,Wally Masur,,Kelly Jones,64 62,adelaide,7308,Adelaide,1987,world
8,Nduka Odizor,WC,Peter Carter,26 64 63,adelaide,7308,Adelaide,1987,world
,Johan Carlsson,,Darren Cahill,67 76 63,adelaide,7308,Adelaide,1987,world
LL,Bruce Derlin,Q,Shane Barr,63 64,adelaide,7308,Adelaide,1987,world
,Dan Goldie,Q,Gilad Bloom,76 64,adelaide,7308,Adelaide,1987,world
WC,Anthony Lane,,Brad Pearce,75 63,adelaide,7308,Adelaide,1987,world
,Jon Levine,,Richard Matuszewski,36 75 63,adelaide,7308,Adelaide,1987,world
,Glenn Michibata,Q,Desmond Tyson,62 61,adelaide,7308,Adelaide,1987,world
,Bill Scanlon,,Javier Frana,46 64 61,adelaide,7308,Adelaide,1987,world
,Michiel Schapers,WC,Simon Youl,76 75,adelaide,7308,Adelaide,1987,world
,Mark Woodforde,,Bud Schultz,64 57 62,adelaide,7308,Adelaide,1987,world
1,Miloslav Mecir Sr.,7,Michiel Schapers,62 63 64,auckland,301,Auckland,1987,world
1,Miloslav Mecir Sr.,5,Derrick Rostagno,62 61,auckland,301,Auckland,1987,world
7,Michiel Schapers,,Carl Limberger,26 63 64,auckland,301,Auckland,1987,world
1,Miloslav Mecir Sr.,WC,Bruce Derlin,62 62,auckland,301,Auckland,1987,world
5,Derrick Rostagno,3,Ramesh Krishnan,63 67 108,auckland,301,Auckland,1987,world
,Carl Limberger,4,Marcel Freeman,62 36 64,auckland,301,Auckland,1987,world
7,Michiel Schapers,,Bud Schultz,76 26 64,auckland,301,Auckland,1987,world
1,Miloslav Mecir Sr.,,Glenn Michibata,63 63,auckland,301,Auckland,1987,world
,Bud Schultz,2,Milan Srejber,26 64 64,auckland,301,Auckland,1987,world
3,Ramesh Krishnan,,Johan Carlsson,63 61,auckland,301,Auckland,1987,world
4,Marcel Freeman,,Wally Masur,36 63 86,auckland,301,Auckland,1987,world
5,Derrick Rostagno,,Marty Davis,76 62,auckland,301,Auckland,1987,world
7,Michiel Schapers,,Mark Woodforde,63 16 86,auckland,301,Auckland,1987,world
WC,Bruce Derlin,WC,Brett Steven,76 63,auckland,301,Auckland,1987,world
,Carl Limberger,Q,Pat Serret,64 64,auckland,301,Auckland,1987,world
1,Miloslav Mecir Sr.,,Peter Doohan,62 76,auckland,301,Auckland,1987,world
2,Milan Srejber,,Kelly Jones,64 75,auckland,301,Auckland,1987,world
3,Ramesh Krishnan,,Bob Green,75 62,auckland,301,Auckland,1987,world
4,Marcel Freeman,,Jon Levine,46 62 61,auckland,301,Auckland,1987,world
5,Derrick Rostagno,,Jay Lapidus,75 63,auckland,301,Auckland,1987,world
Q,Pat Serret,6,Nduka Odizor,63 64,auckland,301,Auckland,1987,world
7,Michiel Schapers,,Steve Guy,63 76,auckland,301,Auckland,1987,world
