Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
,,,,,masters-doubles-wct,601,Masters Doubles WCT,1985,world
7,Chris Lewis (NZL),8,Wally Masur,75 60 26 64,auckland,301,Auckland,1985,world
8,Wally Masur,1,John Fitzgerald,57 75 75,auckland,301,Auckland,1985,world
7,Chris Lewis (NZL),,Danny Saltz,76 76,auckland,301,Auckland,1985,world
1,John Fitzgerald,5,Brad Drewett,76 75,auckland,301,Auckland,1985,world
,Danny Saltz,6,Peter Doohan,64 46 64,auckland,301,Auckland,1985,world
7,Chris Lewis (NZL),,Glenn Layendecker,75 63,auckland,301,Auckland,1985,world
8,Wally Masur,,Kelly Evernden,64 26 97,auckland,301,Auckland,1985,world
1,John Fitzgerald,,Karl Meiler,60 46 61,auckland,301,Auckland,1985,world
,Glenn Layendecker,2,John Lloyd,64 76,auckland,301,Auckland,1985,world
,Kelly Evernden,3,Leif Shiras,67 63 63,auckland,301,Auckland,1985,world
5,Brad Drewett,,Howard Sands,64 64,auckland,301,Auckland,1985,world
6,Peter Doohan,,Craig A Miller,63 64,auckland,301,Auckland,1985,world
7,Chris Lewis (NZL),,Scott McCain,61 64,auckland,301,Auckland,1985,world
8,Wally Masur,,Broderick Dyke,64 61,auckland,301,Auckland,1985,world
,Danny Saltz,,Jeff Turpin,46 64 63,auckland,301,Auckland,1985,world
1,John Fitzgerald,,Kelvin Belcher,26 63 64,auckland,301,Auckland,1985,world
2,John Lloyd,,Brian Levine,62 62,auckland,301,Auckland,1985,world
3,Leif Shiras,,David Lewis,36 62 86,auckland,301,Auckland,1985,world
,Danny Saltz,4,Dan Cassidy,75 63,auckland,301,Auckland,1985,world
5,Brad Drewett,Q,Russell Barlow,26 62 63,auckland,301,Auckland,1985,world
6,Peter Doohan,,Bruce Derlin,62 62,auckland,301,Auckland,1985,world
7,Chris Lewis (NZL),,Steve Guy,64 61,auckland,301,Auckland,1985,world
8,Wally Masur,,David Mustard,46 63 63,auckland,301,Auckland,1985,world
,Broderick Dyke,,Jonathan Smith,67 60 63,auckland,301,Auckland,1985,world
,Kelly Evernden,,Mark Long,62 61,auckland,301,Auckland,1985,world
,Glenn Layendecker,,Peter Johnston,26 61 97,auckland,301,Auckland,1985,world
,Scott McCain,Q,Cary Stansbury,64 75,auckland,301,Auckland,1985,world
,Karl Meiler,,Mark Wooldridge,26 64 63,auckland,301,Auckland,1985,world
,Craig A Miller,Q,Michael Fancutt,62 61,auckland,301,Auckland,1985,world
,Howard Sands,,Jonathan Canter,36 63 64,auckland,301,Auckland,1985,world
,Jeff Turpin,Q,Richard Akel,46 63 64,auckland,301,Auckland,1985,world
1,John McEnroe,,Miloslav Mecir Sr.,63 76 61,philadelphia,401,Philadelphia,1985,world
1,John McEnroe,,Scott Davis,62 64,philadelphia,401,Philadelphia,1985,world
,Miloslav Mecir Sr.,2,Jimmy Connors,57 64 63,philadelphia,401,Philadelphia,1985,world
1,John McEnroe,5,Yannick Noah,62 64,philadelphia,401,Philadelphia,1985,world
2,Jimmy Connors,,Mel Purcell,64 76,philadelphia,401,Philadelphia,1985,world
,Scott Davis,4,Eliot Teltscher,63 62,philadelphia,401,Philadelphia,1985,world
,Miloslav Mecir Sr.,Q,Joao Soares,75 75,philadelphia,401,Philadelphia,1985,world
1,John McEnroe,12,Brad Gilbert,61 62,philadelphia,401,Philadelphia,1985,world
2,Jimmy Connors,10,Stefan Edberg,76 62,philadelphia,401,Philadelphia,1985,world
4,Eliot Teltscher,,Tim Mayotte,16 76 63,philadelphia,401,Philadelphia,1985,world
5,Yannick Noah,LL,Cassio Motta,61 62,philadelphia,401,Philadelphia,1985,world
,Scott Davis,9,Tomas Smid,64 63,philadelphia,401,Philadelphia,1985,world
,Mel Purcell,11,Ben Testerman,76 36 64,philadelphia,401,Philadelphia,1985,world
,Miloslav Mecir Sr.,13,Ramesh Krishnan,75 76,philadelphia,401,Philadelphia,1985,world
Q,Joao Soares,,Greg Holmes,63 57 61,philadelphia,401,Philadelphia,1985,world
1,John McEnroe,,Marty Davis,62 63,philadelphia,401,Philadelphia,1985,world
2,Jimmy Connors,,Leif Shiras,62 64,philadelphia,401,Philadelphia,1985,world
,Greg Holmes,3,Mats Wilander,64 63,philadelphia,401,Philadelphia,1985,world
4,Eliot Teltscher,,Jay Lapidus,64 62,philadelphia,401,Philadelphia,1985,world
5,Yannick Noah,WC,Sandy Mayer,64 57 76,philadelphia,401,Philadelphia,1985,world
,Miloslav Mecir Sr.,6,Joakim Nystrom,63 67 61,philadelphia,401,Philadelphia,1985,world
,Mel Purcell,7,Jimmy Arias,67 64 64,philadelphia,401,Philadelphia,1985,world
9,Tomas Smid,,Matt Mitchell,62 36 62,philadelphia,401,Philadelphia,1985,world
10,Stefan Edberg,,Boris Becker,63 61,philadelphia,401,Philadelphia,1985,world
11,Ben Testerman,,Pavel Slozil,26 64 76,philadelphia,401,Philadelphia,1985,world
12,Brad Gilbert,Q,Sammy Giammalva Jr.,64 76,philadelphia,401,Philadelphia,1985,world
13,Ramesh Krishnan,,Balazs Taroczy,63 63,philadelphia,401,Philadelphia,1985,world
,Tim Mayotte,15,John Sadri,63 64,philadelphia,401,Philadelphia,1985,world
Q,Joao Soares,16,David Pate,63 76,philadelphia,401,Philadelphia,1985,world
,Scott Davis,LL,Michiel Schapers,63 46 61,philadelphia,401,Philadelphia,1985,world
LL,Cassio Motta,,Wojtek Fibak,63 46 63,philadelphia,401,Philadelphia,1985,world
,Boris Becker,,Zoltan Kuharszky,67 64 62,philadelphia,401,Philadelphia,1985,world
,Scott Davis,Q,Ricky Brown,67 63 76,philadelphia,401,Philadelphia,1985,world
,Marty Davis,,Terry Moor,64 63,philadelphia,401,Philadelphia,1985,world
,Wojtek Fibak,WC,Shlomo Glickstein,63 63,philadelphia,401,Philadelphia,1985,world
Q,Sammy Giammalva Jr.,WC,Shahar Perkiss,60 61,philadelphia,401,Philadelphia,1985,world
,Greg Holmes,,Tarik Benhabiles,76 62,philadelphia,401,Philadelphia,1985,world
,Jay Lapidus,,Tom Gullikson,26 64 63,philadelphia,401,Philadelphia,1985,world
WC,Sandy Mayer,,Mark Dickson,63 61,philadelphia,401,Philadelphia,1985,world
,Tim Mayotte,Q,Steve Denton,63 62,philadelphia,401,Philadelphia,1985,world
,Miloslav Mecir Sr.,,Thierry Tulasne,75 76,philadelphia,401,Philadelphia,1985,world
,Matt Mitchell,,Heinz Gunthardt,64 36 63,philadelphia,401,Philadelphia,1985,world
,Mel Purcell,Q,Marko Ostoja,46 76 64,philadelphia,401,Philadelphia,1985,world
,Leif Shiras,WC,Tim Gullikson,62 46 64,philadelphia,401,Philadelphia,1985,world
,Pavel Slozil,Q,Todd Nelson,76 62,philadelphia,401,Philadelphia,1985,world
Q,Joao Soares,,Tim Wilkison,64 46 61,philadelphia,401,Philadelphia,1985,world
,Balazs Taroczy,,Bob Green,67 76 75,philadelphia,401,Philadelphia,1985,world
9,Stefan Edberg,3) W,Yannick Noah,61 60,memphis,402,Memphis,1985,world
9,Stefan Edberg,1,Jimmy Connors,61 64,memphis,402,Memphis,1985,world
3) W,Yannick Noah,2,Eliot Teltscher,36 61 75,memphis,402,Memphis,1985,world
1,Jimmy Connors,6,Kevin Curren,76 64,memphis,402,Memphis,1985,world
2,Eliot Teltscher,,Greg Holmes,76 63,memphis,402,Memphis,1985,world
3) W,Yannick Noah,,Shahar Perkiss,63 36 63,memphis,402,Memphis,1985,world
9,Stefan Edberg,11,Brad Gilbert,64 62,memphis,402,Memphis,1985,world
1,Jimmy Connors,,Leif Shiras,67 62 76,memphis,402,Memphis,1985,world
2,Eliot Teltscher,12,Ramesh Krishnan,63 61,memphis,402,Memphis,1985,world
3) W,Yannick Noah,,Tim Gullikson,76 36 63,memphis,402,Memphis,1985,world
,Greg Holmes,5,Johan Kriek,36 76 63,memphis,402,Memphis,1985,world
6,Kevin Curren,13,John Sadri,64 64,memphis,402,Memphis,1985,world
9,Stefan Edberg,,Marty Davis,76 60,memphis,402,Memphis,1985,world
11,Brad Gilbert,,Jay Lapidus,61 64,memphis,402,Memphis,1985,world
,Shahar Perkiss,,Boris Becker,46 64 64,memphis,402,Memphis,1985,world
1,Jimmy Connors,,Jan Gunnarsson,46 64 60,memphis,402,Memphis,1985,world
2,Eliot Teltscher,,Mark Dickson,76 64,memphis,402,Memphis,1985,world
3) W,Yannick Noah,WC,Sandy Mayer,64 63,memphis,402,Memphis,1985,world
,Marty Davis,4,Aaron Krickstein,63 75,memphis,402,Memphis,1985,world
5,Johan Kriek,,Zoltan Kuharszky,36 62 62,memphis,402,Memphis,1985,world
6,Kevin Curren,Q,Marko Ostoja,62 64,memphis,402,Memphis,1985,world
,Boris Becker,7,Tomas Smid,62 64,memphis,402,Memphis,1985,world
,Jay Lapidus,8,Juan Aguilera,63 61,memphis,402,Memphis,1985,world
9,Stefan Edberg,,John Lloyd,75 63,memphis,402,Memphis,1985,world
,Greg Holmes,10,Ben Testerman,63 64,memphis,402,Memphis,1985,world
11,Brad Gilbert,,Tim Wilkison,64 63,memphis,402,Memphis,1985,world
12,Ramesh Krishnan,,Miloslav Mecir Sr.,62 63,memphis,402,Memphis,1985,world
13,John Sadri,Q,Bud Schultz,76 63,memphis,402,Memphis,1985,world
,Shahar Perkiss,14,David Pate,46 75 61,memphis,402,Memphis,1985,world
,Leif Shiras,15,Heinz Gunthardt,76 63,memphis,402,Memphis,1985,world
,Tim Gullikson,16,Terry Moor,62 62,memphis,402,Memphis,1985,world
,Boris Becker,,Wojtek Fibak,62 61,memphis,402,Memphis,1985,world
,Marty Davis,LL,Shlomo Glickstein,62 63,memphis,402,Memphis,1985,world
,Mark Dickson,,Thierry Tulasne,63 63,memphis,402,Memphis,1985,world
,Tim Gullikson,,Michiel Schapers,26 64 75,memphis,402,Memphis,1985,world
,Jan Gunnarsson,Q,Vincent Van Patten,64 75,memphis,402,Memphis,1985,world
,Greg Holmes,,Matt Mitchell,62 75,memphis,402,Memphis,1985,world
,Zoltan Kuharszky,WC,Roscoe Tanner,75 67 64,memphis,402,Memphis,1985,world
,Jay Lapidus,Q,Alberto Tous,75 62,memphis,402,Memphis,1985,world
,John Lloyd,,Tom Gullikson,63 63,memphis,402,Memphis,1985,world
WC,Sandy Mayer,Q,Nduka Odizor,63 62,memphis,402,Memphis,1985,world
,Miloslav Mecir Sr.,Q,Jakob Hlasek,64 63,memphis,402,Memphis,1985,world
Q,Marko Ostoja,,Tarik Benhabiles,64 62,memphis,402,Memphis,1985,world
,Shahar Perkiss,,Bill Scanlon,63 61,memphis,402,Memphis,1985,world
Q,Bud Schultz,,Victor Pecci Sr.,57 63 63,memphis,402,Memphis,1985,world
,Leif Shiras,,Pavel Slozil,46 76 76,memphis,402,Memphis,1985,world
,Tim Wilkison,,Peter Fleming,75 67 63,memphis,402,Memphis,1985,world
,Tim Mayotte,,Scott Davis,46 46 63 62 64,miami,403,Delray Beach,1985,world
,Scott Davis,11,Tomas Smid,76 64 46 63,miami,403,Delray Beach,1985,world
,Tim Mayotte,,Jan Gunnarsson,76 62 46 61,miami,403,Delray Beach,1985,world
11,Tomas Smid,9,Yannick Noah,63 63 75,miami,403,Delray Beach,1985,world
,Jan Gunnarsson,12,Vitas Gerulaitis,26 63 64 62,miami,403,Delray Beach,1985,world
,Scott Davis,13,Stefan Edberg,61 64 75,miami,403,Delray Beach,1985,world
,Tim Mayotte,,Mike Leach,62 63 62,miami,403,Delray Beach,1985,world
13,Stefan Edberg,1,Ivan Lendl,64 76,miami,403,Delray Beach,1985,world
,Mike Leach,2,Mats Wilander,75 62,miami,403,Delray Beach,1985,world
11,Tomas Smid,4,Anders Jarryd,61 64,miami,403,Delray Beach,1985,world
9,Yannick Noah,,Sammy Giammalva Jr.,63 64,miami,403,Delray Beach,1985,world
12,Vitas Gerulaitis,,Tarik Benhabiles,63 75,miami,403,Delray Beach,1985,world
,Scott Davis,LL,Marc Flur,64 62,miami,403,Delray Beach,1985,world
,Jan Gunnarsson,Q,Broderick Dyke,62 26 63,miami,403,Delray Beach,1985,world
,Tim Mayotte,,Greg Holmes,63 76,miami,403,Delray Beach,1985,world
1,Ivan Lendl,,Victor Pecci Sr.,62 64,miami,403,Delray Beach,1985,world
2,Mats Wilander,,Bob Green,63 46 64,miami,403,Delray Beach,1985,world
4,Anders Jarryd,,Shlomo Glickstein,61 61,miami,403,Delray Beach,1985,world
,Greg Holmes,5,Aaron Krickstein,76 76,miami,403,Delray Beach,1985,world
,Sammy Giammalva Jr.,6,Johan Kriek,62 76,miami,403,Delray Beach,1985,world
LL,Marc Flur,8,Joakim Nystrom,16 63 64,miami,403,Delray Beach,1985,world
9,Yannick Noah,,Tom Gullikson,75 61,miami,403,Delray Beach,1985,world
,Mike Leach,10,Jimmy Arias,76 63,miami,403,Delray Beach,1985,world
11,Tomas Smid,,Vincent Van Patten,76 36 75,miami,403,Delray Beach,1985,world
12,Vitas Gerulaitis,,Matt Mitchell,64 64,miami,403,Delray Beach,1985,world
13,Stefan Edberg,,Henry Pfister,63 64,miami,403,Delray Beach,1985,world
,Tarik Benhabiles,,Marian Vajda,57 63 62,miami,403,Delray Beach,1985,world
,Scott Davis,,Paul Annacone,75 64,miami,403,Delray Beach,1985,world
Q,Broderick Dyke,,Tim Wilkison,75 75,miami,403,Delray Beach,1985,world
,Jan Gunnarsson,Q,Jonathan Canter,26 63 64,miami,403,Delray Beach,1985,world
,Tim Mayotte,,Marty Davis,64 64,miami,403,Delray Beach,1985,world
1,Ivan Lendl,,John Sadri,76 60,miami,403,Delray Beach,1985,world
2,Mats Wilander,,Stefan Simonsson,67 61 10 (RET),miami,403,Delray Beach,1985,world
4,Anders Jarryd,,Tim Gullikson,61 63,miami,403,Delray Beach,1985,world
5,Aaron Krickstein,Q,Michael Robertson,62 63,miami,403,Delray Beach,1985,world
6,Johan Kriek,,Vijay Amritraj,64 60,miami,403,Delray Beach,1985,world
8,Joakim Nystrom,Q,Ernie Fernandez,63 75,miami,403,Delray Beach,1985,world
9,Yannick Noah,,Terry Moor,62 64,miami,403,Delray Beach,1985,world
10,Jimmy Arias,,Leif Shiras,63 26 62,miami,403,Delray Beach,1985,world
11,Tomas Smid,,Blaine Willenborg,63 64,miami,403,Delray Beach,1985,world
12,Vitas Gerulaitis,,Hans Gildemeister,61 62,miami,403,Delray Beach,1985,world
13,Stefan Edberg,,Wojtek Fibak,62 60,miami,403,Delray Beach,1985,world
,Marty Davis,14,Juan Aguilera,75 64,miami,403,Delray Beach,1985,world
Q,Broderick Dyke,15,Ben Testerman,76 46 62,miami,403,Delray Beach,1985,world
,Paul Annacone,,Miloslav Mecir Sr.,62 76,miami,403,Delray Beach,1985,world
,Tarik Benhabiles,,Marko Ostoja,67 64 62,miami,403,Delray Beach,1985,world
Q,Jonathan Canter,,Peter Doohan,62 63,miami,403,Delray Beach,1985,world
,Scott Davis,,Brad Gilbert,62 64,miami,403,Delray Beach,1985,world
LL,Marc Flur,LL,Robert Van't Hof,57 64 75,miami,403,Delray Beach,1985,world
,Sammy Giammalva Jr.,,Jimmy Brown,76 76,miami,403,Delray Beach,1985,world
,Shlomo Glickstein,,Pablo Arraya,76 76,miami,403,Delray Beach,1985,world
,Bob Green,,Steve Shaw,62 36 76,miami,403,Delray Beach,1985,world
,Tom Gullikson,,Jaroslav Navratil,63 62,miami,403,Delray Beach,1985,world
,Jan Gunnarsson,Q,Robert Seguso,46 75 60,miami,403,Delray Beach,1985,world
,Greg Holmes,,John Frawley,67 76 60,miami,403,Delray Beach,1985,world
,Mike Leach,,Pedro Rebolledo,63 61,miami,403,Delray Beach,1985,world
,Tim Mayotte,,Boris Becker,62 63,miami,403,Delray Beach,1985,world
,Matt Mitchell,,Shahar Perkiss,57 75 76,miami,403,Delray Beach,1985,world
,Victor Pecci Sr.,,Slobodan Zivojinovic,63 36 76,miami,403,Delray Beach,1985,world
,Henry Pfister,,Michiel Schapers,63 76,miami,403,Delray Beach,1985,world
,Marian Vajda,,Andreas Maurer,(W/O),miami,403,Delray Beach,1985,world
,Vincent Van Patten,,Mark Dickson,62 76,miami,403,Delray Beach,1985,world
