Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
2,John Newcombe,1,Jimmy Connors,75 36 64 76,australian-open,580,Australian Open,1975,world
1,Jimmy Connors,,Dick Crealy,64 63 64,australian-open,580,Australian Open,1975,world
2,John Newcombe,3,Tony Roche,64 46 64 26 119,australian-open,580,Australian Open,1975,world
1,Jimmy Connors,,Kim Warwick,63 62 62,australian-open,580,Australian Open,1975,world
2,John Newcombe,7,Geoff Masters,16 63 67 63 108,australian-open,580,Australian Open,1975,world
3,Tony Roche,6,Alex Metreveli,76 36 64 63,australian-open,580,Australian Open,1975,world
,Dick Crealy,4,John Alexander,63 46 63 76,australian-open,580,Australian Open,1975,world
1,Jimmy Connors,,Grover Raz Reid,62 63 57 60,australian-open,580,Australian Open,1975,world
2,John Newcombe,,Bob  Carmichael,76 63 62,australian-open,580,Australian Open,1975,world
3,Tony Roche,,Peter McNamara,67 75 62 63,australian-open,580,Australian Open,1975,world
4,John Alexander,,Allan Stone,62 64 75,australian-open,580,Australian Open,1975,world
6,Alex Metreveli,,Cliff Letcher,64 67 76 64,australian-open,580,Australian Open,1975,world
7,Geoff Masters,,Bob Giltinan,60 67 43 (RET),australian-open,580,Australian Open,1975,world
,Dick Crealy,,John Andrews,62 64 46 76,australian-open,580,Australian Open,1975,world
,Kim Warwick,,Harald Elschenbroich,46 46 76 64 62,australian-open,580,Australian Open,1975,world
1,Jimmy Connors,,Ulrich Pinner,63 63 62,australian-open,580,Australian Open,1975,world
2,John Newcombe,,Rolf Gehring,67 64 36 62 64,australian-open,580,Australian Open,1975,world
3,Tony Roche,,Colin Dibley,61 63 63,australian-open,580,Australian Open,1975,world
4,John Alexander,,Mark Edmondson,63 64 46 61,australian-open,580,Australian Open,1975,world
6,Alex Metreveli,,Martin Robinson,63 61 60,australian-open,580,Australian Open,1975,world
7,Geoff Masters,,Frank Sedgman,61 64 63,australian-open,580,Australian Open,1975,world
,Harald Elschenbroich,8,Phil Dent,46 64 64 63,australian-open,580,Australian Open,1975,world
,John Andrews,,Bill Bowrey,62 63 61,australian-open,580,Australian Open,1975,world
,Bob  Carmichael,,Sashi Menon,64 62 62,australian-open,580,Australian Open,1975,world
,Dick Crealy,,Ray Ruffels,63 64 76,australian-open,580,Australian Open,1975,world
,Bob Giltinan,,Patrice Beust,60 63 62,australian-open,580,Australian Open,1975,world
,Cliff Letcher,,Ernie Ewert,62 62 63,australian-open,580,Australian Open,1975,world
,Peter McNamara,,Joaquin Loyo-Mayo,36 63 62 61,australian-open,580,Australian Open,1975,world
,Grover Raz Reid,,Jasjit Singh,76 46 63 63,australian-open,580,Australian Open,1975,world
,Allan Stone,,John James,63 75 67 86,australian-open,580,Australian Open,1975,world
,Kim Warwick,,Graeme Thomson,63 64 76,australian-open,580,Australian Open,1975,world
1,Jimmy Connors,,Chris Kachel,75 62 63,australian-open,580,Australian Open,1975,world
2,John Newcombe,,Trevor Fancutt,62 61 62,australian-open,580,Australian Open,1975,world
3,Tony Roche,,Mike Machette,75 64 63,australian-open,580,Australian Open,1975,world
4,John Alexander,,Peter Doerner,36 75 62 64,australian-open,580,Australian Open,1975,world
,Ray Ruffels,5,Ross Case,46 63 64 62,australian-open,580,Australian Open,1975,world
6,Alex Metreveli,,Syd Ball,64 57 75 46 97,australian-open,580,Australian Open,1975,world
7,Geoff Masters,,Ray Keldie,63 64 67 75,australian-open,580,Australian Open,1975,world
8,Phil Dent,,Herve Gauvain,64 62 63,australian-open,580,Australian Open,1975,world
,John Andrews,,Greg Perkins,63 76 63,australian-open,580,Australian Open,1975,world
,Patrice Beust,,Kjell Johansson,(W/O),australian-open,580,Australian Open,1975,world
,Bill Bowrey,,Sachio Kato,63 60 63,australian-open,580,Australian Open,1975,world
,Bob  Carmichael,,Ulrich Marten,67 62 63 63,australian-open,580,Australian Open,1975,world
,Dick Crealy,,Jun Kuki,75 26 75 63,australian-open,580,Australian Open,1975,world
,Colin Dibley,,William Durham,63 64 62,australian-open,580,Australian Open,1975,world
,Mark Edmondson,,Toshiro Sakai,61 62 16 67 64,australian-open,580,Australian Open,1975,world
,Harald Elschenbroich,,Nicola  Spear,76 63 63,australian-open,580,Australian Open,1975,world
,Ernie Ewert,,David Carter,26 62 63 63,australian-open,580,Australian Open,1975,world
,Rolf Gehring,,Colin Stubs,63 62 64,australian-open,580,Australian Open,1975,world
,Bob Giltinan,,John Trickey,75 64 76,australian-open,580,Australian Open,1975,world
