Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
1,Yevgeny Kafelnikov,8,Byron Black,760 36 61,adelaide,7308,Adelaide,1996,world
1,Yevgeny Kafelnikov,,Javier Frana,75 61,adelaide,7308,Adelaide,1996,world
8,Byron Black,,Martin Damm,75 63,adelaide,7308,Adelaide,1996,world
1,Yevgeny Kafelnikov,7,Greg Rusedski,63 63,adelaide,7308,Adelaide,1996,world
8,Byron Black,2,Daniel Vacek,767 675 64,adelaide,7308,Adelaide,1996,world
,Javier Frana,3,Renzo Furlan,765 63,adelaide,7308,Adelaide,1996,world
,Martin Damm,,Henrik Holm,63 (RET),adelaide,7308,Adelaide,1996,world
1,Yevgeny Kafelnikov,,Mark Woodforde,64 46 61,adelaide,7308,Adelaide,1996,world
2,Daniel Vacek,Q,Thomas Johansson,26 63 63,adelaide,7308,Adelaide,1996,world
3,Renzo Furlan,,Karol Kucera,63 62,adelaide,7308,Adelaide,1996,world
7,Greg Rusedski,,Scott Draper,63 62,adelaide,7308,Adelaide,1996,world
8,Byron Black,,Jiri Novak,61 36 62,adelaide,7308,Adelaide,1996,world
,Martin Damm,Q,Nicolas Kiefer,63 64,adelaide,7308,Adelaide,1996,world
,Javier Frana,,Carl-Uwe Steeb,64 36 61,adelaide,7308,Adelaide,1996,world
,Henrik Holm,Q,Joern Renzenbrink,75 763,adelaide,7308,Adelaide,1996,world
1,Yevgeny Kafelnikov,Q,Sebastien Lareau,62 766,adelaide,7308,Adelaide,1996,world
2,Daniel Vacek,,Stefano Pescosolido,46 64 764,adelaide,7308,Adelaide,1996,world
3,Renzo Furlan,,Shuzo Matsuoka,64 675 63,adelaide,7308,Adelaide,1996,world
Q,Nicolas Kiefer,4,Jonas Bjorkman,62 61,adelaide,7308,Adelaide,1996,world
,Javier Frana,5,Todd Woodbridge,7613 671 63,adelaide,7308,Adelaide,1996,world
,Henrik Holm,6,Jakob Hlasek,6710 63 764,adelaide,7308,Adelaide,1996,world
7,Greg Rusedski,,Guy Forget,671 766 765,adelaide,7308,Adelaide,1996,world
8,Byron Black,,Hernan Gumy,61 75,adelaide,7308,Adelaide,1996,world
,Martin Damm,,Kenneth Carlsen,64 63,adelaide,7308,Adelaide,1996,world
,Scott Draper,,Chuck Adams,46 75 63,adelaide,7308,Adelaide,1996,world
Q,Thomas Johansson,,David Rikl,36 63 61,adelaide,7308,Adelaide,1996,world
