Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
1,Lew Hoad,2,Ken Rosewall,64 36 64 75,australian-open,580,Australian Championships,1956,world
1,Lew Hoad,6,Neale Fraser,63 62 60,australian-open,580,Australian Championships,1956,world
2,Ken Rosewall,3,Herbie Flam,64 60 62,australian-open,580,Australian Championships,1956,world
1,Lew Hoad,7,Mervyn Rose,36 61 68 62 97,australian-open,580,Australian Championships,1956,world
2,Ken Rosewall,8,Mal Anderson,64 63 57 86,australian-open,580,Australian Championships,1956,world
3,Herbie Flam,5,Ashley Cooper,68 63 62 63,australian-open,580,Australian Championships,1956,world
6,Neale Fraser,4,Gilbert Shea,62 64 63,australian-open,580,Australian Championships,1956,world
1,Lew Hoad,,Bill Sr. Gilmour,62 63 62,australian-open,580,Australian Championships,1956,world
2,Ken Rosewall,,Doug Reid,61 64 61,australian-open,580,Australian Championships,1956,world
3,Herbie Flam,,Don Candy,16 86 64 63,australian-open,580,Australian Championships,1956,world
4,Gilbert Shea,,Roy Emerson,63 68 36 61 62,australian-open,580,Australian Championships,1956,world
5,Ashley Cooper,,Peter Newman,64 97 60,australian-open,580,Australian Championships,1956,world
6,Neale Fraser,,Barry Phillips-Moore,26 60 62 63,australian-open,580,Australian Championships,1956,world
7,Mervyn Rose,,Bob Mark,61 62 46 64,australian-open,580,Australian Championships,1956,world
8,Mal Anderson,,Brian Bowman,62 46 63 62,australian-open,580,Australian Championships,1956,world
1,Lew Hoad,,Glen Sheil,62 61 61,australian-open,580,Australian Championships,1956,world
2,Ken Rosewall,,R. Brant,61 62 61,australian-open,580,Australian Championships,1956,world
3,Herbie Flam,,Gerald Moss,60 61 60,australian-open,580,Australian Championships,1956,world
4,Gilbert Shea,,Neil Gibson,64 36 36 62 62,australian-open,580,Australian Championships,1956,world
5,Ashley Cooper,,D. Young,61 61 61,australian-open,580,Australian Championships,1956,world
6,Neale Fraser,,Warren Jacques,86 64 36 61,australian-open,580,Australian Championships,1956,world
7,Mervyn Rose,,Max Collins,62 60 62,australian-open,580,Australian Championships,1956,world
8,Mal Anderson,,Paul Hearnden,63 61 64,australian-open,580,Australian Championships,1956,world
,Brian Bowman,,Rod Laver,64 36 57 1311 63,australian-open,580,Australian Championships,1956,world
,Don Candy,,Graham Lovett,62 62 86,australian-open,580,Australian Championships,1956,world
,Roy Emerson,,Jack Dobbs,61 62 64,australian-open,580,Australian Championships,1956,world
,Bill Sr. Gilmour,,Graham Stewart,64 62 64,australian-open,580,Australian Championships,1956,world
,Bob Mark,,Estaban Reyes,97 62 57 36 75,australian-open,580,Australian Championships,1956,world
,Peter Newman,,Les Flanders,46 64 64 64,australian-open,580,Australian Championships,1956,world
,Barry Phillips-Moore,,Barry Green,62 60 63,australian-open,580,Australian Championships,1956,world
,Doug Reid,,D. Sheperd,63 61 61,australian-open,580,Australian Championships,1956,world
1,Lew Hoad,3,Sven Davidson,64 86 63,roland-garros,520,French Championships,1956,world
1,Lew Hoad,5,Giuseppe Merlo,64 75 64,roland-garros,520,French Championships,1956,world
3,Sven Davidson,7,Ashley Cooper,62 97 57 63,roland-garros,520,French Championships,1956,world
1,Lew Hoad,,Nicola Pietrangeli,61 63 60,roland-garros,520,French Championships,1956,world
3,Sven Davidson,11,Herbie Flam,62 64 75,roland-garros,520,French Championships,1956,world
5,Giuseppe Merlo,13,Paul Remy,46 62 26 64 108,roland-garros,520,French Championships,1956,world
7,Ashley Cooper,15,Jacques Brichant,64 86 26 63,roland-garros,520,French Championships,1956,world
1,Lew Hoad,16,Roger Becker,68 75 61 63,roland-garros,520,French Championships,1956,world
15,Jacques Brichant,2,Budge Patty,36 46 75 75 62,roland-garros,520,French Championships,1956,world
3,Sven Davidson,14,Don Candy,63 57 86 64,roland-garros,520,French Championships,1956,world
13,Paul Remy,4,Arthur Larsen,57 63 16 75 63,roland-garros,520,French Championships,1956,world
5,Giuseppe Merlo,12,Robert Perry,62 63 63,roland-garros,520,French Championships,1956,world
11,Herbie Flam,6,Jaroslav Drobny,75 63 86,roland-garros,520,French Championships,1956,world
7,Ashley Cooper,10,Kurt Nielsen,63 63 64,roland-garros,520,French Championships,1956,world
,Nicola Pietrangeli,9,Luis Ayala,64 61 06 57 64,roland-garros,520,French Championships,1956,world
1,Lew Hoad,,Robert Abdesselam,16 75 60 46 60,roland-garros,520,French Championships,1956,world
2,Budge Patty,,Jiri Javorsky,63 62 63,roland-garros,520,French Championships,1956,world
3,Sven Davidson,,Pierre Darmon,68 75 62 86,roland-garros,520,French Championships,1956,world
4,Arthur Larsen,,Georges Deniau,60 62 62,roland-garros,520,French Championships,1956,world
5,Giuseppe Merlo,,Robert Haillet,64 62 64,roland-garros,520,French Championships,1956,world
6,Jaroslav Drobny,,Bobby Wilson,60 86 86,roland-garros,520,French Championships,1956,world
7,Ashley Cooper,,Michael Davies,62 64 61,roland-garros,520,French Championships,1956,world
9,Luis Ayala,,Ulf Schmidt,64 64 63,roland-garros,520,French Championships,1956,world
10,Kurt Nielsen,,Jozsef Asboth,57 61 64 06 64,roland-garros,520,French Championships,1956,world
11,Herbie Flam,,Trevor Fancutt,62 61 60,roland-garros,520,French Championships,1956,world
12,Robert Perry,,Gino Mezzi,36 61 61 62,roland-garros,520,French Championships,1956,world
13,Paul Remy,,Andras Adam-Stolpa,64 61 62,roland-garros,520,French Championships,1956,world
14,Don Candy,,Franz Feldbausch,62 60 63,roland-garros,520,French Championships,1956,world
15,Jacques Brichant,,Ivko Plecevic,62 60 64,roland-garros,520,French Championships,1956,world
16,Roger Becker,,Marcel Bernard,86 61 62,roland-garros,520,French Championships,1956,world
,Nicola Pietrangeli,,Gordon Forbes,86 119 63,roland-garros,520,French Championships,1956,world
1,Lew Hoad,,Istvan Gulyas,64 62 75,roland-garros,520,French Championships,1956,world
2,Budge Patty,,Rupert Huber,(W/O),roland-garros,520,French Championships,1956,world
3,Sven Davidson,,Orlando Sirola,63 64 75,roland-garros,520,French Championships,1956,world
4,Arthur Larsen,,Donald L. M. Black,64 63 75,roland-garros,520,French Championships,1956,world
5,Giuseppe Merlo,,Irvin Dorfman,60 63 62,roland-garros,520,French Championships,1956,world
6,Jaroslav Drobny,,Bob Mark,60 62 61,roland-garros,520,French Championships,1956,world
7,Ashley Cooper,,Paul Desq,75 97 62,roland-garros,520,French Championships,1956,world
9,Luis Ayala,,Alexandar Popovic,61 60 62,roland-garros,520,French Championships,1956,world
10,Kurt Nielsen,,Jean Claude Molinari,75 64 75,roland-garros,520,French Championships,1956,world
11,Herbie Flam,,Tony Vincent,62 62 61,roland-garros,520,French Championships,1956,world
12,Robert Perry,,Eduardo Argon,63 64 86,roland-garros,520,French Championships,1956,world
13,Paul Remy,,Malcolm Fox,62 61 57 61,roland-garros,520,French Championships,1956,world
14,Don Candy,,Gil De Kermadec,64 60 62,roland-garros,520,French Championships,1956,world
15,Jacques Brichant,,Michel Follveider,62 61 61,roland-garros,520,French Championships,1956,world
16,Roger Becker,,Torben Ulrich,97 61 61,roland-garros,520,French Championships,1956,world
,Robert Abdesselam,,Henri Chabance,61 61 62,roland-garros,520,French Championships,1956,world
,Andras Adam-Stolpa,,Roland Borghini,62 62 62,roland-garros,520,French Championships,1956,world
,Jozsef Asboth,,Nadin Hajjar,61 61 60,roland-garros,520,French Championships,1956,world
,Marcel Bernard,,Alain Lemyze,108 75 64,roland-garros,520,French Championships,1956,world
,Pierre Darmon,,Francis Nys,46 62 62 86,roland-garros,520,French Championships,1956,world
,Michael Davies,,Andres Hammersley,36 79 62 60 60,roland-garros,520,French Championships,1956,world
,Georges Deniau,,Khwaja-Saeed Hai,46 62 64 26 61,roland-garros,520,French Championships,1956,world
,Trevor Fancutt,,Henri Pellizza,1311 46 61 62,roland-garros,520,French Championships,1956,world
,Franz Feldbausch,,Marc Lasry,36 63 60 16 62,roland-garros,520,French Championships,1956,world
,Gordon Forbes,,Peter Scholl,62 63 36 46 63,roland-garros,520,French Championships,1956,world
,Robert Haillet,,Ian Vermaak,86 57 64 75,roland-garros,520,French Championships,1956,world
,Jiri Javorsky,,Mustapha Belkhodja,62 62 62,roland-garros,520,French Championships,1956,world
,Gino Mezzi,,Dean Brinkman,60 62 86,roland-garros,520,French Championships,1956,world
,Nicola Pietrangeli,,Philippe Deniau,62 60 61,roland-garros,520,French Championships,1956,world
,Ivko Plecevic,,Fernando Olozaga,36 64 63 64,roland-garros,520,French Championships,1956,world
,Ulf Schmidt,,Christian Grandet,63 62 64,roland-garros,520,French Championships,1956,world
,Bobby Wilson,,Paul Jalabert,62 63 61,roland-garros,520,French Championships,1956,world
3,Sven Davidson,,E. Powers,60 60 60,roland-garros,520,French Championships,1956,world
4,Arthur Larsen,,Roger Dubuc,61 108 62,roland-garros,520,French Championships,1956,world
5,Giuseppe Merlo,,Dimitri Sturdza,(W/O),roland-garros,520,French Championships,1956,world
6,Jaroslav Drobny,,Bob Howe,62 63 62,roland-garros,520,French Championships,1956,world
7,Ashley Cooper,,Wayne Van Voorhees,62 64 61,roland-garros,520,French Championships,1956,world
,Peter Scholl,8,Tut Bartzen,(W/O),roland-garros,520,French Championships,1956,world
9,Luis Ayala,,Xavier Perreau Saussine,86 63 60,roland-garros,520,French Championships,1956,world
