Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
1,Tim Henman,WC,Mark Philippoussis,64 676 63,adelaide,7308,Adelaide,2002,world
1,Tim Henman,,Alberto Martin,75 46 62,adelaide,7308,Adelaide,2002,world
WC,Mark Philippoussis,4,Hicham Arazi,64 61,adelaide,7308,Adelaide,2002,world
1,Tim Henman,6,Greg Rusedski,64 64,adelaide,7308,Adelaide,2002,world
,Alberto Martin,3,Thomas Enqvist,36 64 63,adelaide,7308,Adelaide,2002,world
4,Hicham Arazi,8,Ivan Ljubicic,41 (RET),adelaide,7308,Adelaide,2002,world
WC,Mark Philippoussis,,Todd Martin,46 62 62,adelaide,7308,Adelaide,2002,world
1,Tim Henman,,Kenneth Carlsen,762 (RET),adelaide,7308,Adelaide,2002,world
3,Thomas Enqvist,,Jerome Golmard,64 46 61,adelaide,7308,Adelaide,2002,world
4,Hicham Arazi,Q,Paul-Henri Mathieu,64 06 62,adelaide,7308,Adelaide,2002,world
WC,Mark Philippoussis,5,Sjeng Schalken,60 63,adelaide,7308,Adelaide,2002,world
6,Greg Rusedski,WC,Scott Draper,61 36 64,adelaide,7308,Adelaide,2002,world
8,Ivan Ljubicic,,Nicolas Massu,765 75,adelaide,7308,Adelaide,2002,world
,Todd Martin,,Michael Llodra,75 64,adelaide,7308,Adelaide,2002,world
,Alberto Martin,,Juan Ignacio Chela,62 75,adelaide,7308,Adelaide,2002,world
1,Tim Henman,Q,Richard Fromberg,63 675 60,adelaide,7308,Adelaide,2002,world
,Todd Martin,2) W,Pete Sampras,36 63 64,adelaide,7308,Adelaide,2002,world
3,Thomas Enqvist,,Marcelo Rios,60 63,adelaide,7308,Adelaide,2002,world
4,Hicham Arazi,,Michel Kratochvil,63 26 763,adelaide,7308,Adelaide,2002,world
5,Sjeng Schalken,Q,Alex Kim,63 62,adelaide,7308,Adelaide,2002,world
6,Greg Rusedski,,Jacobo Diaz,63 764,adelaide,7308,Adelaide,2002,world
,Alberto Martin,7,Andreas Vinciguerra,63 64,adelaide,7308,Adelaide,2002,world
8,Ivan Ljubicic,,Michael Russell,762 7613,adelaide,7308,Adelaide,2002,world
,Kenneth Carlsen,LL,Wayne Black,764 673 60,adelaide,7308,Adelaide,2002,world
,Juan Ignacio Chela,Q,Ramon Delgado,61 63,adelaide,7308,Adelaide,2002,world
WC,Scott Draper,,Andre Sa,61 62,adelaide,7308,Adelaide,2002,world
,Jerome Golmard,,Wayne Arthurs,64 60,adelaide,7308,Adelaide,2002,world
,Michael Llodra,,Wayne Ferreira,63 36 63,adelaide,7308,Adelaide,2002,world
,Nicolas Massu,,Attila Savolt,62 61,adelaide,7308,Adelaide,2002,world
Q,Paul-Henri Mathieu,,Andrew Ilie,63 61,adelaide,7308,Adelaide,2002,world
WC,Mark Philippoussis,,Julien Boutter,63 64,adelaide,7308,Adelaide,2002,world
1,Guillermo Canas,,Paradorn Srichaphan,64 762,chennai,891,Chennai,2002,world
1,Guillermo Canas,,Karol Kucera,46 63 63,chennai,891,Chennai,2002,world
,Paradorn Srichaphan,4,Andrei Pavel,63 64,chennai,891,Chennai,2002,world
1,Guillermo Canas,,Jiri Vanek,75 11 (RET),chennai,891,Chennai,2002,world
,Paradorn Srichaphan,2,Thomas Johansson,46 63 62,chennai,891,Chennai,2002,world
,Karol Kucera,3,Fabrice Santoro,62 679 765,chennai,891,Chennai,2002,world
4,Andrei Pavel,,Alex Calatrava,766 61,chennai,891,Chennai,2002,world
1,Guillermo Canas,Q,Ivo Karlovic,75 62,chennai,891,Chennai,2002,world
2,Thomas Johansson,,Olivier Rochus,46 63 64,chennai,891,Chennai,2002,world
3,Fabrice Santoro,,Irakli Labadze,62 63,chennai,891,Chennai,2002,world
4,Andrei Pavel,Q,Stefano Galvani,63 63,chennai,891,Chennai,2002,world
,Alex Calatrava,6,Dominik Hrbaty,26 75 62,chennai,891,Chennai,2002,world
,Karol Kucera,,Dennis Van Scheppingen,75 762,chennai,891,Chennai,2002,world
,Paradorn Srichaphan,,Andrei Stoliarov,62 61,chennai,891,Chennai,2002,world
,Jiri Vanek,,Noam Okun,36 765 64,chennai,891,Chennai,2002,world
1,Guillermo Canas,,George Bastl,64 62,chennai,891,Chennai,2002,world
2,Thomas Johansson,,Ivo Heuberger,64 64,chennai,891,Chennai,2002,world
3,Fabrice Santoro,,Peter Wessels,766 63,chennai,891,Chennai,2002,world
4,Andrei Pavel,LL,Juan Antonio Marin,63 62,chennai,891,Chennai,2002,world
,Paradorn Srichaphan,5,Max Mirnyi,63 63,chennai,891,Chennai,2002,world
6,Dominik Hrbaty,,Axel Pretzsch,61 64,chennai,891,Chennai,2002,world
,Dennis Van Scheppingen,7,Michal Tabara,46 63 64,chennai,891,Chennai,2002,world
,Noam Okun,8,Kristian Pless,62 64,chennai,891,Chennai,2002,world
,Alex Calatrava,,Ota Fukarek,674 62 64,chennai,891,Chennai,2002,world
Q,Stefano Galvani,,Federico Luzzi,61 63,chennai,891,Chennai,2002,world
Q,Ivo Karlovic,Q,Byron Black,762 63,chennai,891,Chennai,2002,world
,Karol Kucera,,Juan Balcells,64 36 75,chennai,891,Chennai,2002,world
,Irakli Labadze,Q,Thomas Dupre,64 760,chennai,891,Chennai,2002,world
,Olivier Rochus,,Martin Lee,64 63,chennai,891,Chennai,2002,world
,Andrei Stoliarov,WC,Leander Paes,63 61,chennai,891,Chennai,2002,world
,Jiri Vanek,WC,Mahesh Bhupathi,62 62,chennai,891,Chennai,2002,world
6,Younes El Aynaoui,8,Felix Mantilla,46 62 62,doha,451,Doha,2002,world
8,Felix Mantilla,5,Bohdan Ulihrach,63 61,doha,451,Doha,2002,world
6,Younes El Aynaoui,7,Rainer Schuettler,63 64,doha,451,Doha,2002,world
7,Rainer Schuettler,1,Yevgeny Kafelnikov,75 64,doha,451,Doha,2002,world
6,Younes El Aynaoui,4,Jiri Novak,762 64,doha,451,Doha,2002,world
5,Bohdan Ulihrach,,Fernando Vicente,61 61,doha,451,Doha,2002,world
8,Felix Mantilla,Q,Radek Stepanek,63 63,doha,451,Doha,2002,world
1,Yevgeny Kafelnikov,,Nikolay Davydenko,674 64 64,doha,451,Doha,2002,world
Q,Radek Stepanek,2,Goran Ivanisevic,764 62,doha,451,Doha,2002,world
4,Jiri Novak,,Antony Dupuis,75 64,doha,451,Doha,2002,world
5,Bohdan Ulihrach,,Jonas Bjorkman,62 762,doha,451,Doha,2002,world
6,Younes El Aynaoui,,Franco Squillari,62 62,doha,451,Doha,2002,world
7,Rainer Schuettler,,Albert Montanes,63 64,doha,451,Doha,2002,world
8,Felix Mantilla,Q,Oleg Ogorodov,760 64,doha,451,Doha,2002,world
,Fernando Vicente,Q,Julian Knowle,63 64,doha,451,Doha,2002,world
1,Yevgeny Kafelnikov,,Daniel Vacek,760 64,doha,451,Doha,2002,world
2,Goran Ivanisevic,,Stefan Koubek,64 36 63,doha,451,Doha,2002,world
Q,Julian Knowle,3,Albert Portas,64 16 760,doha,451,Doha,2002,world
4,Jiri Novak,,Markus Hipfl,36 63 62,doha,451,Doha,2002,world
5,Bohdan Ulihrach,,Galo Blanco,62 62,doha,451,Doha,2002,world
6,Younes El Aynaoui,WC,Cedric Pioline,762 64,doha,451,Doha,2002,world
7,Rainer Schuettler,,Jarkko Nieminen,63 62,doha,451,Doha,2002,world
8,Felix Mantilla,Q,Cristiano Caratti,61 61,doha,451,Doha,2002,world
,Jonas Bjorkman,,Jan Vacek,64 672 63,doha,451,Doha,2002,world
,Nikolay Davydenko,,Mikhail Youzhny,64 62,doha,451,Doha,2002,world
,Antony Dupuis,,Andrea Gaudenzi,63 63,doha,451,Doha,2002,world
,Albert Montanes,,David Sanchez,63 62,doha,451,Doha,2002,world
Q,Oleg Ogorodov,WC,Nasser-Ghanim Al-Khulaifi,61 62,doha,451,Doha,2002,world
,Franco Squillari,,Sargis Sargsian,60 62,doha,451,Doha,2002,world
Q,Radek Stepanek,,Christophe Rochus,765 63,doha,451,Doha,2002,world
,Fernando Vicente,WC,Karim Alami,62 62,doha,451,Doha,2002,world
6,Greg Rusedski,,Jerome Golmard,670 64 75,auckland,301,Auckland,2002,world
6,Greg Rusedski,5,Jiri Novak,676 64 762,auckland,301,Auckland,2002,world
,Jerome Golmard,,Michel Kratochvil,62 62,auckland,301,Auckland,2002,world
6,Greg Rusedski,2,Goran Ivanisevic,62 06 63,auckland,301,Auckland,2002,world
5,Jiri Novak,,Felix Mantilla,61 61,auckland,301,Auckland,2002,world
,Jerome Golmard,,Jonas Bjorkman,63 64,auckland,301,Auckland,2002,world
,Michel Kratochvil,,David Nalbandian,26 61 75,auckland,301,Auckland,2002,world
,Jonas Bjorkman,1,Marat Safin,63 46 63,auckland,301,Auckland,2002,world
2,Goran Ivanisevic,,Mikhail Youzhny,46 63 63,auckland,301,Auckland,2002,world
,Felix Mantilla,4,Sjeng Schalken,64 64,auckland,301,Auckland,2002,world
5,Jiri Novak,,Fernando Vicente,63 63,auckland,301,Auckland,2002,world
6,Greg Rusedski,,Michal Tabara,57 75 64,auckland,301,Auckland,2002,world
,Jerome Golmard,Q,Gilles Elseneer,765 62,auckland,301,Auckland,2002,world
,Michel Kratochvil,WC,Mark Nielsen,63 62,auckland,301,Auckland,2002,world
,David Nalbandian,,Francisco Clavet,63 63,auckland,301,Auckland,2002,world
1,Marat Safin,WC,Michael Chang,26 63 64,auckland,301,Auckland,2002,world
2,Goran Ivanisevic,,Jarkko Nieminen,765 63,auckland,301,Auckland,2002,world
,Francisco Clavet,3,Jan-Michael Gambill,60 763,auckland,301,Auckland,2002,world
4,Sjeng Schalken,,Galo Blanco,62 36 63,auckland,301,Auckland,2002,world
5,Jiri Novak,,Andrea Gaudenzi,75 63,auckland,301,Auckland,2002,world
6,Greg Rusedski,,Mariano Zabaleta,64 36 61,auckland,301,Auckland,2002,world
WC,Mark Nielsen,7,Andreas Vinciguerra,765 64,auckland,301,Auckland,2002,world
Q,Gilles Elseneer,8,Dominik Hrbaty,36 61 62,auckland,301,Auckland,2002,world
,Jonas Bjorkman,,Gaston Gaudio,762 61,auckland,301,Auckland,2002,world
