Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
,Nicklas Kulti,,Christian Bergstrom,36 75 64,adelaide,7308,Adelaide,1993,world
,Christian Bergstrom,,Richard Fromberg,64 64,adelaide,7308,Adelaide,1993,world
,Nicklas Kulti,,Jonathan Stark,46 64 64,adelaide,7308,Adelaide,1993,world
,Nicklas Kulti,3,Alexander Volkov,64 16 63,adelaide,7308,Adelaide,1993,world
,Christian Bergstrom,4,Cedric Pioline,75 764,adelaide,7308,Adelaide,1993,world
,Richard Fromberg,WC,John Fitzgerald,64 64,adelaide,7308,Adelaide,1993,world
,Jonathan Stark,,Alex O'Brien,62 61,adelaide,7308,Adelaide,1993,world
,Alex O'Brien,1,Richard Krajicek,64 64,adelaide,7308,Adelaide,1993,world
3,Alexander Volkov,,Markus Naewie,62 61,adelaide,7308,Adelaide,1993,world
4,Cedric Pioline,,Todd Martin,64 61,adelaide,7308,Adelaide,1993,world
,Christian Bergstrom,,Derrick Rostagno,63 62,adelaide,7308,Adelaide,1993,world
WC,John Fitzgerald,WC,Jason Stoltenberg,63 64,adelaide,7308,Adelaide,1993,world
,Richard Fromberg,Q,David Pate,763 768,adelaide,7308,Adelaide,1993,world
,Nicklas Kulti,,Jamie Morgan,64 64,adelaide,7308,Adelaide,1993,world
,Jonathan Stark,Q,Jordi Burillo,764 62,adelaide,7308,Adelaide,1993,world
1,Richard Krajicek,,Thomas Enqvist,61 64,adelaide,7308,Adelaide,1993,world
WC,John Fitzgerald,2,Sergi Bruguera,64 26 764,adelaide,7308,Adelaide,1993,world
3,Alexander Volkov,,Jonas Svensson,764 63,adelaide,7308,Adelaide,1993,world
4,Cedric Pioline,,Sandon Stolle,63 62,adelaide,7308,Adelaide,1993,world
,Derrick Rostagno,5,Magnus Larsson,63 64,adelaide,7308,Adelaide,1993,world
,Nicklas Kulti,6,Mark Woodforde,64 764,adelaide,7308,Adelaide,1993,world
Q,Jordi Burillo,7,David Wheaton,61 63,adelaide,7308,Adelaide,1993,world
,Richard Fromberg,8,Magnus Gustafsson,675 64 63,adelaide,7308,Adelaide,1993,world
,Christian Bergstrom,,Kenneth Carlsen,763 62,adelaide,7308,Adelaide,1993,world
,Todd Martin,,Bryan Shelton,63 677 64,adelaide,7308,Adelaide,1993,world
,Jamie Morgan,,Bernd Karbacher,64 62,adelaide,7308,Adelaide,1993,world
,Markus Naewie,WC,Steven Baldas,64 61,adelaide,7308,Adelaide,1993,world
,Alex O'Brien,Q,Broderick Dyke,764 765,adelaide,7308,Adelaide,1993,world
Q,David Pate,Q,David Dilucia,64 64,adelaide,7308,Adelaide,1993,world
,Jonathan Stark,,Todd Woodbridge,62 62,adelaide,7308,Adelaide,1993,world
WC,Jason Stoltenberg,,Marcos Ondruska,764 60,adelaide,7308,Adelaide,1993,world
3,Boris Becker,2,Goran Ivanisevic,764 46 75,doha,451,Doha,1993,world
3,Boris Becker,1,Stefan Edberg,64 64,doha,451,Doha,1993,world
2,Goran Ivanisevic,4,Andrei Cherkasov,62 62,doha,451,Doha,1993,world
1,Stefan Edberg,,Gianluca Pozzi,60 60,doha,451,Doha,1993,world
2,Goran Ivanisevic,,Patrik Kuhnen,62 762,doha,451,Doha,1993,world
3,Boris Becker,6,Javier Sanchez,64 63,doha,451,Doha,1993,world
4,Andrei Cherkasov,,Marcos Aurelio Gorriz,61 75,doha,451,Doha,1993,world
1,Stefan Edberg,Q,Yevgeny Kafelnikov,63 64,doha,451,Doha,1993,world
2,Goran Ivanisevic,,Andrei Olhovskiy,63 762,doha,451,Doha,1993,world
3,Boris Becker,,Stephane Simian,763 62,doha,451,Doha,1993,world
4,Andrei Cherkasov,Q,Younes El Aynaoui,63 57 64,doha,451,Doha,1993,world
6,Javier Sanchez,WC,Andrei Merinov,46 75 60,doha,451,Doha,1993,world
,Gianluca Pozzi,7,Jan Siemerink,75 57 75,doha,451,Doha,1993,world
,Marcos Aurelio Gorriz,,Bart Wuyts,60 62,doha,451,Doha,1993,world
,Patrik Kuhnen,,Michiel Schapers,75 62,doha,451,Doha,1993,world
1,Stefan Edberg,,Karsten Braasch,63 765,doha,451,Doha,1993,world
2,Goran Ivanisevic,Q,Hendrik Jan Davids,62 64,doha,451,Doha,1993,world
3,Boris Becker,,Gary Muller,672 62 60,doha,451,Doha,1993,world
4,Andrei Cherkasov,,Gilbert Schaller,46 64 64,doha,451,Doha,1993,world
,Marcos Aurelio Gorriz,5,Marc Rosset,57 764 20 (RET),doha,451,Doha,1993,world
6,Javier Sanchez,Q,Murphy Jensen,62 64,doha,451,Doha,1993,world
7,Jan Siemerink,,Alex Antonitsch,26 761 60,doha,451,Doha,1993,world
,Patrik Kuhnen,8,Tomas Carbonell,26 64 61,doha,451,Doha,1993,world
Q,Younes El Aynaoui,,Marc-Kevin Goellner,766 46 765,doha,451,Doha,1993,world
Q,Yevgeny Kafelnikov,,Jeremy Bates,63 63,doha,451,Doha,1993,world
WC,Andrei Merinov,,Thierry Champion,64 75,doha,451,Doha,1993,world
,Andrei Olhovskiy,,Claudio Pistolesi,63 62,doha,451,Doha,1993,world
,Gianluca Pozzi,,Diego Nargiso,64 763,doha,451,Doha,1993,world
,Michiel Schapers,,Markus Zoecke,62 63,doha,451,Doha,1993,world
,Stephane Simian,,Martin Damm,64 16 62,doha,451,Doha,1993,world
,Bart Wuyts,WC,Vijay Amritraj,62 64,doha,451,Doha,1993,world
,Richey Reneberg,7,Olivier Delaitre,63 61,kuala-lumpur,450,Kuala Lumpur-1,1993,world
7,Olivier Delaitre,3,Paul Haarhuis,36 61 64,kuala-lumpur,450,Kuala Lumpur-1,1993,world
,Richey Reneberg,,Chris Pridham,61 61,kuala-lumpur,450,Kuala Lumpur-1,1993,world
3,Paul Haarhuis,,David Prinosil,62 63,kuala-lumpur,450,Kuala Lumpur-1,1993,world
,Chris Pridham,4,Fabrice Santoro,62 16 765,kuala-lumpur,450,Kuala Lumpur-1,1993,world
7,Olivier Delaitre,,Lars Jonsson,60 57 64,kuala-lumpur,450,Kuala Lumpur-1,1993,world
,Richey Reneberg,,Ronald Agenor,766 63,kuala-lumpur,450,Kuala Lumpur-1,1993,world
3,Paul Haarhuis,Q,Rikard Bergh,75 26 75,kuala-lumpur,450,Kuala Lumpur-1,1993,world
