Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
Q,Danny Saltz,2,Chip Hooper,46 63 64 64,auckland,301,Auckland,1984,world
2,Chip Hooper,7,Larry Stefanki,64 63,auckland,301,Auckland,1984,world
Q,Danny Saltz,5,Brad Drewett,76 76,auckland,301,Auckland,1984,world
5,Brad Drewett,1,Chris Lewis (NZL),(W/O),auckland,301,Auckland,1984,world
2,Chip Hooper,6,Russell Simpson,62 26 64,auckland,301,Auckland,1984,world
7,Larry Stefanki,4,John Alexander,57 63 62,auckland,301,Auckland,1984,world
Q,Danny Saltz,Q,Steve Guy,36 75 64,auckland,301,Auckland,1984,world
1,Chris Lewis (NZL),,John Frawley,36 76 86,auckland,301,Auckland,1984,world
2,Chip Hooper,Q,Bill Maze,63 63,auckland,301,Auckland,1984,world
Q,Steve Guy,3,Wally Masur,63 76,auckland,301,Auckland,1984,world
4,John Alexander,,Sean Brawley,67 62 64,auckland,301,Auckland,1984,world
5,Brad Drewett,,Vijay Amritraj,76 46 61,auckland,301,Auckland,1984,world
6,Russell Simpson,,Peter Johnston,76 46 61,auckland,301,Auckland,1984,world
7,Larry Stefanki,,Todd Nelson,63 64,auckland,301,Auckland,1984,world
Q,Danny Saltz,8,Lloyd Bourne,62 75,auckland,301,Auckland,1984,world
1,Chris Lewis (NZL),,Peter Doohan,63 67 61,auckland,301,Auckland,1984,world
2,Chip Hooper,,Craig A Miller,64 76,auckland,301,Auckland,1984,world
3,Wally Masur,,Bruce Derlin,46 63 63,auckland,301,Auckland,1984,world
4,John Alexander,,Leif Shiras,76 76,auckland,301,Auckland,1984,world
5,Brad Drewett,,Mike Brunnberg,61 64,auckland,301,Auckland,1984,world
6,Russell Simpson,,Broderick Dyke,36 63 64,auckland,301,Auckland,1984,world
7,Larry Stefanki,,Rod Frawley,76 61,auckland,301,Auckland,1984,world
