Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
,Michael Llodra,3,Jarkko Nieminen,63 64,adelaide,7308,Adelaide,2008,world
3,Jarkko Nieminen,6,Jo-Wilfried Tsonga,62 64,adelaide,7308,Adelaide,2008,world
,Michael Llodra,WC,Joseph Sirianni,63 768,adelaide,7308,Adelaide,2008,world
6,Jo-Wilfried Tsonga,1,Lleyton Hewitt,64 62,adelaide,7308,Adelaide,2008,world
WC,Joseph Sirianni,2,Paul-Henri Mathieu,16 61 766,adelaide,7308,Adelaide,2008,world
3,Jarkko Nieminen,,Vincent Spadea,765 677 765,adelaide,7308,Adelaide,2008,world
,Michael Llodra,,Benjamin Becker,765 64,adelaide,7308,Adelaide,2008,world
1,Lleyton Hewitt,,Jose Acasuso,62 62,adelaide,7308,Adelaide,2008,world
2,Paul-Henri Mathieu,WC,Chris Guccione,46 63 64,adelaide,7308,Adelaide,2008,world
3,Jarkko Nieminen,Q,Frank Dancevic,64 61,adelaide,7308,Adelaide,2008,world
6,Jo-Wilfried Tsonga,,Ernests Gulbis,63 62,adelaide,7308,Adelaide,2008,world
,Benjamin Becker,,Michael Russell,64 64,adelaide,7308,Adelaide,2008,world
,Michael Llodra,,Evgeny Korolev,763 63,adelaide,7308,Adelaide,2008,world
WC,Joseph Sirianni,,Sam Querrey,675 62 63,adelaide,7308,Adelaide,2008,world
,Vincent Spadea,,Mischa Zverev,63 75,adelaide,7308,Adelaide,2008,world
1,Lleyton Hewitt,,Dudi Sela,62 62,adelaide,7308,Adelaide,2008,world
2,Paul-Henri Mathieu,,Julien Benneteau,762 75,adelaide,7308,Adelaide,2008,world
3,Jarkko Nieminen,Q,Ivo Klec,62 64,adelaide,7308,Adelaide,2008,world
,Michael Llodra,4,Gilles Simon,763 63,adelaide,7308,Adelaide,2008,world
WC,Joseph Sirianni,5,Radek Stepanek,763 43 (RET),adelaide,7308,Adelaide,2008,world
6,Jo-Wilfried Tsonga,,Victor Hanescu,63 46 75,adelaide,7308,Adelaide,2008,world
,Michael Russell,7,Juan Martin del Potro,63 63,adelaide,7308,Adelaide,2008,world
,Vincent Spadea,8,Sebastien Grosjean,46 61 63,adelaide,7308,Adelaide,2008,world
,Jose Acasuso,,Alejandro Falla,63 763,adelaide,7308,Adelaide,2008,world
,Benjamin Becker,WC,Robert Smeets,36 64 62,adelaide,7308,Adelaide,2008,world
Q,Frank Dancevic,,Simone Bolelli,62 763,adelaide,7308,Adelaide,2008,world
