Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
1) W,Goran Ivanisevic,,Christian Bergstrom,16 765 64,adelaide,7308,Adelaide,1992,world
1) W,Goran Ivanisevic,,Bryan Shelton,64 62,adelaide,7308,Adelaide,1992,world
,Christian Bergstrom,6,Carl-Uwe Steeb,767 64,adelaide,7308,Adelaide,1992,world
1) W,Goran Ivanisevic,,Marc Rosset,64 764,adelaide,7308,Adelaide,1992,world
6,Carl-Uwe Steeb,Q,Thomas Enqvist,765 764,adelaide,7308,Adelaide,1992,world
,Christian Bergstrom,7,Olivier Delaitre,61 63,adelaide,7308,Adelaide,1992,world
,Bryan Shelton,,Rodolphe Gilbert,75 64,adelaide,7308,Adelaide,1992,world
1) W,Goran Ivanisevic,,Stefano Pescosolido,64 63,adelaide,7308,Adelaide,1992,world
Q,Thomas Enqvist,4,Horst Skoff,63 16 63,adelaide,7308,Adelaide,1992,world
6,Carl-Uwe Steeb,WC,Sandon Stolle,46 62 63,adelaide,7308,Adelaide,1992,world
7,Olivier Delaitre,,Mark Woodforde,64 64,adelaide,7308,Adelaide,1992,world
,Christian Bergstrom,WC,John Fitzgerald,62 62,adelaide,7308,Adelaide,1992,world
,Rodolphe Gilbert,,Christo Van Rensburg,64 63,adelaide,7308,Adelaide,1992,world
,Marc Rosset,,Amos Mansdorf,36 63 62,adelaide,7308,Adelaide,1992,world
,Bryan Shelton,,Karsten Braasch,765 63,adelaide,7308,Adelaide,1992,world
1) W,Goran Ivanisevic,,Nicklas Kulti,63 63,adelaide,7308,Adelaide,1992,world
WC,John Fitzgerald,2,Jan Siemerink,62 763,adelaide,7308,Adelaide,1992,world
,Christo Van Rensburg,3,Javier Sanchez,75 674 765,adelaide,7308,Adelaide,1992,world
4,Horst Skoff,Q,Carl Limberger,63 63,adelaide,7308,Adelaide,1992,world
,Bryan Shelton,5,Thomas Muster,63 46 761,adelaide,7308,Adelaide,1992,world
6,Carl-Uwe Steeb,,Renzo Furlan,61 64,adelaide,7308,Adelaide,1992,world
7,Olivier Delaitre,LL,Arne Thoms,672 63 62,adelaide,7308,Adelaide,1992,world
