id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class,pageranks,componentnumber,strongcompnum,atp count,qual count,future count,comp color
2028,Giuliano Basile Lobartolo,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,1113,0,0,2,green
2029,Ignasi Villacampa Roses,,11,29,40,12.0,32.0,44.0,1,4.4816995245756704E-5,0,9,0,0,44,brown
2030,Matej Svjetlicic,,2,12,14,2.0,12.0,14.0,5,1.6876934775907147E-5,0,9,0,1,13,purple
2031,Teri Groll,,33,56,89,34.0,62.0,96.0,5,9.708481183945328E-5,0,9,0,3,93,purple
2032,Yuanfeng Li,,7,22,29,7.0,23.0,30.0,2,3.547308114789057E-5,0,9,0,2,28,blue
2033,Maxime Tchoutakian,,51,65,116,53.0,70.0,123.0,5,1.283272920893085E-4,0,9,0,5,118,purple
2034,Julian Dujmovic,,14,14,28,17.0,20.0,37.0,4,5.954210123592608E-5,0,9,0,0,37,green
2035,Irfandi Hendrawan,,2,3,5,2.0,3.0,5.0,2,1.7627692073839523E-5,0,9,0,0,5,blue
2036,Abdoulkarim Ali,,0,3,3,0.0,3.0,3.0,5,1.3162540327839612E-5,0,1114,0,0,3,purple
2037,Inaki Gimenez Pilutik,,4,10,14,4.0,11.0,15.0,4,2.1464787819943955E-5,0,9,0,0,15,green
2038,Dmitry Novikov,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,1115,0,0,2,dark green
2039,Frederic Nussbaum,,60,63,123,65.0,66.0,131.0,5,1.7725944164677783E-4,0,9,0,4,127,purple
2040,Hazim Sedahmed,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,1117,0,0,1,brown
2041,Patrick Kaukovalta,,0,2,2,0.0,2.0,2.0,1,1.3162540327839612E-5,0,1118,0,0,2,brown
2042,Aroon Khatter,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,1119,0,0,2,purple
2043,Michael Chaker,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1120,0,0,1,purple
2044,Renato Nunes Dos Santos,,5,16,21,5.0,17.0,22.0,4,2.356658967148891E-5,0,9,0,0,22,green
2045,Aleksander Slovic,,59,36,95,74.0,43.0,117.0,5,1.7747273623180856E-4,0,9,0,2,115,purple
2046,Ludwig Pellerin,,76,66,142,83.0,78.0,161.0,1,2.4081346098290814E-4,0,9,0,9,152,brown
2047,Maciej Rajski,,31,31,62,33.0,36.0,69.0,5,7.650036519546892E-5,0,9,0,1,68,purple
2048,Mirko Cutuli,,6,16,22,6.0,16.0,22.0,5,3.085112395734944E-5,0,9,0,0,22,purple
2049,Marius Zay,,99,102,201,107.0,124.0,231.0,5,2.6738205122716697E-4,0,9,0,2,229,purple
2050,Bogdan Cuceu,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,1121,0,0,1,dark green
2051,Francisco Ramos,,0,6,6,0.0,6.0,6.0,5,1.3162540327839612E-5,0,1122,0,1,5,purple
2052,John Mee,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,1123,0,1,2,blue
2053,Aleks Martinski,,0,3,3,0.0,3.0,3.0,5,1.3162540327839612E-5,0,1124,0,0,3,purple
2054,Dominik Hrbaty,,131,114,245,164.0,161.0,325.0,3,7.663834558164545E-4,0,9,186,135,4,red
2055,Pawel Turzanski,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1125,0,0,1,purple
2056,Nathan Doney,,1,2,3,1.0,3.0,4.0,2,2.435070005977266E-5,0,1126,0,0,4,blue
2057,Milos Sekulic,,91,112,203,99.0,129.0,228.0,1,2.284848986132268E-4,0,9,1,18,209,brown
2058,Michael Dubecq,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1127,0,0,1,purple
2059,Daniel Superlano,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,1128,0,0,2,green
2060,Dan Lempa,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,1129,0,1,1,green
2061,Renato Chavez,,2,10,12,2.0,10.0,12.0,4,1.622136981944881E-5,0,9,0,1,11,green
2062,Hosam Osman,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1130,0,0,1,purple
2063,Farsad Shahi,,0,2,2,0.0,3.0,3.0,0,1.3162540327839612E-5,0,1131,0,0,3,dark green
2064,Tinashe Chikanda,,1,9,10,1.0,9.0,10.0,4,2.435070005977266E-5,0,1132,0,0,10,green
2065,Gergely Kisgyorgy,,5,6,11,5.0,6.0,11.0,5,2.8821344200679925E-5,0,9,2,2,7,purple
2066,Hakim Rezgui,,9,14,23,9.0,15.0,24.0,1,4.496829997710268E-5,0,9,0,1,23,brown
2067,Jared Easton,,20,39,59,20.0,43.0,63.0,2,5.3395770887373636E-5,0,9,0,0,63,blue
2068,Conrad Olson,,2,4,6,2.0,4.0,6.0,5,1.5859974560334398E-5,0,9,0,0,6,purple
2069,Elwin Antony,,7,15,22,7.0,18.0,25.0,2,2.5106340442786043E-5,0,9,0,1,24,blue
2070,Hwi Kim,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,1133,0,0,1,blue
2071,Emilio Gomez,,109,74,183,132.0,92.0,224.0,4,3.380326414867272E-4,0,9,14,84,126,green
2072,Joaquin Moriones,,1,6,7,1.0,6.0,7.0,4,1.413520720976E-5,0,9,0,0,7,green
2073,Aj Catanzariti,,2,8,10,2.0,8.0,10.0,2,2.5306741194697758E-5,0,9,0,0,10,blue
2074,Mikhail Gamrekelidze,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,1134,0,1,0,red
