id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,pageranks,wta count,itf count,comp color
127,Luca Nagymihaly,,11,17,28,11,17,28,9,0.287552135,0.310236879,3.10E-05,0,0,4,0.043650795,4.74E-05,0,28,purple
130,Giorgia Pinto,,34,50,84,36,55,91,9,0.32657282,0.357161259,7.90E-04,0,0,4,0.034528356,1.13E-04,0,91,purple
131,Stacia Fonseca,,27,35,62,29,38,67,10,0.291698945,0.322231383,2.51E-04,3,0,4,0.080874316,1.24E-04,0,67,blue
135,Vojislava Lukic,,135,84,219,150,91,241,9,0.333947333,0.372667364,0.001923793,0,0,4,0.037099574,5.34E-04,3,238,purple
136,Gloire Mfoumouangana,,2,11,13,2,12,14,9,0.292308611,0.313433695,1.12E-04,0,0,4,0.03846154,2.20E-05,0,14,purple
137,Marina Melnikova,,155,153,308,172,184,356,9,0.349942808,0.39436589,0.001607216,0,0,4,0.067728773,6.17E-04,3,353,purple
140,Elizaveta Khabarova,,6,20,26,6,20,26,9,0.305689128,0.329005464,8.30E-05,0,0,4,0.051666666,2.72E-05,0,26,purple
141,Josipa Bek,,31,21,52,35,22,57,10,0.293711748,0.321983073,1.31E-04,0,0,4,0.074285716,1.43E-04,0,57,purple
142,Yuko Kurata,,11,18,29,12,21,33,9,0.289063423,0.313227946,3.49E-04,5,0,4,0.167989418,6.43E-05,0,33,green
144,Viktoriya Bogoslovska,,6,17,23,7,18,25,9,0.307359036,0.329535645,5.21E-05,3,0,4,0.031620555,3.15E-05,0,25,blue
146,Nelly Ciolkowski,,10,13,23,10,13,23,9,0.296648688,0.321192016,8.98E-05,0,0,4,0.055335969,5.41E-05,0,23,purple
147,Bianca Koch,,59,59,118,62,62,124,9,0.334198129,0.367976636,9.69E-04,0,0,4,0.051156651,2.02E-04,0,124,purple
150,Ana Claro,,10,29,39,12,32,44,9,0.322315138,0.352359145,3.69E-05,4,0,4,0.085020244,3.71E-05,0,44,brown
154,Natalie Kallmunzerova,,5,9,14,5,9,14,9,0.274030118,0.2926261,7.02E-05,0,0,4,0.027472528,4.72E-05,0,14,purple
157,Ksenia Palkina,,200,156,356,237,193,430,9,0.353378573,0.397760024,0.002814446,0,0,4,0.059852026,7.77E-04,12,418,purple
161,Beatriz Garcia Vidagany,,139,141,280,170,164,334,9,0.335526767,0.379850349,8.09E-04,4,0,4,0.110231251,7.17E-04,17,317,brown
167,Tayisiya Morderger,,53,35,88,55,39,94,9,0.315115231,0.346374743,1.64E-04,0,0,4,0.069747902,2.02E-04,0,94,purple
168,Giovana Patitucci,,1,12,13,1,12,13,9,0.289969209,0.309676316,1.84E-06,3,0,115,0.15384616,1.76E-05,0,13,blue
169,Catalina Pella,,108,68,176,142,90,232,9,0.332653755,0.367886246,8.20E-04,3,0,4,0.097484276,5.27E-04,0,232,blue
181,Tatiana Bua,,167,101,268,213,136,349,9,0.349418231,0.388163173,0.002391964,3,0,4,0.058752507,6.63E-04,0,349,blue
184,Debbrich Feys,,55,70,125,58,77,135,9,0.322825298,0.359168085,4.60E-04,4,0,4,0.074719891,2.14E-04,1,134,brown
186,Mina Gardic,,2,10,12,2,10,12,9,0.298311902,0.321500965,1.96E-06,0,0,4,0.113636367,1.94E-05,0,12,purple
189,Jamie Hampton,,135,73,208,164,100,264,10,0.307378336,0.343041004,1.78E-04,1,0,4,0.194103047,8.34E-04,84,180,red
192,Fiona Codino,,24,76,100,25,80,105,8,0.34355699,0.376924948,0.001774166,0,0,4,0.021616161,1.23E-04,0,105,purple
195,Ester Goldfeld,,13,22,35,14,22,36,9,0.295627491,0.323731618,8.26E-05,3,0,4,0.135472372,7.63E-05,0,36,blue
196,Emelyn Starr,,31,58,89,34,70,104,9,0.326747213,0.36201242,3.54E-04,5,0,4,0.079929471,1.06E-04,1,103,green
204,Stephanie Bengson,,11,23,34,12,26,38,9,0.303039683,0.332184364,1.18E-05,5,0,4,0.115530305,4.08E-05,1,37,green
207,Mayar Sherif,,28,25,53,28,28,56,9,0.314063904,0.342641098,8.74E-05,0,0,4,0.082448982,1.03E-04,5,51,purple
208,Lesley Kerkhove,,144,113,257,170,132,302,9,0.339388477,0.380179889,5.47E-04,0,0,4,0.102375314,6.77E-04,2,300,purple
209,Diane Cheymol,,5,24,29,6,24,30,8,0.319412724,0.346174425,3.32E-04,3,0,4,0.061576355,4.52E-05,0,30,blue
210,Elena Gantcheva,,7,10,17,7,10,17,9,0.274291158,0.29455121,6.39E-05,3,0,4,0.040441178,3.29E-05,0,17,blue
